scenario,cost_eur_per_kg,share_of_sites
base_highrisk,5.351076139117026,0.03333333333333333
base_highrisk,5.526537744576363,0.06666666666666667
base_highrisk,5.53652053773695,0.1
base_highrisk,5.755542532465166,0.13333333333333333
base_highrisk,5.79209695463186,0.16666666666666666
base_highrisk,5.835324126597789,0.2
base_highrisk,5.85650380311516,0.23333333333333334
base_highrisk,5.856861244986483,0.26666666666666666
base_highrisk,5.865770306729948,0.3
base_highrisk,5.8975604521647185,0.3333333333333333
base_highrisk,5.9084547183986285,0.36666666666666664
base_highrisk,5.944610692458737,0.4
base_highrisk,5.952684427055272,0.43333333333333335
base_highrisk,5.95499829516147,0.4666666666666667
base_highrisk,5.980484105802077,0.5
base_highrisk,5.981425667942474,0.5333333333333333
base_highrisk,6.018130126519647,0.5666666666666667
base_highrisk,6.037215994381186,0.6
base_highrisk,6.041571949822513,0.6333333333333333
base_highrisk,6.0469015737755,0.6666666666666666
base_highrisk,6.097259265434233,0.7
base_highrisk,6.163589273589582,0.7333333333333333
base_highrisk,6.258958218437467,0.7666666666666667
base_highrisk,6.295231822534421,0.8
base_highrisk,6.385252310187423,0.8333333333333334
base_highrisk,6.406097491177329,0.8666666666666667
base_highrisk,6.4619233648315895,0.9
base_highrisk,6.726655886619206,0.9333333333333333
base_highrisk,6.760226022653985,0.9666666666666667
base_highrisk,6.885321096311744,1.0
corridor_policy,4.083699308886475,0.03333333333333333
corridor_policy,4.1857620248354115,0.06666666666666667
corridor_policy,4.195936782792183,0.1
corridor_policy,4.3090502520428515,0.13333333333333333
corridor_policy,4.342527418110027,0.16666666666666666
corridor_policy,4.3476686215267755,0.2
corridor_policy,4.356694967845645,0.23333333333333334
corridor_policy,4.366347686433314,0.26666666666666666
corridor_policy,4.370212900275392,0.3
corridor_policy,4.404472815080631,0.3333333333333333
corridor_policy,4.420377284771385,0.36666666666666664
corridor_policy,4.434398778375631,0.4
corridor_policy,4.4398419207716495,0.43333333333333335
corridor_policy,4.459268028393504,0.4666666666666667
corridor_policy,4.487610340455376,0.5
corridor_policy,4.4922644232769535,0.5333333333333333
corridor_policy,4.508483258847209,0.5666666666666667
corridor_policy,4.515595932200586,0.6
corridor_policy,4.536784059715222,0.6333333333333333
corridor_policy,4.5400831517721,0.6666666666666666
corridor_policy,4.575449957703925,0.7
corridor_policy,4.630186081003725,0.7333333333333333
corridor_policy,4.668087110637504,0.7666666666666667
corridor_policy,4.707715126556257,0.8
corridor_policy,4.722010542689896,0.8333333333333334
corridor_policy,4.806389254331895,0.8666666666666667
corridor_policy,4.855958479451036,0.9
corridor_policy,4.945868072151535,0.9333333333333333
corridor_policy,4.993952261018356,0.9666666666666667
corridor_policy,5.133467130912991,1.0
derisked,4.464013694585583,0.03333333333333333
derisked,4.58690754510169,0.06666666666666667
derisked,4.592885250287027,0.1
derisked,4.749054013675911,0.13333333333333333
derisked,4.770051288713226,0.16666666666666666
derisked,4.801074129047933,0.2
derisked,4.815462465656996,0.23333333333333334
derisked,4.820836699635972,0.26666666666666666
derisked,4.8223875866501515,0.3
derisked,4.842874323167731,0.3333333333333333
derisked,4.856188741691515,0.36666666666666664
derisked,4.882281479580334,0.4
derisked,4.882653674108485,0.43333333333333335
derisked,4.885203450379976,0.4666666666666667
derisked,4.905141989041303,0.5
derisked,4.908883374524171,0.5333333333333333
derisked,4.932429685208287,0.5666666666666667
derisked,4.94671926310453,0.6
derisked,4.947039455348264,0.6333333333333333
derisked,4.953455856046055,0.6666666666666666
derisked,4.9895609368356535,0.7
derisked,5.037102225713087,0.7333333333333333
derisked,5.105172949700771,0.7666666666666667
derisked,5.126877846506721,0.8
derisked,5.195357613464083,0.8333333333333334
derisked,5.2034489172768,0.8666666666666667
derisked,5.248749339518595,0.9
derisked,5.430305445649118,0.9333333333333333
derisked,5.4551492231697125,0.9666666666666667
derisked,5.548044390277628,1.0
high_rates,5.9947661448694785,0.03333333333333333
high_rates,6.208311803290945,0.06666666666666667
high_rates,6.221096651877341,0.1
high_rates,6.485750478611879,0.13333333333333333
high_rates,6.533236472701833,0.16666666666666666
high_rates,6.585371131612714,0.2
high_rates,6.608665332029658,0.23333333333333334
high_rates,6.611527295520844,0.26666666666666666
high_rates,6.622428873867126,0.3
high_rates,6.662227696844242,0.3333333333333333
high_rates,6.671790698360762,0.36666666666666664
high_rates,6.71542048314994,0.4
high_rates,6.728542791193342,0.43333333333333335
high_rates,6.730772340519993,0.4666666666666667
high_rates,6.758038523733559,0.5
high_rates,6.7620326705636655,0.5333333333333333
high_rates,6.8057140187772385,0.5666666666666667
high_rates,6.82839183020384,0.6
high_rates,6.835366611924996,0.6333333333333333
high_rates,6.840155602726667,0.6666666666666666
high_rates,6.900876756001765,0.7
high_rates,6.980891952447754,0.7333333333333333
high_rates,7.0961365139160275,0.7666666666666667
high_rates,7.142586824880075,0.8
high_rates,7.2486970809040345,0.8333333333333334
high_rates,7.2781960403054855,0.8666666666666667
high_rates,7.342237368022556,0.9
high_rates,7.666749494000255,0.9333333333333333
high_rates,7.706802275453807,0.9666666666666667
high_rates,7.855579276681768,1.0
