scenario,hex_id,country,delivered_cost_eur_per_kg,cost_gap_vs_europe_eur_per_kg
base_highrisk,hex_007,Namibia,5.351076139117026,2.994569826969107
base_highrisk,hex_015,Botswana,5.526537744576363,3.170031432428443
base_highrisk,hex_006,Unknown,5.53652053773695,3.180014225589031
base_highrisk,hex_019,Unknown,5.755542532465166,3.399036220317247
base_highrisk,hex_010,Namibia,5.79209695463186,3.43559064248394
corridor_policy,hex_007,Namibia,4.083699308886475,1.7271929967385553
corridor_policy,hex_006,Unknown,4.1857620248354115,1.829255712687492
corridor_policy,hex_015,Botswana,4.195936782792183,1.8394304706442632
corridor_policy,hex_010,Namibia,4.3090502520428515,1.952543939894932
corridor_policy,hex_019,Unknown,4.342527418110027,1.9860211059621076
derisked,hex_007,Namibia,4.464013694585583,2.107507382437664
derisked,hex_015,Botswana,4.58690754510169,2.2304012329537706
derisked,hex_006,Unknown,4.592885250287027,2.236378938139108
derisked,hex_019,Unknown,4.749054013675911,2.3925477015279917
derisked,hex_010,Namibia,4.770051288713226,2.4135449765653068
high_rates,hex_007,Namibia,5.9947661448694785,2.983701334992236
high_rates,hex_015,Botswana,6.208311803290945,3.1972469934137027
high_rates,hex_006,Unknown,6.221096651877341,3.2100318420000984
high_rates,hex_019,Unknown,6.485750478611879,3.474685668734637
high_rates,hex_010,Namibia,6.533236472701833,3.5221716628245905
