k,DynScore,Spearman_pseudotime,ANOVA_phase,HVF_variance,GraphSmoothness,LaplacianScore,Random
5,0.035174837421951474,0.032071403486491866,0.03295836857878933,0.028467318679569673,0.043638358631028135,0.044793974868129346,0.06425700407829311
10,0.04745061150997912,0.045113290211408565,0.04366464774153085,0.06961184956965383,0.06655773947613573,0.053710622054239654,0.10513748615459981
15,0.053948914206044994,0.053948914206044994,0.05346671892151133,0.09766732971825054,0.07402613816818869,0.08984164383288201,0.12271734061098878
20,0.07341029267692388,0.06361127562643881,0.06854814891249911,0.10462103253574738,0.09828726253160879,0.11587855852661796,0.17230742352016878
25,0.08423640742510392,0.08497585024090548,0.07798142880629774,0.13029375610190755,0.13387088161642044,0.12153098428664996,0.17958044956808003
30,0.10338250669990609,0.10497937276302649,0.08204213034153864,0.1539119044690716,0.14916205497481264,0.13370488056930963,0.21980289839797088
40,0.1294881723292943,0.12921019825582805,0.10483158208171062,0.18461122021735496,0.18318314035786887,0.1641226220763123,0.2454872096404635
50,0.15174461888243984,0.14894306360366522,0.13933520903917473,0.20699913484850688,0.2092046428195065,0.19073092390731292,0.3353537256496271
75,0.2107702301795965,0.20570111549760342,0.22073585923981415,0.2820184619505891,0.26752739252431423,0.24306038832565982,0.41548919098848036
100,0.29990222014587165,0.3050198487186705,0.28404937089636545,0.36482079848852406,0.3266405398724768,0.31328423450824844,0.4313170821349366
150,0.47387787599786074,0.45834037656629456,0.4579343324858724,0.5440932156606868,0.461646476760966,0.45004013966120954,0.6043192835168427
241,1.0,1.0,1.0,1.0,1.0,1.0,1.0
