method,k,knn_jaccard,dpt_spearman,phase_acc,phase_acc_sd,silhouette
Full,241,1.0,0.11655429863123294,0.7785377048317946,0.010945541021906511,0.013607105240225792
HVF_variance,10,0.06961184956965383,0.7367353904057101,0.848126594597438,0.017644285858950483,0.09695518016815186
Spearman_pseudotime,10,0.045113290211408565,0.8174235419767398,0.790865093768905,0.007851356599293232,0.05672857537865639
ANOVA_phase,10,0.04366464774153085,0.7455750657406879,0.9184493279675952,0.007506446846483534,0.2412833720445633
LaplacianScore,10,0.053710622054239654,0.2472958656150333,0.6216049869801941,0.012844583474489796,0.006157135125249624
GraphSmoothness,10,0.06655773947613573,0.2656510620742672,0.6255858912648938,0.011128768942483465,0.004264748189598322
DynScore,10,0.04745061150997912,0.764230252600275,0.768030458454983,0.013138449310601475,0.03867661952972412
Random,10,0.1020114795351981,0.13971450067881175,0.7520818538099372,0.005154472993105375,0.05254462733864784
HVF_variance,25,0.13029375610190755,0.5631414605100049,0.8466838948946579,0.013484776473554163,0.06022698059678078
Spearman_pseudotime,25,0.08497585024090548,0.8059840813565801,0.8332728372655775,0.011515308539430086,0.068548783659935
ANOVA_phase,25,0.07798142880629774,0.8061522438520959,0.9115613246008574,0.010152183398936322,0.15077520906925201
LaplacianScore,25,0.12153098428664996,0.10549862331343751,0.6879369525763435,0.01272949720531085,0.01603715494275093
GraphSmoothness,25,0.13387088161642044,0.0631694881084435,0.6814014045608774,0.01036481492629811,0.019171059131622314
DynScore,25,0.08423640742510392,0.8041428809233047,0.8274704752886715,0.012140888531605274,0.06807930022478104
Random,25,0.2151859525971422,0.21744900589593302,0.7292452457981535,0.010839370238632315,0.034291334450244904
HVF_variance,50,0.20699913484850688,0.5911230495153836,0.8368940529735133,0.01238653393490382,0.05203923210501671
Spearman_pseudotime,50,0.14894306360366522,0.7983963590110821,0.8854631894579026,0.017633726443070905,0.07746589928865433
ANOVA_phase,50,0.13933520903917473,0.7638328300846234,0.8829276151397984,0.015362209213588433,0.09166228026151657
LaplacianScore,50,0.19073092390731292,0.07744766094576527,0.6723552697335543,0.015863793205653887,0.009790092706680298
GraphSmoothness,50,0.2092046428195065,0.0467436333827112,0.6846734527473105,0.010287950311455792,-0.00016705655434634537
DynScore,50,0.15174461888243984,0.7870657495745501,0.8840132565296299,0.017090535548184765,0.07809653133153915
Random,50,0.2982587562734462,0.19904347290133945,0.7277959704358347,0.008425309094126313,0.02479245699942112
