region,region_code,cumulative_mass_change_gt,cumulative_error_gt,mean_annual_change_gt,total_specific_mass_balance_mwe,glacier_area_km2
Alaska,1_alaska,-1473.859896571797,172.7917453591668,-61.410829023824874,-17.568665199028636,89847.1
Greenland Periphery,5_greenland_periphery,-850.4780845137108,174.3679950202001,-35.436586854737946,-10.718524616672575,89349.1603
Arctic Canada North,3_arctic_canada_north,-730.2377194967461,63.21869716521923,-30.42657164569776,-7.034226251480369,105000.63345
Southern Andes,17_southern_andes,-630.7891720171691,162.56972885017436,-26.282882167382045,-22.06211611020565,29402.5139
Arctic Canada South,4_arctic_canada_south,-552.2424313440209,51.57451162307018,-23.010101306000866,-13.68148310253536,40871.6448
Antarctic & Subantarctic,19_antarctic_and_subantarctic,-427.6596876965488,208.75251450069095,-17.819153654022866,-3.4913940144181694,127665.25695
Russian Arctic,9_russian_arctic,-384.4276745688901,53.817808817193644,-16.017819773703753,-7.5639889489085945,51612.6368
Svalbard,7_svalbard,-331.08363639456326,35.92697228020421,-13.795151516440137,-10.036307971254983,34444.6137
Central Asia,13_central_asia,-251.6272739530213,66.88222882528537,-10.484469748042555,-5.2273325961214585,49702.3543
Western Canada & US,2_western_canada_us,-221.84715123127052,25.65059543046668,-9.243631301302939,-16.673604836645083,14563.2148
Iceland,6_iceland,-199.07746929543936,30.887229156172985,-8.294894553976642,-18.8179334732824,11000.276
South Asia East,15_south_asia_east,-176.5205086558885,28.84253974376613,-7.355021193995356,-12.646449439393276,14907.1245
South Asia West,14_south_asia_west,-134.66267933090631,41.2193426864125,-5.610944972121096,-4.231481075521808,33507.5776
Central Europe,11_central_europe,-47.329906139433355,2.36463194804253,-1.97207942247639,-25.47671686456788,2140.639
Scandinavia,8_scandinavia,-40.03250661957988,3.188861198219166,-1.6680211091491615,-13.98245158373742,2960.94345
North Asia,10_north_asia,-32.524447549376454,3.2488565977466988,-1.355185314557352,-13.835739993262056,2487.7225
Low Latitudes,16_low_latitudes,-20.401002962908077,3.716408579683126,-0.85004179012117,-10.097280072134897,2354.92895
New Zealand,18_new_zealand,-19.990888860633756,3.355177997814396,-0.8329537025264065,-23.058517222801466,981.5995
Caucasus & Middle East,12_caucasus_middle_east,-17.678490825979168,1.6433824925738956,-0.7366037844157987,-14.925932107508515,1282.75515
