N,depth,instance,shots,matched_keys,missing_shots,mean_ideal_prob,linear_xeb,xeb_ci_low,xeb_ci_high,xeb_bootstrap_se,subset_prob_sum,subset_prob_median,subset_prob_max
40,10,10,20,20,0,1.3238288853038464e-12,0.4555652525773197,0.05158966726525026,0.9074589947999879,0.2204942954745853,2.6476577706076925e-11,1.1743591699678485e-12,3.7867057090267454e-12
40,10,11,20,20,0,9.752028195966169e-13,0.07224683958642109,-0.3349537893438299,0.591799752491994,0.23830028024295039,1.950405639193234e-11,6.547559161924523e-13,3.7401883987859415e-12
40,10,12,20,20,0,1.3044854495751337e-12,0.43429692007246246,-0.02919867505766411,0.9451194840926662,0.25460018794054945,2.6089708991502675e-11,1.0786140212193103e-12,3.518051345052972e-12
40,10,13,20,20,0,1.481541235704079e-12,0.6289718156862585,-0.0960650074607976,1.4635660745609063,0.39110389381098193,2.963082471408158e-11,1.2146376398435194e-12,6.297994920614315e-12
40,10,14,20,20,0,1.110507501712018e-12,0.22101591086483996,-0.23951641137193738,0.853698167581762,0.29058914740708836,2.221015003424036e-11,7.301313676292631e-13,5.382077059297256e-12
40,10,15,20,20,0,1.2940191930550127e-12,0.422789149329303,0.008649141944096439,0.8732122173126793,0.21960369476177444,2.5880383861100252e-11,1.0837053916929818e-12,3.0732095611164788e-12
40,10,16,20,20,0,1.110561745758003e-12,0.22107555282413816,-0.1781839906929387,0.6375400927493369,0.2065447380362608,2.221123491516006e-11,1.1145020468786567e-12,3.145479510674133e-12
40,10,17,20,20,0,1.6632964794928672e-12,0.8288138196412926,0.310302597769907,1.3959145456065676,0.2799751943379972,3.3265929589857345e-11,1.417078279347812e-12,4.0116908368211924e-12
40,10,18,20,20,0,1.2294431836095623e-12,0.35178707606865744,-0.10959239689037722,0.9052611826521162,0.26258680010619545,2.458886367219124e-11,9.695261481412309e-13,4.0004299205130784e-12
40,10,19,20,20,0,1.4772011046821044e-12,0.624199791161526,-0.07275556634435762,1.3791949411712061,0.3682301683081797,2.954402209364209e-11,8.284078030786471e-13,5.182823117463935e-12
40,10,1,20,20,0,8.405688760585481e-13,-0.07578474682702296,-0.47373830934669875,0.43997295362521405,0.2383482936996554,1.681137752117097e-11,6.537640030944971e-13,4.5557748694556794e-12
40,10,20,20,20,0,1.5163305784563364e-12,0.6672231025650501,0.1462652491131328,1.2622233397844063,0.2853215639158889,3.032661156912673e-11,1.148521620231585e-12,4.029243469924617e-12
40,10,21,20,20,0,1.378187253934825e-12,0.5153329109540148,-0.07022511266970664,1.2644887699511766,0.3393162756190975,2.75637450786965e-11,7.173059768343059e-13,4.366777836123038e-12
40,10,22,20,20,0,1.4374185915019436e-12,0.5804584553377872,0.07308143341570231,1.1677763251125066,0.2875691028383022,2.8748371830038865e-11,1.246683779013273e-12,5.123012976032066e-12
40,10,23,20,20,0,1.1188431703941662e-12,0.2301810755061502,-0.147615593920759,0.6091264373827815,0.19725660032246006,2.237686340788333e-11,1.0119438445927436e-12,3.252899214339196e-12
40,10,24,20,20,0,1.286979600496914e-12,0.4150490354568681,-0.12328863984744776,1.0202410006806129,0.29005096283218174,2.573959200993828e-11,8.194607090689795e-13,4.867334324985045e-12
40,10,25,20,20,0,1.2318103898783486e-12,0.3543898468865323,-0.10104983403453272,0.8866076293107096,0.2554479615407725,2.4636207797566974e-11,8.855306616097159e-13,4.386854655170573e-12
40,10,26,20,20,0,1.5247963287326083e-12,0.676531293431659,0.009653737785903315,1.462186476981715,0.3720584113627325,3.049592657465217e-11,9.58985966932805e-13,5.812952216045291e-12
40,10,27,20,20,0,1.0196940281051548e-12,0.12116544067536505,-0.32460448811177395,0.6643238074684579,0.251447125772817,2.03938805621031e-11,5.094073851549613e-13,3.1121283660381753e-12
40,10,28,20,20,0,1.1920437750443226e-12,0.31066599147923113,-0.07477977343725145,0.7418725237876499,0.21000394783733803,2.3840875500886456e-11,1.1093556391623648e-12,2.783482449944257e-12
40,10,29,20,20,0,1.0575622539576857e-12,0.1628019953234705,-0.36158927095540644,0.9087205409954547,0.34118760921896046,2.1151245079153712e-11,6.917059945038194e-13,6.516668932111793e-12
40,10,2,20,20,0,1.150619438413946e-12,0.26511945168122475,-0.22449528241515604,0.8909262722539465,0.29079539990599235,2.3012388768278918e-11,7.473720772996296e-13,5.270017607499636e-12
40,10,30,20,20,0,1.350141216581026e-12,0.4844959667704729,-0.08750486248297325,1.0935232633902778,0.3011729403521564,2.7002824331620523e-11,1.125660970812907e-12,3.9276435453386576e-12
40,10,31,20,20,0,1.0628274188013576e-12,0.1685911052912452,-0.19802083952008648,0.572560334580125,0.19977009659498554,2.1256548376027146e-11,1.0146226112927744e-12,3.0763069976007793e-12
40,10,32,20,20,0,1.2403182577659615e-12,0.36374434655654464,-0.07546458150697566,0.893503212333488,0.2445635893413895,2.480636515531923e-11,9.420361055449168e-13,3.687077077964813e-12
