z,value,error,dataset
0.295,-0.02,0.01,desi_dvrd
0.51,-0.015,0.008,desi_dvrd
0.7,-0.012,0.007,desi_dvrd
0.934,-0.01,0.006,desi_dvrd
1.1,-0.005,0.007,desi_dvrd
1.32,0.0,0.008,desi_dvrd
2.33,0.01,0.012,desi_dvrd
0.295,-0.01,0.02,desi_fap
0.51,0.0,0.02,desi_fap
0.7,0.01,0.02,desi_fap
0.934,0.02,0.02,desi_fap
1.1,0.02,0.02,desi_fap
1.32,0.02,0.02,desi_fap
2.33,-0.03,0.04,desi_fap
0.1,-0.08,0.1,union3_mu
0.2,-0.12,0.08,union3_mu
0.3,-0.1,0.07,union3_mu
0.4,-0.07,0.06,union3_mu
0.5,-0.05,0.05,union3_mu
0.6,-0.02,0.05,union3_mu
0.7,0.0,0.05,union3_mu
