model,parameter,delta_vs_lcdm,shift_in_sigma,model_mean,lcdm_mean
EDE,H0,2.780000000000001,2.6770399748054263,70.9,68.12
w0wa,H0,-4.6200000000000045,-2.4055975283917057,63.5,68.12
EDE,ln10As,0.01100000000000012,0.4994842701051552,3.067,3.056
w0wa,ln10As,-0.019000000000000128,-0.9945054529214127,3.037,3.056
EDE,ns,0.014500000000000068,2.0254478577317863,0.9817,0.9672
w0wa,ns,-0.0040000000000000036,-0.796029752167992,0.9632,0.9672
EDE,ombh2,0.00011999999999999858,0.5547001962252225,0.02241,0.02229
w0wa,ombh2,-0.00011000000000000246,-0.6217567608386575,0.02218,0.02229
EDE,omega_m,-0.0038000000000000256,-0.7164711881047933,0.2999,0.3037
w0wa,omega_m,0.049299999999999955,2.31200738963828,0.353,0.3037
EDE,sigma8,0.018199999999999994,1.6844632620122773,0.8283,0.8101
w0wa,sigma8,-0.030100000000000016,-1.7790729149422815,0.78,0.8101
EDE,tau,-0.0039000000000000007,-0.3701549450728159,0.0582,0.0621
w0wa,tau,-0.010100000000000005,-0.9779588566091761,0.052,0.0621
