dataset,source_file,cycle,rmse_v,mae_v,cost,Qmax_Ah,R0_Ohm,kappa_V,tau_s,alpha_ocv,beta_temp,gamma_age
CS2_36,CS2_36_1_24_11.xlsx,21,0.08884607062474538,0.055874824292034234,2.227498506419728,1.1908820129277933,0.048939557938903464,0.09740353103163536,413.988364232732,0.9362397796688703,0.0199999999,0.15374582289892424
CS2_36,CS2_36_1_24_11.xlsx,22,0.09086035014205308,0.05779774751974884,2.2678928282305586,1.1854179249107035,0.010037466046280119,0.0962455042806322,449.99942727419847,0.945161532010998,0.0199,0.17999999979488382
CS2_36,CS2_36_1_24_11.xlsx,23,0.0814526718254702,0.051764975936020495,1.904352932387304,1.1748058707616267,0.010009904665997814,0.09357242784317535,449.99792943321034,0.942179147754447,0.0199999999,0.17982365097263656
CS2_36,CS2_36_1_24_11.xlsx,24,0.09204258337060674,0.05892297924062153,2.2804645377677852,1.1761006185115057,0.013480213684575483,0.0974207047844145,443.6204727556793,0.9450929001190818,0.0199999999,0.17990863158700973
CS2_36,CS2_36_1_24_11.xlsx,25,0.09106801232405307,0.0574084476112237,2.4528132281923387,1.19993414823863,0.03506549998874022,0.0931619684220497,364.24609064631267,0.9357800949175047,0.0199999999,0.1519036610397909
CS2_36,CS2_36_1_24_11.xlsx,26,0.0977183329949597,0.06256724621867948,2.724404909288349,1.1132848418252077,0.029684956742343,0.09583136052227724,199.15714603089862,0.9379727042949328,0.0199999999,0.1799452802168654
CS2_36,CS2_36_1_24_11.xlsx,27,0.09136293963082313,0.05816563669803825,2.4038519945701715,1.1999984822281045,0.010000275045169964,0.09150526978930551,449.9982708955456,0.9426665645129467,0.0199999999,0.17989235214920893
CS2_36,CS2_36_1_24_11.xlsx,28,0.08372382815875935,0.05374609029392895,2.1932079060436798,1.1999707300684608,0.018519631793234632,0.08578418361421636,447.68031146754015,0.9352191659940889,0.0199999999,0.08487141040213789
CS2_36,CS2_36_1_24_11.xlsx,29,0.08793232978493234,0.055494183097384395,2.3890967508172323,1.186464011511884,0.03814710141777073,0.08777554538812407,366.57289317142556,0.9322792831605743,0.0199999999,0.17990475746444012
CS2_36,CS2_36_1_24_11.xlsx,30,0.08228348107728656,0.052652736361189244,2.001665203817953,1.140145898809004,0.03876628236893408,0.09249367438734378,323.033478344113,0.9330293286144015,0.0199999999,0.1708794031723649
