dataset,source_file,cycle,n_points,duration_s,capacity_ah,v_mean,v_min,v_max,i_mean,i_std,temp_mean,temp_max
CS2_36,CS2_36_1_10_11.xlsx,1,83,2451.7841897058843,0.7491565870911311,3.607654583023255,2.699855327606201,4.017177581787109,-1.1000022557844598,0.00011237287582221879,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,2,82,2399.6109116085463,0.7331979137024869,3.5892759503387826,2.699855327606201,4.013614177703857,-1.0999792130982005,0.00011798530632937768,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,3,77,2275.306828019835,0.6951974197578319,3.5608422384633647,2.699855327606201,3.9925577640533447,-1.0999306331981311,9.995405640785796e-05,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,4,76,2236.617578726211,0.6833738045737721,3.547787754159225,2.699855327606201,3.989318370819092,-1.0999407360428257,0.00011275341183585228,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,5,79,2315.546550354331,0.7075062200559699,3.570111000085179,2.699693441390991,3.9982268810272217,-1.0999779776681828,0.00011528636172088964,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,6,79,2325.0947083018546,0.7104221009186942,3.577182446854024,2.699693441390991,4.000008583068848,-1.0999503407297255,0.00010323704636020843,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,7,79,2325.1894266992385,0.7104485468583883,3.5780353515963013,2.699531316757202,4.000332355499268,-1.0999733677393273,0.00011134219928996183,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,8,75,2203.2449861069035,0.6731725255869909,3.5445829518636067,2.699693441390991,3.989318370819092,-1.0999511098861694,0.0001236835487314253,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,9,73,2156.949024866597,0.6590181776391537,3.5371821579867846,2.699855327606201,3.988832473754883,-1.0999203757063982,0.0001242032396173885,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,10,73,2132.1209812274465,0.651425562444099,3.5230039962350506,2.699855327606201,3.988832473754883,-1.099912898181236,0.00012023565157047306,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,11,72,2102.2462722354394,0.6422941992996014,3.518241630660163,2.699855327606201,3.988508462905884,-1.0998980518844392,0.00011912966535940771,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,12,56,1638.954756602223,0.5007457215622679,3.4780261644295285,2.699693441390991,3.8639516830444336,-1.0998709797859192,0.00012241109378781487,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,13,71,2081.3249676169653,0.6359064833841419,3.519851368917546,2.699855327606201,3.988508462905884,-1.0998879083445374,0.0001121512289674959,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,14,71,2078.9028305862594,0.6351602178634312,3.5127131838194083,2.699855327606201,3.988346576690674,-1.0998827840240908,0.00013460488634241266,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,15,73,2150.216652698655,0.656963963864241,3.5460063170080316,2.699855327606201,3.989318370819092,-1.0999054239220816,0.00011565998256419933,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,16,74,2170.50003282298,0.6631537808653096,3.548823234197256,2.699693441390991,3.989642381668091,-1.0999027619490753,0.00011709818443853151,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,17,74,2182.0315239068877,0.6666839294764557,3.556611044986828,2.699855327606201,3.989642381668091,-1.0999003052711487,0.00012650491017000942,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,18,71,2074.762527913059,0.6338964461392926,3.5179670226406046,2.699855327606201,3.988508462905884,-1.0998750975434208,0.00011319993860102211,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,19,70,2046.7938443227613,0.6253470900463682,3.5106225524629866,2.699855327606201,3.988346576690674,-1.099893069267273,0.00010868297002933438,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,20,70,2041.932317762723,0.6238615466678343,3.510337952205113,2.699855327606201,3.988346576690674,-1.099893069267273,0.00010868297002933438,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,21,69,2020.7473079398042,0.6173900877644112,3.5090347131093345,2.699693441390991,3.988346576690674,-1.0998904722324316,0.00012388903398237683,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,22,69,2012.653542746557,0.614921330051299,3.5045511204263438,2.699855327606201,3.9881844520568848,-1.099914198336394,0.00011552238778831422,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,23,68,1987.8416565817606,0.6073307148387599,3.499006176696104,2.699693441390991,3.987860679626465,-1.0998958208981682,0.00011660912085706816,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,24,69,2028.2162948583427,0.6196702539735046,3.512959625409997,2.699855327606201,3.987860679626465,-1.0998746519503386,0.00010149383069055031,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,25,71,2079.3874304381607,0.6353082057133594,3.5299392787503523,2.699855327606201,3.988832473754883,-1.0998981586644347,0.00013110106450796055,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,26,71,2094.717402234819,0.6399937024760192,3.5410469451420745,2.699855327606201,3.989156484603882,-1.099900719145654,9.600411279660838e-05,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,27,72,2106.1717833168805,0.6434961847920455,3.536911212735706,2.699693441390991,3.989318370819092,-1.099903103378084,9.742886004709335e-05,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,28,68,2002.7008634123194,0.6118719385020377,3.511173188686371,2.699855327606201,3.9881844520568848,-1.0998958208981682,0.00012467679543872137,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,29,67,1964.9510826884361,0.6003409751854321,3.4997335369907208,2.699855327606201,3.987698554992676,-1.0998931856297736,0.00010180813715927488,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,30,67,1977.1074567930773,0.6040536094559599,3.5074985489916446,2.699855327606201,3.988022565841675,-1.0999040461298246,0.00010571568575040584,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,31,67,1966.4196354737505,0.600787187898419,3.501785997134536,2.699855327606201,3.988022565841675,-1.099887755379748,0.00011965047951152378,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,32,67,1960.9533000389347,0.5991067321306183,3.4994506942692087,2.699855327606201,3.987860679626465,-1.0998959007547862,0.0001174742694333357,25.0,25.0
CS2_36,CS2_36_1_10_11.xlsx,33,66,1938.7660630274913,0.5923306394695587,3.4958716161323315,2.699693441390991,3.987698554992676,-1.0998904705047607,0.00010969789310113603,25.0,25.0
