simulation_index,mode,difference,ell
0,ell_2,0.00044273128804332777,2
1,ell_2,0.00022773658144544992,2
2,ell_2,0.00019927445251880657,2
3,ell_2,0.00029949425815940903,2
4,ell_2,0.00027552824978587995,2
5,ell_2,0.00023916853002785827,2
6,ell_2,0.00042495199023245606,2
7,ell_2,0.0004836855855255088,2
8,ell_2,0.000313558491303921,2
9,ell_2,0.0006280046150103751,2
10,ell_2,0.00016951440654753905,2
11,ell_2,0.0002723131647533885,2
12,ell_2,0.00020963571089770025,2
13,ell_2,0.00011797988762938224,2
14,ell_2,0.00028785075434444995,2
15,ell_2,0.00028228260667925275,2
16,ell_2,0.0006393853640786968,2
17,ell_2,0.000411244659893382,2
18,ell_2,0.00017977194268300632,2
19,ell_2,0.0007581102001229622,2
20,ell_2,0.0005524148602480545,2
21,ell_2,0.0004013489812999097,2
22,ell_2,0.0002678803499022548,2
23,ell_2,0.00018568707348960408,2
24,ell_2,0.00024905632771898346,2
25,ell_2,0.0005170588948242213,2
26,ell_2,0.0007697575750076176,2
27,ell_2,0.0006489815180984097,2
28,ell_2,0.0002349464847547329,2
29,ell_2,0.0001713955011257938,2
30,ell_2,0.00032189506202976137,2
31,ell_2,0.00012391090408118635,2
32,ell_2,0.0003526113051665594,2
33,ell_2,0.00027865687368123484,2
34,ell_2,0.00023764173483406835,2
35,ell_2,0.00013515617221172802,2
36,ell_2,0.0003878359837437392,2
37,ell_2,0.00022985117972493368,2
38,ell_2,0.00016713870838513958,2
39,ell_2,7.135385472312507e-05,2
40,ell_2,0.0002959010246220183,2
41,ell_2,0.0007277141157981022,2
42,ell_2,0.0006884289255185369,2
43,ell_2,0.00023870640035326965,2
44,ell_2,0.00022199979189797071,2
45,ell_2,0.0003792401337367171,2
46,ell_2,0.00018210614931644424,2
47,ell_2,0.00034886269634096847,2
48,ell_2,0.0004400210707564484,2
49,ell_2,0.0005540467594907127,2
50,ell_2,0.0002853468438848057,2
51,ell_2,0.00027095306108998007,2
52,ell_2,0.00019340591779377423,2
53,ell_2,0.00019841132951611324,2
54,ell_2,0.00026788104732272964,2
55,ell_2,0.00036049036444658607,2
56,ell_2,0.0004737002737243648,2
57,ell_2,0.0002007766305488839,2
58,ell_2,0.0006327824986915184,2
59,ell_2,0.0002619675586465828,2
60,ell_2,0.0002968119660860352,2
61,ell_2,0.00020647444156547803,2
62,ell_2,8.926971963269187e-05,2
63,ell_2,0.0004667553165064304,2
64,ell_2,0.00043363554498302494,2
65,ell_2,0.00026063440965602236,2
66,ell_2,0.00031021879326889303,2
67,ell_2,0.0003882898448338313,2
68,ell_2,0.0001373468593457084,2
69,ell_2,0.0002302708295522837,2
70,ell_2,0.00044626583384372166,2
71,ell_2,0.00016023440318919756,2
72,ell_2,0.0003474293867432043,2
73,ell_2,0.00015224507719070946,2
74,ell_2,0.00037879587283020614,2
75,ell_2,0.00029470113275937226,2
76,ell_2,0.00013378266318673176,2
77,ell_2,0.0005370827351836896,2
78,ell_2,0.0002077814250878684,2
79,ell_2,0.00020006778940610847,2
80,ell_2,0.0003316456478851368,2
81,ell_2,0.0005327760405996546,2
82,ell_2,0.00018052541391356663,2
83,ell_2,0.00030939612059423526,2
84,ell_2,0.000371738527779165,2
85,ell_2,0.0004242552497755617,2
86,ell_2,0.0003276687705607175,2
87,ell_2,0.0002497020869585755,2
88,ell_2,0.00019834091922351,2
89,ell_2,0.00031320390001033207,2
90,ell_2,0.00017551297445000453,2
91,ell_2,6.962385361024134e-05,2
92,ell_2,0.0003731805596830703,2
93,ell_2,0.00047142022570817823,2
94,ell_2,9.204855935570384e-05,2
95,ell_2,0.00018107605245076656,2
96,ell_2,0.0004088546055375399,2
97,ell_2,0.0008392681058826666,2
98,ell_2,0.00030313532667530167,2
99,ell_2,0.00020846705184796447,2
100,ell_2,0.0002737825707888613,2
101,ell_2,0.0005965843765330521,2
102,ell_2,0.00021719604635180207,2
103,ell_2,0.000201177272344585,2
104,ell_2,0.00023566486060360787,2
105,ell_2,0.0001862552734206652,2
106,ell_2,0.0003189765638890704,2
107,ell_2,0.0006759517541469855,2
108,ell_2,0.00035259571285097056,2
109,ell_2,0.0002644377102577172,2
110,ell_2,0.0002592717761227785,2
111,ell_2,0.0001373025754335653,2
112,ell_2,0.00046653701495103937,2
113,ell_2,0.0002885487000831078,2
114,ell_2,0.00027411357227475345,2
115,ell_2,0.001480797774832156,2
116,ell_2,0.0003483330034995276,2
117,ell_2,0.00020600222086069095,2
118,ell_2,0.0002424034960048548,2
119,ell_2,0.0005327249923834153,2
120,ell_2,0.00031748090662969545,2
121,ell_2,0.00014615146062166816,2
122,ell_2,0.00047503901710922177,2
123,ell_2,0.00021480065927634016,2
124,ell_2,0.000765425097704011,2
125,ell_2,0.0005148144309685543,2
126,ell_2,0.0002398758569547194,2
127,ell_2,0.0005692334638577967,2
128,ell_2,0.0003103529598407602,2
129,ell_2,0.00045951395542062585,2
130,ell_2,0.0003822783022621491,2
131,ell_2,0.00019648854749856247,2
132,ell_2,0.0002174583979623952,2
133,ell_2,0.0005020817140548992,2
134,ell_2,0.0002537614896152722,2
135,ell_2,0.0002451715680047492,2
136,ell_2,0.0001860882800391884,2
137,ell_2,0.00037077003084182814,2
138,ell_2,0.0008413812900983326,2
139,ell_2,0.00017591765522765432,2
140,ell_2,0.0003036550043903052,2
141,ell_2,0.000607828489397078,2
142,ell_2,0.00028828851850497527,2
143,ell_2,0.00037614261729170646,2
144,ell_2,0.00017637029092264095,2
145,ell_2,0.00037164385745253574,2
146,ell_2,0.0002732016977950077,2
147,ell_2,0.0004910998524003759,2
148,ell_2,0.0005431988724234002,2
149,ell_2,0.0010950598471247334,2
150,ell_2,0.0004008547175408292,2
151,ell_2,0.0003530750473092841,2
152,ell_2,0.00033062163519105326,2
153,ell_2,0.0002514387266511073,2
154,ell_2,0.00035532199139138486,2
155,ell_2,0.0002588067824501062,2
156,ell_2,0.00032636388247684966,2
157,ell_2,0.0005797408784734097,2
158,ell_2,0.0001813649304868099,2
159,ell_2,0.0005304479059548603,2
160,ell_2,0.0005796010420519568,2
161,ell_2,0.00028280234078438316,2
162,ell_2,0.00010384039170558424,2
163,ell_2,0.0002213779631255312,2
164,ell_2,0.0005737993369110733,2
165,ell_2,0.0002965893266859956,2
166,ell_2,0.0001820226916150836,2
167,ell_2,0.0002330830934040308,2
168,ell_2,0.0004567300371043185,2
169,ell_2,0.0003943146752805356,2
170,ell_2,0.0002662182404120745,2
171,ell_2,0.00024972748635704767,2
172,ell_2,0.0002466334928733102,2
173,ell_2,0.00018915700460536865,2
174,ell_2,0.0006728149435465663,2
175,ell_2,0.00025534670267572803,2
176,ell_2,0.0005513455444838137,2
177,ell_2,0.0006419051174395726,2
178,ell_2,0.0004941988288342046,2
179,ell_2,0.0002417664840352092,2
180,ell_2,0.00036710485651612646,2
181,ell_2,0.0002963925243049801,2
182,ell_2,0.000190934711363899,2
183,ell_2,0.0003528214478523204,2
184,ell_2,0.0001663780450831815,2
185,ell_2,0.0005432785484020281,2
186,ell_2,0.00023781042579676788,2
187,ell_2,0.00033174357385915525,2
188,ell_2,0.0003456498990833488,2
189,ell_2,0.00026357289940553904,2
190,ell_2,0.00040227236150648833,2
191,ell_2,0.00023659046398201149,2
