agent,airborne,ground,"ground, airborne"
ammonium iodide,0,1,0
calcium chloride,5,0,0
carbon dioxide,3,1,0
dry ice,2,0,0
ionized air,5,12,0
silver iodide,159,252,110
"silver iodide, acetone",0,6,0
"silver iodide, ammonium iodide",0,59,0
"silver iodide, ammonium iodide, acetone",0,15,0
"silver iodide, ammonium iodide, ammonium perchlorate, sodium perchlorate, acetone",0,2,0
"silver iodide, ammonium iodide, ammonium perchlorate, sodium precipitate, acetone",0,1,0
"silver iodide, ammonium iodide, ammonium sodium perchlorate, acetone",0,1,0
"silver iodide, ammonium, sodium perchlorate, acetone",0,1,0
"silver iodide, calcium chloride",23,0,0
"silver iodide, cesium iodide",0,0,2
"silver iodide, dry ice",5,0,7
"silver iodide, hygroscopic",3,0,5
"silver iodide, hygroscopic aerosols",12,0,2
"silver iodide, hygroscopic agents",5,0,1
"silver iodide, hygroscopic materials",4,0,0
"silver iodide, liquid propane",0,0,1
"silver iodide, potassium chloride",2,0,0
"silver iodide, propane",0,0,3
"silver iodide, silver chloride, potassium iodide",0,1,0
"silver iodide, sodium chloride",5,0,0
"silver iodide, sodium iodide",0,108,0
"sulfur dioxide, calcium carbonate",1,0,0
water,2,1,0
