feature,coef_mean,coef_abs
magnetic_fraction,-1.9643468027273863,1.9643468027273863
frac_F,-1.4993138708322524,1.4993138708322524
frac_B,1.3641885696944347,1.3641885696944347
anion_fraction,1.249300112155201,1.249300112155201
frac_Gd,-1.171706632201871,1.171706632201871
frac_Yb,-1.137415998211369,1.137415998211369
frac_Fe,1.1353189326764224,1.1353189326764224
frac_Cl,1.0931530996334287,1.0931530996334287
edge_per_node,1.030455754144933,1.030455754144933
bond_std,0.8613044919725168,0.8613044919725168
frac_Br,0.7605657988127354,0.7605657988127354
bond_min,0.7345888091507996,0.7345888091507996
frac_I,0.6895493234273344,0.6895493234273344
frac_Te,-0.6879290921922916,0.6879290921922916
frac_Pr,0.6734238053786098,0.6734238053786098
frac_Cr,-0.6698194291061597,0.6698194291061597
frac_Sm,-0.6614785692975614,0.6614785692975614
dist_max,-0.6429808265705679,0.6429808265705679
frac_Se,0.6001014626805148,0.6001014626805148
frac_Co,0.5552134452821994,0.5552134452821994
frac_Er,-0.5539059474894076,0.5539059474894076
bond_mean,-0.45333602864709255,0.45333602864709255
dist_min,-0.4522210284414362,0.4522210284414362
bond_max,-0.42531546020220573,0.42531546020220573
count_P,-0.42371930213575776,0.42371930213575776
frac_O,0.4170652824488257,0.4170652824488257
frac_Si,-0.4062688940460778,0.4062688940460778
count_Gd,0.3884317481553903,0.3884317481553903
count_B,-0.3792338195295662,0.3792338195295662
frac_C,-0.37132501511501403,0.37132501511501403
frac_H,-0.3706804809220013,0.3706804809220013
frac_S,-0.33521017967094774,0.33521017967094774
frac_N,0.3219145084682495,0.3219145084682495
count_Sm,0.31587365273774803,0.31587365273774803
count_S,0.31560208843641374,0.31560208843641374
count_Yb,0.31512242845185023,0.31512242845185023
count_Ti,-0.29582865142845816,0.29582865142845816
count_Mn,-0.2708888384409202,0.2708888384409202
count_Pr,-0.2667485136855594,0.2667485136855594
frac_Ho,0.26046663295289235,0.26046663295289235
magnetic_count,0.259133894396341,0.259133894396341
dist_std,-0.2549154056997239,0.2549154056997239
frac_Ti,-0.252838185315194,0.252838185315194
count_Co,-0.2253374264516589,0.2253374264516589
count_C,0.21491580072904756,0.21491580072904756
count_Si,0.18783621941254236,0.18783621941254236
count_Fe,0.1816715617797536,0.1816715617797536
frac_Mn,0.17009906287792279,0.17009906287792279
count_N,-0.16576503851524635,0.16576503851524635
count_Cr,0.1420014700777988,0.1420014700777988
count_O,-0.1404996056783126,0.1404996056783126
frac_Nd,-0.13733886001777804,0.13733886001777804
count_Br,0.1313700342875163,0.1313700342875163
anion_count,-0.12973245819201312,0.12973245819201312
count_Ho,0.12335022262324502,0.12335022262324502
frac_Ni,-0.11150137132817531,0.11150137132817531
frac_P,-0.1105957386265067,0.1105957386265067
count_Er,-0.10530172510798219,0.10530172510798219
count_Te,0.09724180639695118,0.09724180639695118
num_edges,-0.0951536985351771,0.0951536985351771
num_nodes,0.09419727142472407,0.09419727142472407
count_Nd,-0.06945745714524028,0.06945745714524028
frac_V,-0.06286329718209965,0.06286329718209965
count_H,-0.05872236539268901,0.05872236539268901
count_I,0.05800097732570499,0.05800097732570499
count_Se,-0.040325743951417956,0.040325743951417956
count_Ni,0.03943995700383357,0.03943995700383357
count_F,0.03803793050623823,0.03803793050623823
unique_elements,0.03149860545269205,0.03149860545269205
count_V,-0.01319453417360893,0.01319453417360893
dist_mean,-0.0007319546231624896,0.0007319546231624896
count_Cl,0.00032439513634210937,0.00032439513634210937
