,feature,imp
21,Tail_end_1_x,0.07603324273554395
22,Tail_end_1_y,0.06995493570986254
10,Center_1_y,0.03938987329831798
18,Tail_base_1_x,0.039276591510500246
45,Tail_end_2_x,0.03880547966236973
46,Tail_end_2_y,0.03420075326867228
15,Lat_right_1_x,0.03329343912456911
19,Tail_base_1_y,0.032129633504873516
12,Lat_left_1_x,0.03151274018225543
42,Tail_base_2_x,0.03071972274161461
43,Tail_base_2_y,0.030135971333160403
9,Center_1_x,0.02823325226953843
16,Lat_right_1_y,0.027171287423751037
36,Lat_left_2_x,0.024095021192925548
27,Ear_left_2_x,0.02388203497588246
25,Nose_2_y,0.023724053814017387
39,Lat_right_2_x,0.022719699589946237
31,Ear_right_2_y,0.02252676029490356
13,Lat_left_1_y,0.02214249338210792
6,Ear_right_1_x,0.022129898550618775
