target_Tg,decoder,anchor_idx,acid_decoded,epoxide_decoded,acid_canonical,epoxide_canonical,valid,novel_pair,novel_monomer,pred_tg,pred_tg_reencoded,abs_err_reencoded
350.0,greedy,18,Cc1ccc(CN(C)C(=O)N(CC2CO2)CC2CO2)cc1C,CC(C)c1ccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,Cc1ccc(CN(C)C(=O)N(CC2CO2)CC2CO2)cc1C,CC(C)c1ccc(C(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,True,True,True,350.000244140625,349.80307,0.196929931640625
350.0,sample,113,O=C(O)CCN(CCC(=O)O)C(=O)C1CCN(C(=O)CCC2CC2)CC1,O=C(Cn1cccc1)Nc1cccc(CN(CC2CO2)CC2CO2)c1,O=C(O)CCN(CCC(=O)O)C(=O)C1CCN(C(=O)CCC2CC2)CC1,O=C(Cn1cccc1)Nc1cccc(CN(CC2CO2)CC2CO2)c1,True,True,True,349.99951171875,350.2739,0.273895263671875
350.0,greedy,94,Cc1cc(C)c(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)c(C)c1,O=C(CCCCC1CO1)NCCCNC(=O)COC(=O)Cc1ccc(OCC2CO2)cc1,Cc1cc(C)c(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)c(C)c1,O=C(CCCCC1CO1)NCCCNC(=O)COC(=O)Cc1ccc(OCC2CO2)cc1,True,True,True,350.0000915527344,349.71225,0.287750244140625
350.0,greedy,117,O=C(O)CCC(CCC(=O)O)C(=O)COC(=O)Cc1ccccc1,COc1ccc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)cc1,O=C(O)CCC(CCC(=O)O)C(=O)COC(=O)Cc1ccccc1,COc1ccc(C(=O)Nc2cc(COCC3CO3)cc(COCC3CO3)c2)cc1,True,True,True,349.9998474121094,350.3726,0.372589111328125
350.0,greedy,33,O=C(O)CCC(CCC(=O)O)C(=O)CN1CCC(NC(=O)CCCC(=O)O)CC1,O=C(NCc1ccc(OCC2CO2)cc1)N1CCC(C(=O)c2ccccc2OCC2CO2)CC1,O=C(O)CCCC(=O)NC1CCN(CC(=O)C(CCC(=O)O)CCC(=O)O)CC1,O=C(c1ccccc1OCC1CO1)C1CCN(C(=O)NCc2ccc(OCC3CO3)cc2)CC1,True,True,True,349.9996032714844,350.41736,0.4173583984375
350.0,greedy,102,O=C(O)CCN(CCC(=O)O)C(=O)CNCc1ccc(Cc2ccccc2)cc1,CCOC(=O)CCN1CCN(C(=O)C2CCN(C(=O)c3ccc(OCC4CO4)cc3OCC3CO3)CC2)c1,O=C(O)CCN(CCC(=O)O)C(=O)CNCc1ccc(Cc2ccccc2)cc1,CCOC(=O)CCN1CCN(C(=O)C2CCN(C(=O)c3ccc(OCC4CO4)cc3OCC3CO3)CC2)C1,True,True,True,350.0001525878906,349.55725,0.4427490234375
350.0,sample,73,O=C(O)CCC(=O)O,O=C(CCCC1CO1)NCC1(C(=O)C(CC2CO2)CC1)c1ccc(OC2CCC2)cc1,O=C(O)CCC(=O)O,O=C(CCCC1CO1)NCC1(c2ccc(OC3CCC3)cc2)CCC(CC2CO2)C1=O,True,True,True,350.0001220703125,350.46518,0.465179443359375
350.0,greedy,112,CC(C)(C)Oc1ccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,N#Cc1ccc(CNC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,CC(C)(C)Oc1ccc(C(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,N#Cc1ccc(CNC(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,True,True,True,350.00006103515625,349.13333,0.866668701171875
350.0,greedy,72,COc1ccc(CC(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(NCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,COc1ccc(CC(=O)OCC(=O)N(CCC(=O)O)CCC(=O)O)cc1,O=C(NCc1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,True,True,True,350.0001525878906,349.07568,0.92431640625
350.0,greedy,152,COc1ccc(C(=O)N2CCC(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)CC1,CN(CCCOCC1CO1)NCCc1ccc(CNC(=O)COCC2CO2)cc1,COC1=CC=C(C(=O)N2C=CC(C(=O)N(CCC(=O)O)CCC(=O)O)CC2)CC1,CN(CCCOCC1CO1)NCCc1ccc(CNC(=O)COCC2CO2)cc1,True,True,True,349.9996032714844,348.88586,1.1141357421875
