n_features,correlation,random_forest,composite,random
5,0.05680116183927646,0.04055680234210588,0.05680116183927646,0.000881570961350842
10,0.09322762663263134,0.07084544225238346,0.09322762663263134,0.13325219016010845
15,0.08811208722777178,0.009559568052485428,0.08811208722777178,0.0033154955625258014
20,0.12090951307618174,0.06488649533550558,0.12090951307618174,0.03463853357670266
30,0.053132109740363594,0.0645540382856956,0.053132109740363594,0.12228001362726096
50,0.0487117912522545,0.07469538883354213,0.0487117912522545,0.060489945387026005
75,0.057694839515694825,0.019518231236989324,0.057694839515694825,0.0855940292692477
100,0.0602976555286436,0.024133918627831416,0.0602976555286436,0.03172802811145829
150,0.03752057371070772,0.029892415974133255,0.03752057371070772,0.06124560023970985
200,0.027745810515366075,0.04150907674562754,0.027745810515366075,0.04534505724854886
