,mean,std,pseudotime_correlation,pseudotime_pvalue,abs_correlation,rf_importance,mutual_info,rank_corr,rank_rf,rank_mi,composite_rank,composite_score
Int_Intg_DNA_nuc,0.2512313862195007,0.11691133537307351,0.7641727906512765,0.0,0.7641727906512765,0.38802097346727343,0.5574465092195897,1.0,1.0,1.0,1.0,1.0
Int_Med_cycA_nuc,0.14740239062731797,0.1565673378441395,0.7597296582245263,0.0,0.7597296582245263,0.18897268397994413,0.514404914583511,2.0,2.0,3.0,2.3333333333333335,0.42857142857142855
AreaShape_Area_nuc,0.22300733929832395,0.08670748466662742,0.6722653079385907,0.0,0.6722653079385907,0.01596623219021091,0.4225404359646321,3.0,8.0,4.0,5.0,0.2
Int_Med_Skp2_nuc,0.23831790095636024,0.17672865029994905,0.5392766174346022,5.222886404492541e-208,0.5392766174346022,0.012096146435481937,0.5375302353844633,9.0,10.0,2.0,7.0,0.14285714285714285
Int_Med_pH2AX_nuc,0.16586293154211304,0.12452908291441099,0.5494304847204444,2.0150648701550205e-217,0.5494304847204444,0.003092650163887432,0.3308739636833531,8.0,17.0,6.0,10.333333333333334,0.0967741935483871
Int_Std_PCNA_nuc,0.2866029499129714,0.15322689667016384,0.386504217924153,5.3736385250172586e-99,0.386504217924153,0.007058996113881772,0.30278717960509827,13.0,12.0,8.0,11.0,0.09090909090909091
Int_Med_Cdt1_nuc,0.08990233714431363,0.08809633174713517,-0.3099531546570173,1.6599885042378577e-62,0.3099531546570173,0.017563019887090813,0.31602445885618824,22.0,7.0,7.0,12.0,0.08333333333333333
Int_Med_cycB1_ring,0.11032973798947003,0.11319884871896722,0.5662086316799493,1.047836610248612e-233,0.5662086316799493,0.002146115853696193,0.26776153420936843,5.5,21.0,11.0,12.5,0.08
Int_Med_E2F1_nuc,0.09031995924146817,0.07439350432347411,0.2602608255228115,5.939100394708325e-44,0.2602608255228115,0.06481018554277335,0.3776382915161003,29.0,4.0,5.0,12.666666666666666,0.07894736842105264
Int_Med_cycB1_cell,0.10365698255252802,0.10741223081638307,0.5575553149001164,3.427594023159535e-225,0.5575553149001164,0.002428484517136023,0.25342063690486594,7.0,20.0,15.0,14.0,0.07142857142857142
Int_Med_cycB1_cyto,0.11032973798947003,0.11319884871896722,0.5662086316799493,1.047836610248612e-233,0.5662086316799493,0.0015042991630238355,0.2715997094510687,5.5,27.0,10.0,14.166666666666666,0.07058823529411765
Int_Med_CDK2_nuc,0.28899941165857596,0.12411791547567387,0.5989412937067397,2.566262591700104e-268,0.5989412937067397,0.0009748794014649769,0.26231230876150047,4.0,36.0,12.0,17.333333333333332,0.057692307692307696
Int_Med_BP1_nuc,0.148425960224218,0.11645655825541709,0.33022322525178305,3.4369869619680084e-71,0.33022322525178305,0.0032821088176310563,0.13259364215879454,19.0,16.0,20.0,18.333333333333332,0.05454545454545455
Int_Med_Cdh1_nuc,0.25393925394880446,0.13356192769653005,-0.2336013432681238,1.6439230030621912e-35,0.2336013432681238,0.01473698920636584,0.2592841547981175,35.0,9.0,13.0,19.0,0.05263157894736842
Int_Med_cycB1_nuc,0.1817855254898706,0.09727663690062868,0.4722788154622838,2.60544481646151e-153,0.4722788154622838,0.001137714564829769,0.14764819674930774,10.0,31.0,19.0,20.0,0.05
Int_Med_p27_nuc,0.2339200430128409,0.12933901366884668,-0.3459818218042001,2.0538795412906105e-78,0.3459818218042001,0.001408296312360003,0.19278033609330514,15.0,28.0,17.0,20.0,0.05
Int_MeanEdge_cycB1_cell,0.16452656051287634,0.12974620956057692,0.3314913502566108,9.34116671795239e-72,0.3314913502566108,0.0025646822481538516,0.09332274451665512,18.0,19.0,26.0,21.0,0.047619047619047616
