entity,rows,start,end,missing_total,Electricity [kW] mean,Electricity [kW] std,Electricity [kW] min,Electricity [kW] max,Heat [mmBTU] mean,Heat [mmBTU] std,Heat [mmBTU] min,Heat [mmBTU] max,Cooling Energy [Ton] mean,Cooling Energy [Ton] std,Cooling Energy [Ton] min,Cooling Energy [Ton] max,PV Power Generation [kW] mean,PV Power Generation [kW] std,PV Power Generation [kW] min,PV Power Generation [kW] max,Greenhouse Gas Emission [Ton] mean,Greenhouse Gas Emission [Ton] std,Greenhouse Gas Emission [Ton] min,Greenhouse Gas Emission [Ton] max
BN001,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,52.01793732694303,11.448828100952591,24.062064419019244,80.27959210349414,10.995809748842248,3.8181933061211986,0.2444178054183048,19.88671206519433,21.504178269879926,7.6523101564286895,3.410272421940705,39.43030981137966,3.4386664690239304,3.5407679828743874,0.0,11.034878855815666,31.88921400758821,7.2530865659195065,16.08731179709554,49.48214731236883
BN002,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,53.973319289298715,11.444019976107889,26.8096260266747,80.52551503715893,12.019623571040821,3.8279796800294377,2.4916518302765605,20.797298507784408,22.97776365607487,7.645677243492814,4.64432640672394,42.3185646373883,2.5527084508003046,2.7182580804778387,0.0,10.271732258780126,33.91174522177642,7.864035088354511,17.65949667011926,50.388138785296185
BN003,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,56.023289861570184,11.44649310295239,30.00670304919887,82.81470831013894,13.004142539574659,3.8226705572555657,4.465354135199229,22.32270253011072,24.50991751119656,7.65746074440022,7.193959903265137,43.007354888732586,2.863706868353562,2.992045482671108,0.0,11.04077534362584,35.383017760720016,6.16964526963298,21.48307327081749,49.22485513608963
BN004,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,58.01679934574985,11.44732948287621,31.00241236075219,84.9850057635353,13.994710557937722,3.8193601159816946,4.818728857399718,22.801752114197555,25.986159344980233,7.616974065898143,8.151241747402448,44.36367517582549,3.5173409393575157,3.642772379765234,0.0,12.29939508500568,36.64537423957353,5.65460398460153,22.48989117240944,49.14692731768269
BN005,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,59.95736173865727,11.508828456766024,31.841969441571933,87.06515864609901,14.999712240669284,3.827552705123291,5.896498993245107,23.76216240079473,27.523961249269192,7.625593574707606,9.356239768223563,45.897827033894266,4.847196159603415,4.6340956444338905,0.0,12.7701014658839,37.55978871158155,7.855161393697705,18.964425415396125,54.86294936567612
BN006,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,61.955990150055825,11.458256301655988,34.69045951812957,90.30289435522236,15.993817923875277,3.8528426253107013,5.4560126445747335,25.050082200442663,28.999888619574957,7.635229512920154,10.85066760169136,46.92787914919211,4.899069073514461,4.750214808654465,0.0,13.39137492378552,39.12658363934826,3.516428333532203,28.650616851139148,50.44511602555245
BN007,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,64.03640337168734,11.542111442538172,35.5306766957758,90.48395285696392,16.99392121786504,3.816910474050975,8.080390793035072,26.366498694682264,30.501313459706516,7.647341529822229,12.806107706239384,49.15232036569629,4.142707415986755,4.129449798717435,0.0,13.200464370709728,41.14528703515111,5.2554826309064016,25.931282138753804,55.11571637231566
BN008,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,65.93124626220471,11.442289818703411,39.895182847992665,92.671884293349,18.020995862406433,3.830074475541406,9.120397244350666,26.744797125892894,31.983656202933677,7.626682578387527,12.711347433340716,49.38967034647015,4.7794253297381255,4.72136570846005,0.0,13.762329546819087,42.37894046554195,6.574680199665045,25.64063831019801,58.76909112711531
BN009,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,68.0078879205728,11.468685596347632,40.60928061463419,96.30704842288549,19.001314534318237,3.8291186227799656,9.75054477572328,28.65097760578828,33.52606851082261,7.6418785661248565,15.034236269313212,52.15068408757151,5.824812722853679,5.536009347830368,0.0,14.832720810868128,43.49714566131956,3.7977884056433293,31.93004792018025,54.91059230868804
BN010,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,70.04137110300552,11.457741646327497,39.08803994953183,95.96763786465472,20.00630332838855,3.824546068472699,11.000584383441854,29.15920886965828,34.95340655373632,7.6279770929555255,15.57090108019332,53.187280094149685,4.466696027791937,4.223259791380603,0.0,12.130554818641498,45.77990984687062,4.84130027919764,30.06080303621944,58.66392943112483
CN01,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,609.9616063697451,60.76888948133276,494.85523176199706,719.9462950473616,155.03035152491825,11.682380953582376,125.92659532092156,187.13196227878103,282.46631337817485,15.46906918932295,236.4260274332009,330.8059650061211,41.33232945702369,38.102212503847724,0.0,86.72296869916829,387.31700658947125,36.590329753621305,312.24025628744056,460.9347694841688
Total,8760,2014-01-01T00:00:00,2014-12-31T23:00:00,0,609.9616063697451,60.76888948133276,494.85523176199706,719.9462950473616,155.03035152491825,11.682380953582376,125.92659532092156,187.13196227878103,282.46631337817485,15.46906918932295,236.4260274332009,330.8059650061211,41.33232945702369,38.102212503847724,0.0,86.72296869916829,387.31700658947125,36.590329753621305,312.24025628744056,460.9347694841688
