aggregated_entity,variable,mae,rmse,max_abs_error,mean_diff,mape
CN01,Electricity [kW],5.067889284279801e-15,2.4811687694014237e-14,2.2737367544323206e-13,-2.5631450285410005e-15,8.645378095926591e-18
CN01,Heat [mmBTU],5.153868199794151e-15,1.2907649793152806e-14,8.526512829121202e-14,-4.006941911706501e-16,3.32436068422097e-17
CN01,Cooling Energy [Ton],9.629638537607203e-15,2.408754278176309e-14,1.7053025658242404e-13,2.0764719218560005e-16,3.422421599224422e-17
CN01,PV Power Generation [kW],9.052119784341003e-16,3.810995369596077e-15,2.842170943040401e-14,-2.5955899023200006e-17,1.1767275263548878e-17
CN01,Greenhouse Gas Emission [Ton],1.6890801289347404e-14,3.403784888879479e-14,1.7053025658242404e-13,-8.760115920330002e-16,4.307065919213095e-17
Total,Electricity [kW],5.067889284279801e-15,2.4811687694014237e-14,2.2737367544323206e-13,-2.5631450285410005e-15,8.645378095926591e-18
Total,Heat [mmBTU],5.153868199794151e-15,1.2907649793152806e-14,8.526512829121202e-14,-4.006941911706501e-16,3.32436068422097e-17
Total,Cooling Energy [Ton],9.629638537607203e-15,2.408754278176309e-14,1.7053025658242404e-13,2.0764719218560005e-16,3.422421599224422e-17
Total,PV Power Generation [kW],9.052119784341003e-16,3.810995369596077e-15,2.842170943040401e-14,-2.5955899023200006e-17,1.1767275263548878e-17
Total,Greenhouse Gas Emission [Ton],1.6890801289347404e-14,3.403784888879479e-14,1.7053025658242404e-13,-8.760115920330002e-16,4.307065919213095e-17
