tool,threshold,precision,recall,f1,positives_called
Uncalled4,0.0,0.2048,1.0,0.3399734395750332,5000
Uncalled4,0.01,0.22441376287530135,1.0,0.3665652407374262,4563
Uncalled4,0.02,0.22710135284985583,1.0,0.3701427796855232,4509
Uncalled4,0.03,0.22969941677882458,1.0,0.37358628237869385,4458
Uncalled4,0.04,0.23256870315693845,1.0,0.37737239727289473,4403
Uncalled4,0.05,0.2354022988505747,1.0,0.3810941570524749,4350
Uncalled4,0.06,0.2384722869119702,1.0,0.38510718315156073,4294
Uncalled4,0.07,0.24242424242424243,1.0,0.3902439024390244,4224
Uncalled4,0.08,0.24698504582730343,1.0,0.39613152804642165,4146
Uncalled4,0.09,0.2525900345337938,1.0,0.4033083891295786,4054
Uncalled4,0.1,0.2579345088161209,1.0,0.41009211053263916,3970
Uncalled4,0.11,0.2639175257731959,1.0,0.4176182707993475,3880
Uncalled4,0.12,0.2703987325059414,1.0,0.4256911245063396,3787
Uncalled4,0.13,0.27833650448491437,1.0,0.4354667233680629,3679
Uncalled4,0.14,0.28675441052926354,1.0,0.4457018498367791,3571
Uncalled4,0.15,0.29357798165137616,1.0,0.4539007092198582,3488
Uncalled4,0.16,0.30277942046126555,1.0,0.4648206990467545,3382
Uncalled4,0.17,0.3125763125763126,1.0,0.4762790697674419,3276
Uncalled4,0.18,0.32302839116719245,1.0,0.48831664282308057,3170
Uncalled4,0.19,0.33387675252689925,1.0,0.500611097531166,3067
Uncalled4,0.2,0.34594594594594597,1.0,0.5140562248995985,2960
Uncalled4,0.21,0.35929824561403506,1.0,0.5286525554981931,2850
Uncalled4,0.22,0.37209302325581395,1.0,0.5423728813559322,2752
Uncalled4,0.23,0.3864150943396226,1.0,0.557430593358737,2650
Uncalled4,0.24,0.40330838912957856,1.0,0.5747965197866965,2539
Uncalled4,0.25,0.4198441984419844,1.0,0.5913947444412359,2439
Uncalled4,0.26,0.4355593364525734,1.0,0.6068148148148148,2351
Uncalled4,0.27,0.4553134726545131,1.0,0.6257256339749465,2249
Uncalled4,0.28,0.47099447513812154,0.9990234375,0.6401752190237797,2172
Uncalled4,0.29,0.49135446685878964,0.9990234375,0.6587250482936252,2082
Uncalled4,0.3,0.5102244389027432,0.9990234375,0.6754704522944868,2005
Uncalled4,0.31,0.5342036553524804,0.9990234375,0.6961551548145627,1915
Uncalled4,0.32,0.559016393442623,0.9990234375,0.7168885774351786,1830
Uncalled4,0.33,0.5862464183381089,0.9990234375,0.7388949079089925,1745
Uncalled4,0.34,0.6107462686567164,0.9990234375,0.7580585402000741,1675
Uncalled4,0.35000000000000003,0.6326530612244898,0.9990234375,0.7747065505490345,1617
Uncalled4,0.36,0.6549295774647887,0.9990234375,0.7911832946635731,1562
Uncalled4,0.37,0.6739273927392739,0.9970703125,0.8042536431666011,1515
Uncalled4,0.38,0.6964529331514324,0.9970703125,0.8200803212851405,1466
Uncalled4,0.39,0.7164912280701754,0.9970703125,0.8338097182523478,1425
Uncalled4,0.4,0.7380607814761215,0.99609375,0.8478802992518703,1382
Uncalled4,0.41000000000000003,0.7606263982102909,0.99609375,0.8625792811839325,1341
Uncalled4,0.42,0.7846153846153846,0.99609375,0.8777969018932874,1300
Uncalled4,0.43,0.7992156862745098,0.9951171875,0.8864723792953457,1275
Uncalled4,0.44,0.8221503637833468,0.9931640625,0.8996019460415746,1237
Uncalled4,0.45,0.8420615128844555,0.9892578125,0.9097440502918724,1203
Uncalled4,0.46,0.8581138487680544,0.986328125,0.9177646524307134,1177
Uncalled4,0.47000000000000003,0.8780487804878049,0.984375,0.9281767955801106,1148
