repetition,mean,std,median
0,0.9426851051143266,0.10132445477665264,0.961974518019542
1,0.9321466295897786,0.10190330970320836,0.948915887213367
2,0.8927035099236038,0.0880166845495228,0.9102584353546734
3,0.9260332978362632,0.08925658215713662,0.9465919295128284
4,0.9764399539697292,0.026508406927738235,0.9851990856136397
5,0.9372315856376983,0.13934205444863,0.9635603180074399
6,0.9669038206238555,0.045045864921142674,0.9758442156458653
7,0.9726328255454676,0.01946638943619843,0.9777007034796884
8,0.9141367089439814,0.12701602645126558,0.9403493830339884
9,0.9665568629318829,0.05033231116792967,0.9759426859200078
