threshold,mean_coverage,std_coverage
0.0,1.0,0.0
0.05,0.9950000000000001,0.006708203932499375
0.1,0.9950000000000001,0.006708203932499375
0.15000000000000002,0.994,0.006633249580710805
0.2,0.992,0.007483314773547889
0.25,0.992,0.007483314773547889
0.30000000000000004,0.992,0.007483314773547889
0.35000000000000003,0.992,0.007483314773547889
0.4,0.992,0.007483314773547889
0.45,0.992,0.007483314773547889
0.5,0.992,0.007483314773547889
0.55,0.991,0.007000000000000006
0.6000000000000001,0.99,0.006324555320336764
0.65,0.99,0.006324555320336764
0.7000000000000001,0.99,0.006324555320336764
0.75,0.985,0.010246950765959608
0.8,0.9799999999999999,0.014142135623730963
0.8500000000000001,0.958,0.04093897898091744
0.9,0.8870000000000001,0.11891593669479292
0.9500000000000001,0.6060000000000001,0.24532427519509764
1.0,0.0,0.0
