frame,bytetrack_idsw,sparsetrack_idsw
0,0,0
1,38,38
2,43,43
3,48,47
4,47,42
5,46,52
6,47,49
7,44,51
8,41,46
9,45,44
10,44,54
11,52,46
12,44,44
13,41,41
14,47,47
15,44,47
16,49,46
17,49,53
18,34,47
19,47,46
20,40,50
21,32,41
22,40,49
23,38,45
24,50,49
25,40,40
26,48,49
27,45,35
28,49,44
29,42,44
30,44,46
31,53,48
32,42,45
33,39,41
34,39,40
35,41,57
36,34,43
37,40,51
38,46,41
39,38,41
40,41,43
41,37,45
42,38,45
43,39,44
44,45,44
45,41,50
46,40,40
47,35,50
48,44,47
49,32,41
50,38,42
51,49,33
52,42,36
53,48,34
54,46,45
55,44,42
56,44,39
57,44,45
58,43,40
59,38,38
60,32,31
61,44,46
62,38,40
63,39,35
64,37,35
65,41,44
66,39,37
67,35,43
68,34,45
69,33,43
70,31,41
71,38,44
72,37,44
73,36,41
74,42,48
75,30,43
76,37,30
77,38,42
78,36,42
79,39,50
80,36,35
81,40,36
82,45,48
83,48,41
84,39,38
85,42,40
86,38,53
87,40,43
88,41,39
89,42,34
90,39,36
91,44,42
92,39,48
93,37,48
94,39,41
95,32,43
96,34,36
97,41,36
98,45,49
99,43,52
