frame,gt_boxes,detections,pred_tracks,matched_gt,mean_score
0,200,153,59,59,0.3726263737577645
1,200,158,78,78,0.3451986421388663
2,200,163,86,86,0.32132289745572656
3,200,164,91,91,0.30329171163561064
4,200,161,98,98,0.299330096641839
5,200,167,100,100,0.28387062148243447
6,200,154,107,107,0.30423484107254434
7,200,170,110,110,0.28350809709499225
8,200,168,111,111,0.2847081490121543
9,200,154,110,110,0.2965633073854436
10,200,155,113,113,0.2831247510940459
11,200,161,113,113,0.2795188917153187
12,200,159,118,118,0.2908422894657835
13,200,152,113,113,0.27958988843890586
14,200,154,122,122,0.3115460576266228
15,200,155,123,123,0.28698434979039433
16,200,159,125,125,0.270631518800796
17,200,157,126,126,0.2652237677552482
18,200,160,128,128,0.2911091574095207
19,200,159,130,130,0.26390788350696276
20,200,165,133,133,0.2894631146652579
21,200,157,130,130,0.28278923779806975
22,200,161,133,133,0.26939882032497114
23,200,168,134,134,0.26416740374715103
24,200,156,137,137,0.2851822144547977
25,200,160,136,136,0.2690857749858538
26,200,158,137,137,0.2710723669765144
27,200,158,136,136,0.26695095396072843
28,200,155,134,134,0.2625061414845818
29,200,155,139,139,0.285781401362893
30,200,151,136,136,0.2763808359922578
31,200,150,135,135,0.2786406975147212
32,200,151,139,139,0.279216388935647
33,200,158,141,141,0.2690690923445838
34,200,162,143,143,0.2805652441090954
35,200,159,145,145,0.2693873028293202
36,200,156,143,143,0.26448292724558614
37,200,165,146,146,0.2621436182586578
38,200,164,144,144,0.28457332598866425
39,200,157,145,145,0.2721900541837193
40,200,157,143,143,0.2746715286416152
41,200,151,135,135,0.2780141446664315
42,200,160,148,148,0.26670760479934125
43,200,154,145,145,0.26766379373346605
44,200,166,149,149,0.2645018241330239
45,200,161,146,146,0.2724248550340763
46,200,150,139,139,0.2760693811284542
47,200,162,148,148,0.26957100178578136
48,200,167,153,153,0.2868819415180264
49,200,163,148,148,0.2830311071772384
50,200,165,152,152,0.27217484547902177
51,200,157,146,146,0.2694484076603683
52,200,157,148,148,0.26850318853747024
53,200,155,146,146,0.2831876350219338
54,200,158,146,146,0.2688165947975074
55,200,154,146,146,0.27128635008150226
56,200,151,144,144,0.2721547313271768
57,200,161,149,149,0.26411717820273994
58,200,151,145,145,0.27449618276536397
59,200,169,155,155,0.27330459878127944
60,200,159,151,151,0.2773920968631083
61,200,155,143,143,0.26832549430656444
62,200,158,147,147,0.28494375002202865
63,200,156,150,150,0.26028907853876865
64,200,155,144,144,0.27727958495018235
65,200,161,147,147,0.28526359668512175
66,200,159,146,146,0.2731454030616718
67,200,153,144,144,0.2807119845286736
68,200,152,145,145,0.2812512647697981
69,200,152,148,148,0.26923345114235514
70,200,166,154,154,0.29880656589123744
71,200,151,147,147,0.28291639804557445
72,200,157,149,149,0.27699320521822735
73,200,150,144,144,0.2737330937754627
74,200,162,152,152,0.2796148800867595
75,200,153,147,147,0.26740276709364497
76,200,161,154,154,0.27380369125784626
77,200,160,154,154,0.27452837127533736
78,200,159,150,150,0.2704830676857116
79,200,158,155,155,0.25428786895762256
80,200,142,137,137,0.27085839476959667
81,200,160,150,150,0.2688269601382677
82,200,168,158,158,0.26863713747524415
83,200,160,154,154,0.26093337728732785
84,200,164,154,154,0.26045220198071456
85,200,170,159,159,0.27583011305292193
86,200,156,149,149,0.29268399942009243
87,200,164,156,156,0.2892907549419726
88,200,150,148,148,0.26370344039388277
89,200,169,159,159,0.2807605880234115
90,200,161,152,152,0.29087717467276236
91,200,158,150,150,0.2834828368887353
92,200,161,153,153,0.271352932088075
93,200,156,154,154,0.2673811491447364
94,200,154,150,150,0.2692537095778952
95,200,155,149,149,0.2633521304276144
96,200,152,148,148,0.26684364642808617
97,200,148,143,143,0.2544451589232002
98,200,156,152,152,0.2721997133753429
99,200,161,154,154,0.26119820541018673
