target,tg_predicted,in_range,nearest_acid,nearest_epoxide,nearest_tg_cal,nearest_tg_md,nn_dist
High Tg (>480 K),534.0431768842567,True,O=C(O)CCC(CCC(=O)O)C(=O)N1CCN(Cc2ncccn2)CC1,Cc1ccc(CCC(=O)NCC(=O)NCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,553.3952658436456,399.4087,1.6649856377937748
High Tg (>480 K),529.507323894321,True,N#Cc1ccc(C(=O)CNC(=O)C(CCC(=O)O)CCC(=O)O)cc1,CN(C)c1ccc(CCC(=O)NCCc2ccc(OCC3CO3)c(OCC3CO3)c2)cc1,505.2248291031236,396.6572,1.6261467114845736
High Tg (>480 K),529.040227501855,True,CC(C)c1ccc(CCNC(=O)Cn2c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c2=O)cc1,COc1ccnc(OCC2CO2)c1C(=O)NCCc1ccc(OCC2CO2)cc1,526.2185083585779,458.682,1.72725915395481
High Tg (>480 K),524.0352011324414,True,N#Cc1ccc(CN(CCC(=O)O)CC(=O)O)cc1,CCNC(=O)COC(=O)c1cc(OCC2CO2)cc(OCC2CO2)c1,510.9562080489759,400.7948,1.5884708088847284
High Tg (>480 K),519.4914246145071,True,CC(C)N1CCCN(CC(=O)N(CCC(=O)O)CCC(=O)O)CC1,O=C(C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1)N1CCN(C(=O)c2cccnc2)CC1,494.8557314248424,388.8528,1.8293556654129572
High Tg (>480 K),518.6802551841938,True,CCN(C)C(=O)c1ccc(CNC(CCC(=O)O)C(=O)O)cc1,Cc1ccc(C(=O)OCC(=O)N2CCN(Cc3ccccc3)CC2)c(OCC2CO2)c1OCC1CO1,531.3188857779186,418.1507,7.082243127098523
High Tg (>480 K),518.3535876136461,True,O=C(O)CCc1cccc(NC(=O)CC2(C(=O)O)CCCCC2)c1,CN(Cc1cccc(O)c1)C(=O)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,544.7145602373921,492.1457,1.4262492177728479
High Tg (>480 K),517.5632329302825,True,Cc1cnn(CC(=O)N(CCC(=O)O)CCC(=O)O)c(=O)c1,O=C(NC(CCOCC1CO1)c1ccccc1)c1cccc(COCC2CO2)c1,503.8079149065823,429.2167,7.900643867128075
High Tg (>480 K),516.9431147142448,True,O=C(O)CCCOCC(=O)N(CCC(=O)O)c1ccccc1,NC(=O)c1cccc(Oc2ccc(NC(=O)C(=O)N(CC3CO3)CC3CO3)cc2)c1,442.5847330148564,454.1458,8.450502508662503
High Tg (>480 K),516.518406725751,True,O=C(O)C(=Cc1ccc(O)c(C(=O)O)c1)c1ccncc1,CCc1cc(C(=O)OCC(=O)Nc2ccc(OCC3CO3)cc2)cc(OCC2CO2)n1,488.87776209079175,448.9512,1.6465152792759468
