dataset,parameter,surrogate_value,direct_value,surrogate_score,direct_score
NASA,particle_radius_um,4.236748871092299,5.190087322381556,11.795074592945118,11.560701783811695
NASA,neg_rate_constant,1.7947720234541618,1.4016804462733898,11.795074592945118,11.560701783811695
NASA,pos_rate_constant,0.7469635714654111,0.811027662489251,11.795074592945118,11.560701783811695
NASA,electrolyte_diffusivity,0.7187908457762456,0.7349655109114172,11.795074592945118,11.560701783811695
NASA,thermal_resistance,1.5370628497604368,1.7511514327149371,11.795074592945118,11.560701783811695
NASA,sei_resistance,0.1674654869093762,0.16596128310886984,11.795074592945118,11.560701783811695
NASA,active_fraction,0.9714436628217915,0.8401208004586793,11.795074592945118,11.560701783811695
Oxford,particle_radius_um,4.145882798036096,4.270681540922726,34.65327838029102,34.81691536816448
Oxford,neg_rate_constant,0.9037079557684095,0.720150263779614,34.65327838029102,34.81691536816448
Oxford,pos_rate_constant,0.8105908908604449,0.5670174341590999,34.65327838029102,34.81691536816448
Oxford,electrolyte_diffusivity,1.5685477392619218,1.5472089159822662,34.65327838029102,34.81691536816448
Oxford,thermal_resistance,1.6954254026184774,1.1751955596501584,34.65327838029102,34.81691536816448
Oxford,sei_resistance,0.02932332123937283,0.020127549518839594,34.65327838029102,34.81691536816448
Oxford,active_fraction,0.905137020547129,0.7593093146764863,34.65327838029102,34.81691536816448
