dataset,cell_id,cycle_idx,duration_s,capacity_ah,v_start,v_end,v_mean,v_std,temp_rise_c,temp_mean_c,current_mean_a,dv_dt_mid
NASA,B0005,1,3690.234,1.8564874208181574,4.191491807505295,3.277169976825196,3.5298286688693397,0.2359570706808563,9.900818955970422,32.572328114029,-1.8187019641679727,-0.00013675770641100922
NASA,B0005,3,3672.344,1.846327249719927,4.189773213846608,3.3002448871222545,3.5373201277859714,0.23476492928592219,9.694384651459377,32.72523522519307,-1.8175598506612867,-0.0001355303951192279
NASA,B0005,5,3651.641,1.8353491942234077,4.188186735991303,3.3274510098686276,3.5437367282719,0.22752543549673088,9.498512551808865,32.64286193755933,-1.8164865418840956,-0.00013548012483595887
NASA,B0005,7,3631.563,1.8352625275821128,4.188461118855572,3.314181858907029,3.5436661072601456,0.23274431724182537,9.759213483377053,32.51487646204882,-1.8255891938692528,-0.00013695080613374566
NASA,B0005,9,3629.172,1.8346455082120419,4.188298524761055,3.30549673128648,3.5423432526672167,0.2366885716567803,9.821088030630566,32.38234901543077,-1.8261139590277586,-0.00013699161639818503
NASA,B0005,11,3652.281,1.8356616600675495,4.188815807948604,3.302329112973759,3.5413347346347575,0.23931625998293235,9.67862954407801,32.43418218230641,-1.8168108743168803,-0.00013616893842565404
NASA,B0005,13,3650.828,1.8351461429226603,4.18839163793879,3.2937406695499014,3.5410250495075215,0.2425153341196382,9.713406476715374,32.480416444757985,-1.816791144707133,-0.00013608366026776343
NASA,B0005,15,3572.453,1.8257567905665537,4.188927891511958,3.3162307407741536,3.554133296801584,0.22731251096165395,10.04861303702737,32.41046186109587,-1.8443412120754061,-0.00013937595923519818
NASA,B0005,17,3550.594,1.8247738529891333,4.189029250882121,3.297410935416153,3.5529355991467955,0.2324538495076242,10.416617894591525,32.3461408313,-1.853972745505648,-0.000140318575001254
NASA,B0005,19,3551.25,1.824613268496936,4.189223427076418,3.2884044830952868,3.5512057319376997,0.23672870147542147,10.45767899775148,32.27679750791685,-1.8535899338510957,-0.00014046133877885925
NASA,B0005,21,3530.25,1.8246195526864504,4.188916055911241,3.2662755750614747,3.549292319740949,0.2430973444996006,10.885763693803671,32.15709350345252,-1.863380178294828,-0.00014047775892431973
NASA,B0005,24,3491.016,1.8142019357673917,4.189876247266316,3.296199859463087,3.559759220648976,0.22886185175957943,10.848631647140781,32.36407129853099,-1.872968810287894,-0.00014347989237549195
NASA,B0005,26,3470.281,1.8137521577549054,4.189286794768804,3.2717574155336004,3.558081969139198,0.23460775776275253,11.224633355372834,32.3181954403762,-1.8826095043160833,-0.00014335056397960964
NASA,B0005,28,3470.0,1.8134404914735822,4.188837765892728,3.2648550840850254,3.555692244172496,0.237911318298918,11.421626290326273,32.15709029211502,-1.882536787636365,-0.00014330445285635324
NASA,B0005,30,3450.297,1.8025980036306504,4.189110301768517,3.309111201518355,3.562746818017503,0.22392608690207388,11.059924568016712,32.04407000314609,-1.8817935155260215,-0.0001449694766111875
NASA,B0005,32,3429.407,1.80210690024615,4.18921207304098,3.2881490528689254,3.5614521756489204,0.22796979172772144,11.484895762603902,31.931593674911532,-1.8921861285036712,-0.00014579681804860809
NASA,B0005,34,3409.484,1.802579500826209,4.188899969428112,3.260754100903525,3.5603420474985823,0.23297600498562532,11.879883795251565,31.941655359029298,-1.9027629207037406,-0.00014584630801020026
NASA,B0005,36,3390.422,1.8030683142834096,4.188779799856791,3.2294668217844102,3.5591189041401865,0.23873643876806222,12.319797328444299,31.965008645476725,-1.9133470605822436,-0.0001473003444434904
NASA,B0005,38,3390.281,1.8027776247196041,4.189272591516219,3.224378894859077,3.557886771846508,0.24145031412156678,12.417460518257183,31.966241678512723,-1.9131602105481538,-0.0001476956033286653
NASA,B0005,41,3591.734,1.8470259949329193,4.187614060563439,3.2587403321633976,3.5520375235511907,0.23416563071224794,10.376104369035353,32.37143341978575,-1.8553455745575975,-0.00013699756200453907
NASA,B0005,45,3552.297,1.847417311283644,4.1876287811083985,3.2180462147957645,3.5525668436897124,0.2441722414090925,11.14671269463825,32.70024990461686,-1.8746995273150975,-0.0001395184494847491
NASA,B0005,49,3531.578,1.8361774213478947,4.187447226312926,3.2573096268397737,3.556794038327039,0.23311973567394634,11.005353173718877,32.32266411829938,-1.873827212788385,-0.00013900352069549178
NASA,B0005,53,3492.907,1.8257807475776242,4.187344026387161,3.2802567474945943,3.5614100044534203,0.22484633144049296,11.278949324436436,31.98795810666763,-1.883193546754683,-0.00014105167978102943
