agent_simplified,augment snowpack,augment snowpack; increase precipitation,augment snowpack; increase runoff,augment snowpack; increase runoff; research,augment snowpack; research,augment snowpack; suppress fog,increase precipitation,increase precipitation; increase runoff,increase precipitation; suppress hail,research,suppress fog,suppress hail
ammonium iodide,0,0,1,0,0,0,0,0,0,0,0,0
calcium chloride,0,0,0,0,0,0,2,0,1,2,0,0
carbon dioxide,0,0,0,0,0,0,0,0,0,0,4,0
dry ice,0,0,0,0,0,0,0,0,0,0,2,0
ionized air,1,0,0,0,0,0,3,0,7,0,0,10
other,0,0,0,0,0,0,2,0,0,2,0,0
silver iodide,279,126,5,0,3,0,179,2,52,0,0,1
silver iodide + ammonium compounds,33,0,44,2,0,0,0,0,0,0,0,0
silver iodide + calcium chloride,0,0,0,0,0,0,19,0,4,0,0,0
silver iodide + cesium iodide,0,2,0,0,0,0,0,0,0,0,0,0
silver iodide + dry ice,0,0,0,0,0,7,0,0,5,0,0,0
silver iodide + hygroscopic,13,0,0,0,0,0,19,0,0,0,0,0
