operator_affiliation,count,pct
north american weather consultants,201,24.2
weather modification inc,120,14.4
western weather consultants llc,108,13.0
desert research institute,62,7.5
atmospherics inc,52,6.2
pacific gas and electric company,40,4.8
rhs consulting ltd,32,3.8
west texas weather modification association,21,2.5
idaho power company,21,2.5
panhandle groundwater conservation district,19,2.3
clark county,17,2.0
eden valley irrigation and drainage,16,1.9
western kansas groundwater management,15,1.8
south texas weather modification association,13,1.6
water district 34,9,1.1
sacramento municipal utility district,9,1.1
southwest texas rain enhancement association,9,1.1
water enhancement authority,7,0.8
colorado river municipal water district,7,0.8
north plains groundwater district,6,0.7
mud lake water users,5,0.6
belding farms,5,0.6
franklin soil and water conservation,5,0.6
madison county,4,0.5
powell plant farms inc,4,0.5
rainmaker technology corporation,3,0.4
high plains underground water conservation,3,0.4
barken fog ops inc,3,0.4
barken international inc,2,0.2
transpecos weather modification association,2,0.2
texas border weather modification association,2,0.2
district v cloud seeding consortium,1,0.1
awms,1,0.1
powell plant farms,1,0.1
pacific coast forecasting inc,1,0.1
nike noor llc,1,0.1
make sunsets incorporated,1,0.1
let it snow inc,1,0.1
soar program,1,0.1
uw college of the environment,1,0.1
water district 33,1,0.1
