year,purpose,count
2000,augment snowpack,3
2000,"augment snowpack, increase runoff",1
2000,increase precipitation,14
2000,"increase precipitation, suppress hail",3
2001,augment snowpack,6
2001,"augment snowpack, increase precipitation",1
2001,"augment snowpack, increase runoff, research",2
2001,increase precipitation,9
2001,"increase precipitation, increase precipitation",1
2001,"increase precipitation, suppress hail",1
2001,suppress hail,2
2002,augment snowpack,13
2002,"augment snowpack, increase precipitation",3
2002,"augment snowpack, increase runoff",2
2002,"augment snowpack, suppress fog",1
2002,increase precipitation,17
2002,"increase precipitation, suppress hail",3
2002,suppress fog,1
2002,suppress hail,1
2002,"suppress hail, increase precipitation",1
2003,augment snowpack,15
2003,"augment snowpack, increase precipitation",5
2003,"augment snowpack, increase runoff",2
2003,"augment snowpack, suppress fog",1
2003,increase precipitation,19
2003,"increase precipitation, suppress hail",2
2003,suppress fog,1
2003,suppress hail,3
2003,"suppress hail, increase precipitation",1
2004,augment snowpack,16
2004,"augment snowpack, increase precipitation",6
2004,"augment snowpack, increase runoff",2
2004,"augment snowpack, suppress fog",1
2004,increase precipitation,16
2004,"increase precipitation, suppress hail",3
2004,suppress hail,2
2004,"suppress hail, increase precipitation",1
2005,augment snowpack,16
2005,"augment snowpack, increase precipitation",5
2005,"augment snowpack, increase runoff",3
2005,"augment snowpack, suppress fog",1
2005,increase precipitation,15
2005,"increase precipitation, augment snowpack",1
2005,"increase precipitation, suppress hail",3
2005,suppress hail,2
2005,"suppress hail, increase precipitation",1
2006,augment snowpack,12
2006,"augment snowpack, increase precipitation",5
2006,"augment snowpack, increase runoff",3
2006,"augment snowpack, suppress fog",1
2006,increase precipitation,12
2006,"increase precipitation, augment snowpack",1
2006,"increase precipitation, increase precipitation",1
2006,"increase precipitation, suppress hail",3
2006,research,1
2006,"suppress hail, increase precipitation",1
2007,augment snowpack,16
2007,"augment snowpack, increase precipitation",5
2007,"augment snowpack, increase runoff",2
2007,increase precipitation,12
2007,"increase precipitation, augment snowpack",1
2007,"increase precipitation, suppress hail",3
2007,suppress fog,2
2007,"suppress hail, increase precipitation",1
2008,augment snowpack,17
2008,"augment snowpack, increase precipitation",6
2008,"augment snowpack, increase runoff",3
2008,"augment snowpack, suppress fog",1
2008,increase precipitation,7
