cluster,size,best_pose,best_score,mean_score,mean_lrmsd,mean_irmsd,best_lrmsd,best_irmsd,poses
1,2,28,10.784021400486226,20.477847287171713,4.132788408665456,3.012465445085855,2.7040447900662845,2.657454137203784,"28,30"
2,2,103,59.15862643869246,95.87551548424024,18.496248942548874,16.145116687486734,18.29480847664122,15.843293435544432,"103,107"
3,1,102,73.4433517200218,73.4433517200218,19.578493381159046,16.363029627701284,19.578493381159046,16.363029627701284,102
4,3,82,74.51991156416224,86.14761440400913,17.843978737649774,15.463451985128735,17.837535581419928,15.353697481549181,"82,34,81"
5,1,40,77.60817235553385,77.60817235553385,12.267948677374346,10.239556230130152,12.267948677374346,10.239556230130152,40
6,3,119,83.93955528743986,106.41480107341575,20.546490472163132,15.34705186263595,20.945092748182727,15.677293098021986,"119,24,91"
7,5,49,87.35214749792767,152.65874733886324,19.15635137378994,15.541670997941717,17.446980708533296,15.939885514415263,"49,59,61,67,47"
8,1,31,109.19625124873411,109.19625124873411,17.217165308308903,13.866799042007203,17.217165308308903,13.866799042007203,31
9,1,51,124.58513671879506,124.58513671879506,21.204395212271752,17.127083289769033,21.204395212271752,17.127083289769033,51
10,1,18,126.84417080940608,126.84417080940608,18.83080855756001,16.36791012675084,18.83080855756001,16.36791012675084,18
11,2,1,151.42235773875413,152.72011219901918,15.511944921871914,14.208293398233202,14.810001943096843,14.58727100507267,"1,109"
12,1,75,151.97358960074612,151.97358960074612,20.591293030985113,17.571592575979906,20.591293030985113,17.571592575979906,75
13,1,29,160.57206691311708,160.57206691311708,22.896897762289914,14.661173068718927,22.896897762289914,14.661173068718927,29
14,1,35,165.94695478321245,165.94695478321245,19.198839047716852,12.194516223291016,19.198839047716852,12.194516223291016,35
15,1,69,174.12121286177958,174.12121286177958,28.575008185398676,19.844846087935025,28.575008185398676,19.844846087935025,69
16,1,10,178.22561726262498,178.22561726262498,23.025603596484448,18.28547052132137,23.025603596484448,18.28547052132137,10
17,2,112,179.05098857119523,230.30136177474043,19.379504998661492,14.879839975757738,19.127322707445387,15.318349605778826,"112,74"
18,1,7,190.94682362679808,190.94682362679808,19.716835820449244,17.967481384942072,19.716835820449244,17.967481384942072,7
19,1,5,191.34742144773182,191.34742144773182,23.3501301572542,15.018788001473359,23.3501301572542,15.018788001473359,5
20,1,89,192.37070587066896,192.37070587066896,15.720169998630599,14.373128976810953,15.720169998630599,14.373128976810953,89
21,3,72,208.5446553437075,246.89001253045527,26.400796199903102,16.450239902687084,26.481065548274344,16.922651563299517,"72,104,113"
22,1,64,214.86233708367092,214.86233708367092,24.5285709709547,17.23590999238558,24.5285709709547,17.23590999238558,64
23,1,100,215.27377505617164,215.27377505617164,20.913453125820993,20.198823262268938,20.913453125820993,20.198823262268938,100
24,3,98,219.52890305602173,257.04833184755233,30.07082534243318,18.731005892318453,28.335727466307123,16.735024756246695,"98,117,79"
25,3,14,222.08360494174917,259.7735553336284,24.202656502862904,16.73379507969123,22.09466424223714,15.258343443400154,"14,44,87"
26,3,52,223.58271850360154,228.8531918343007,19.816484837168996,15.210263006428178,19.138207817154846,13.690524077878472,"52,84,17"
27,1,101,234.99204299671476,234.99204299671476,22.529549481560956,16.180651275268218,22.529549481560956,16.180651275268218,101
28,1,57,236.52668668817003,236.52668668817003,31.675388873098893,18.4792117900176,31.675388873098893,18.4792117900176,57
29,2,3,240.39766901654195,266.6766521438489,12.530741026820456,8.006411452453015,14.243154269473369,10.330993427425042,"3,4"
30,1,83,241.21190595346044,241.21190595346044,13.433947023499513,10.186673949443898,13.433947023499513,10.186673949443898,83
31,2,85,259.3658376787559,269.5744782924502,18.60504344549357,16.487633788249827,18.92492989932197,16.66808368339389,"85,42"
32,1,76,265.83394948758735,265.83394948758735,24.05687317661784,16.07142806171548,24.05687317661784,16.07142806171548,76
33,1,56,277.4689414371003,277.4689414371003,20.779661850313783,17.09977493337524,20.779661850313783,17.09977493337524,56
34,1,105,279.8689265370097,279.8689265370097,19.199127813276746,12.030491043058234,19.199127813276746,12.030491043058234,105
35,1,8,287.5370319700161,287.5370319700161,17.464756222834527,16.297876820521683,17.464756222834527,16.297876820521683,8
36,1,43,291.2827510544676,291.2827510544676,26.009772636538848,17.07938744603045,26.009772636538848,17.07938744603045,43
37,1,90,299.5906819501677,299.5906819501677,29.708159969454915,20.014705667343918,29.708159969454915,20.014705667343918,90
38,1,12,320.1984160252579,320.1984160252579,25.22026281973233,16.886178172185932,25.22026281973233,16.886178172185932,12
