# mu_eV,exclusion_probability
9.999999999999999988e-15,0.000000000000000000e+00
1.035321843295661530e-14,0.000000000000000000e+00
1.071891319205126464e-14,0.000000000000000000e+00
1.109752496412069897e-14,0.000000000000000000e+00
1.148951000187310921e-14,0.000000000000000000e+00
1.189534067370320774e-14,0.000000000000000000e+00
1.231550603292826227e-14,0.000000000000000000e+00
1.275051240713012891e-14,0.000000000000000000e+00
1.320088400831416807e-14,0.000000000000000000e+00
1.366716356462004549e-14,0.000000000000000000e+00
1.414991297434578726e-14,0.000000000000000000e+00
1.464971398307287871e-14,0.000000000000000000e+00
1.516716888470923938e-14,0.000000000000000000e+00
1.570290124729377342e-14,0.000000000000000000e+00
1.625755666443793548e-14,0.000000000000000000e+00
1.683180353330955040e-14,0.000000000000000000e+00
1.742633386009647316e-14,0.000000000000000000e+00
1.804186409392075400e-14,0.000000000000000000e+00
1.867913599020784747e-14,0.000000000000000000e+00
1.933891750455231941e-14,0.000000000000000000e+00
2.002200371815584363e-14,0.000000000000000000e+00
2.072921779595369815e-14,0.000000000000000000e+00
2.146141197858401265e-14,0.000000000000000000e+00
2.221946860939519137e-14,0.000000000000000000e+00
2.300430119772921506e-14,0.000000000000000000e+00
2.381685551976160728e-14,0.000000000000000000e+00
2.465811075822603968e-14,0.000000000000000000e+00
2.552908068239516567e-14,0.000000000000000000e+00
2.643081486974102717e-14,0.000000000000000000e+00
2.736439997074666424e-14,0.000000000000000000e+00
2.833096101839318320e-14,0.000000000000000000e+00
2.933166278390048185e-14,0.000000000000000000e+00
3.036771118035460201e-14,0.000000000000000000e+00
3.144035471591500265e-14,0.000000000000000000e+00
3.255088599835056345e-14,0.000000000000000000e+00
3.370064329271924799e-14,0.000000000000000000e+00
3.489101213406766595e-14,0.000000000000000000e+00
3.612342699709437591e-14,0.000000000000000000e+00
3.739937302478801294e-14,0.000000000000000000e+00
3.872038781812557266e-14,0.000000000000000000e+00
4.008806328898464396e-14,0.000000000000000000e+00
4.150404757850472367e-14,0.000000000000000000e+00
4.297004704320835085e-14,0.000000000000000000e+00
4.448782831127576129e-14,0.000000000000000000e+00
4.605922041145113306e-14,0.000000000000000000e+00
4.768611697714474482e-14,0.000000000000000000e+00
4.937047852839003842e-14,0.000000000000000000e+00
5.111433483440165449e-14,0.000000000000000000e+00
5.291978735958436229e-14,0.000000000000000000e+00
5.478901179593933583e-14,0.000000000000000000e+00
5.672426068491989191e-14,0.000000000000000000e+00
5.872786613189489143e-14,0.000000000000000000e+00
6.080224261649427102e-14,0.000000000000000000e+00
6.294988990221887979e-14,0.000000000000000000e+00
6.517339604882420032e-14,0.000000000000000000e+00
6.747544053110685909e-14,0.000000000000000000e+00
6.985879746785235022e-14,0.000000000000000000e+00
7.232633896483548617e-14,0.000000000000000000e+00
7.488103857590030043e-14,0.000000000000000000e+00
7.752597488629464708e-14,0.000000000000000000e+00
8.026433522257173926e-14,0.000000000000000000e+00
8.309941949353386590e-14,0.000000000000000000e+00
8.603464416684491188e-14,0.000000000000000000e+00
8.907354638610457315e-14,5.440696409140370095e-04
9.221978823334341255e-14,2.176278563656148038e-03
9.547716114208066533e-14,9.249183895538628727e-03
9.884959046625586035e-14,2.339499455930359184e-02
1.023411402105452771e-13,7.344940152339499151e-02
1.059560179277614774e-13,1.507072905331882373e-01
1.096985797892381819e-13,2.736670293797606179e-01
1.135733358343102757e-13,4.058759521218716082e-01
1.175849554052158221e-13,5.554951033732318244e-01
1.217382727739662040e-13,6.849836779107725260e-01
1.260382929679727362e-13,8.008705114254625057e-01
1.304901978014401604e-13,8.862894450489662290e-01
1.350993521198025163e-13,9.374319912948857469e-01
1.398713102647235875e-13,9.668117519042437324e-01
1.448118227674535967e-13,9.853101196953210072e-01
1.499268432786047120e-13,9.929270946681175714e-01
1.552225357427047907e-13,9.967355821545157424e-01
1.607052818261638418e-13,9.994559303590859756e-01
1.663816886076127466e-13,1.000000000000000000e+00
1.722585965398783952e-13,1.000000000000000000e+00
1.783430876931905620e-13,1.000000000000000000e+00
1.846424942895546407e-13,1.000000000000000000e+00
1.911644075385703708e-13,1.000000000000000000e+00
1.979166867853557447e-13,1.000000000000000000e+00
2.049074689815846062e-13,1.000000000000000000e+00
2.121451784910627652e-13,1.000000000000000000e+00
2.196385372416542382e-13,1.000000000000000000e+00
2.273965752357932381e-13,1.000000000000000000e+00
2.354286414322420059e-13,1.000000000000000000e+00
2.437444150122221928e-13,1.000000000000000000e+00
2.523539170434765862e-13,1.000000000000000000e+00
2.612675225563326659e-13,1.000000000000000000e+00
2.704959730463131481e-13,1.000000000000000000e+00
2.800503894183625261e-13,1.000000000000000000e+00
2.899422853882881022e-13,1.000000000000000000e+00
3.001835813575592146e-13,1.000000000000000000e+00
3.107866187782013845e-13,1.000000000000000000e+00
3.217641750250735297e-13,1.000000000000000000e+00
3.331294787934670156e-13,1.000000000000000000e+00
3.448962260405752537e-13,1.000000000000000000e+00
3.570785964900470127e-13,1.000000000000000000e+00
3.696912707195031932e-13,1.000000000000000000e+00
3.827494478516315037e-13,1.000000000000000000e+00
3.962688638701478297e-13,1.000000000000000000e+00
4.102658105827190171e-13,1.000000000000000000e+00
4.247571552536894004e-13,1.000000000000000000e+00
4.397603609302711994e-13,1.000000000000000000e+00
4.552935074866938597e-13,1.000000000000000000e+00
4.713753134116728682e-13,1.000000000000000000e+00
4.880251583654433534e-13,1.000000000000000000e+00
5.052631065335679402e-13,1.000000000000000000e+00
5.231099308056258322e-13,1.000000000000000000e+00
5.415871378079465396e-13,1.000000000000000000e+00
5.607169938205469741e-13,1.000000000000000000e+00
5.805225516094907078e-13,1.000000000000000000e+00
6.010276782070387950e-13,1.000000000000000000e+00
6.222570836730230982e-13,1.000000000000000000e+00
6.442363508721370536e-13,1.000000000000000000e+00
6.669919663030115260e-13,1.000000000000000000e+00
6.905513520162316321e-13,1.000000000000000000e+00
7.149428986597562090e-13,1.000000000000000000e+00
7.401959996915652610e-13,1.000000000000000000e+00
7.663410868007461870e-13,1.000000000000000000e+00
7.934096665797491475e-13,1.000000000000000000e+00
8.214343584919421424e-13,1.000000000000000000e+00
8.504489341802668880e-13,1.000000000000000000e+00
8.804883581643446144e-13,1.000000000000000000e+00
9.115888299750837359e-13,1.000000000000000000e+00
9.437878277775391270e-13,1.000000000000000000e+00
9.771241535346501467e-13,1.000000000000000000e+00
1.011637979766206976e-12,1.000000000000000000e+00
1.047370897959448749e-12,1.000000000000000000e+00
1.084365968689608594e-12,1.000000000000000000e+00
1.122667773510811182e-12,1.000000000000000000e+00
1.162322468679849440e-12,1.000000000000000000e+00
1.203377840777590522e-12,1.000000000000000000e+00
1.245883364295008244e-12,1.000000000000000000e+00
1.289890261253307974e-12,1.000000000000000000e+00
1.335451562929897460e-12,1.000000000000000000e+00
1.382622173764653478e-12,1.000000000000000000e+00
1.431458937523481382e-12,1.000000000000000000e+00
