rank,feature,importance
1,Tail_end_2_x,0.09297256781075497
2,Tail_base_2_x,0.08587353158714707
3,Tail_end_1_x,0.08130447625743822
4,Feature_1,0.061161335908194864
5,Center_2_y,0.056876430332994984
6,Feature_2,0.04934157072409192
7,Tail_end_2_y,0.04596178532159255
8,Center_1_x,0.0316495436644323
9,Lat_left_1_x,0.02718768579325105
10,Center_2_x,0.02705807163285682
11,Lat_left_2_x,0.026724897960744575
12,Nose_2_y,0.02406668081500292
13,Tail_base_1_x,0.023830457426008853
14,Lat_left_2_y,0.022979266689023108
15,Ear_right_1_x,0.022881868695438533
