feature,importance_attack,importance_sniffing
Nose_1_x,0.01106001541745126,0.012625117404973655
Nose_1_y,0.011677172661492954,0.018264899418649064
Nose_1_p,0.005141092134540234,0.0005586858650748468
Ear_left_1_x,0.016330161627482045,0.014146644840317527
Ear_left_1_y,0.01740814186007396,0.013898331940394972
Ear_left_1_p,0.005083764813224009,0.0030983390519359086
Ear_right_1_x,0.01878204824609937,0.022881868695438533
Ear_right_1_y,0.013739531835516213,0.01076536159356012
Ear_right_1_p,0.00802765801753818,0.0022139717843719948
Center_1_x,0.026066367750754306,0.0316495436644323
Center_1_y,0.030146211877682832,0.014921624192328044
Center_1_p,0.004471052069681455,0.003577308721860676
Lat_left_1_x,0.020905115331229657,0.02718768579325105
Lat_left_1_y,0.01892095081046406,0.009752061879282743
Lat_left_1_p,0.005506904796862281,0.0026642511483587045
Lat_right_1_x,0.027855973520665347,0.014847541906917516
Lat_right_1_y,0.013653986938615215,0.008808953134133978
Lat_right_1_p,0.007127430287967282,0.004840462774308751
Tail_base_1_x,0.04085322783499505,0.023830457426008853
Tail_base_1_y,0.02376417755754298,0.013546556142807442
Tail_base_1_p,0.004205298402783532,0.0027903356276389496
Tail_end_1_x,0.06624624454441798,0.08130447625743822
Tail_end_1_y,0.06713648552428753,0.012778924138657865
Tail_end_1_p,0.007362306131230218,0.004253143696181835
Nose_2_x,0.010715712244618316,0.010625762876900305
Nose_2_y,0.018980395529561277,0.02406668081500292
Nose_2_p,0.005346098587908278,0.0024675901832796323
Ear_left_2_x,0.014882003500731123,0.013712609645237265
Ear_left_2_y,0.016708073746302496,0.015219615292155859
Ear_left_2_p,0.0030823213056215054,0.0021859718844122293
Ear_right_2_x,0.017443009717483245,0.012788592318808828
Ear_right_2_y,0.01784337868638004,0.018323958997921632
Ear_right_2_p,0.004100718903138508,0.005417902603847904
Center_2_x,0.013205298170406594,0.02705807163285682
Center_2_y,0.017932909484141214,0.056876430332994984
Center_2_p,0.00814766991285171,0.0019236602444980616
Lat_left_2_x,0.012946694092499673,0.026724897960744575
Lat_left_2_y,0.009352216996457226,0.022979266689023108
Lat_left_2_p,0.0034252503371773706,0.0014688426952652058
Lat_right_2_x,0.014444918014796327,0.01793961807254218
Lat_right_2_y,0.01954076341183531,0.01872073819948519
Lat_right_2_p,0.006923485617532917,0.002454967197564259
Tail_base_2_x,0.028686137387758385,0.08587353158714707
Tail_base_2_y,0.022217348028567886,0.019629125323258095
Tail_base_2_p,0.003796836700081871,0.004742550386090001
Tail_end_2_x,0.0329341456491387,0.09297256781075497
Tail_end_2_y,0.01858342182358605,0.04596178532159255
Tail_end_2_p,0.00718368967570471,0.004155808198006108
Feature_1,0.09048788738055989,0.061161335908194864
Feature_2,0.10961829510256144,0.04934157072409192
