N,d,r,fidelity,fidelity_std,n_samples,n_matched
40,10,10,0.4555652525773197,0.21816411011445225,20,20
40,10,11,0.07224683958642109,0.23272471868533157,20,20
40,10,12,0.43429692007246246,0.25800762536002764,20,20
40,10,13,0.6289718156862585,0.3946418203184457,20,20
40,10,14,0.22101591086483996,0.28400534633679536,20,20
40,10,15,0.422789149329303,0.21293847142106892,20,20
40,10,16,0.22107555282413816,0.2131501675931984,20,20
40,10,17,0.8288138196412931,0.27961512461941496,20,20
40,10,18,0.351787076068657,0.2584906068756306,20,20
40,10,19,0.624199791161526,0.3694847694742219,20,20
40,10,1,-0.07578474682702263,0.2495609167245701,20,20
40,10,20,0.6672231025650501,0.28581194237251195,20,20
40,10,21,0.5153329109540148,0.3427197323083731,20,20
40,10,22,0.5804584553377872,0.2839603576003123,20,20
40,10,23,0.2301810755061502,0.1981786485627583,20,20
40,10,24,0.4150490354568681,0.29287524802033793,20,20
40,10,25,0.3543898468865325,0.25793554717265293,20,20
40,10,26,0.676531293431659,0.3666552638089975,20,20
40,10,27,0.12116544067536505,0.2555483874367284,20,20
40,10,28,0.3106659914792309,0.2108585060172197,20,20
40,10,29,0.16280199532347028,0.33784030486579747,20,20
40,10,2,0.26511945168122475,0.29053374316762093,20,20
40,10,30,0.4844959667704729,0.3031753356957974,20,20
40,10,31,0.16859110529124477,0.20004794125128533,20,20
40,10,32,0.3637443465565444,0.24840322851400037,20,20
40,10,33,0.737846431819684,0.18737142926596098,20,20
40,10,34,0.6801904175650875,0.3105153694198729,20,20
40,10,35,0.4941440516148359,0.32024552874856316,20,20
40,10,36,0.7964404471925306,0.28309110786783215,20,20
40,10,37,0.3171291504408884,0.2948086428250626,20,20
40,10,38,0.34782162664166516,0.29216641927295384,20,20
40,10,39,1.677007608029967,0.39310549947235446,20,20
40,10,3,0.3317371449621871,0.20039625621023427,20,20
40,10,40,1.3803938803427713,0.46006441855350216,20,20
40,10,41,0.011105033471309644,0.2696155919087988,20,20
40,10,42,0.14526872707803884,0.22127977580103617,20,20
40,10,43,0.8505733149332833,0.35889754342038876,20,20
40,10,44,0.5862492342861656,0.30301244001149147,20,20
40,10,45,0.20310200742127638,0.2439375176380664,20,20
40,10,46,-0.0696595761633807,0.21082091199255149,20,20
40,10,47,0.29257012171545593,0.19994118036162153,20,20
40,10,48,0.5959446608049066,0.19450598206106692,20,20
40,10,49,0.743286941079111,0.26478022955139385,20,20
40,10,4,0.12282571263967568,0.24108966674054258,20,20
40,10,50,0.19821685125182076,0.20475884178017328,20,20
40,10,5,0.4225458950901777,0.2223992706267739,20,20
40,10,6,0.36397914140433896,0.2308598527062362,20,20
40,10,7,0.5851165058289001,0.2577248065777113,20,20
40,10,8,0.5934493484435468,0.38188613967438556,20,20
40,10,9,0.6034751414755217,0.29991342188405545,20,20
40,12,10,0.30741609289758154,0.21964777806117045,20,20
40,12,11,0.5225619438540396,0.28643051601381314,20,20
40,12,12,-0.09829521054014623,0.19006989529942914,20,20
