N,d,r,fidelity,fidelity_std,n_samples,n_matched,experiment_type
40,12,16,0.015040215552282188,0.17771073542966725,20,20,N_scan_depth12
40,12,13,0.5141860045838731,0.2189729182583283,20,20,N_scan_depth12
40,12,11,0.14285167540233923,0.25975093176345204,20,20,N_scan_depth12
40,12,4,0.719780118742992,0.35193011873064717,20,20,N_scan_depth12
40,12,41,-0.04913727293468351,0.16360689952027394,20,20,N_scan_depth12
40,12,36,0.11795587002249919,0.20395553215631987,20,20,N_scan_depth12
40,12,3,0.40478191475718317,0.31218524134837916,20,20,N_scan_depth12
40,12,43,0.4182614960543587,0.2035228545416113,20,20,N_scan_depth12
40,12,5,0.05061465314394775,0.20051477620187613,20,20,N_scan_depth12
40,12,27,0.3348268379155581,0.19876672845659688,20,20,N_scan_depth12
40,12,23,0.32242009113667036,0.30093907410713133,20,20,N_scan_depth12
40,12,22,0.3557721932142379,0.2556911366424801,20,20,N_scan_depth12
40,12,25,1.1831695387811427,0.42007777671093616,20,20,N_scan_depth12
40,12,9,0.45529541784728766,0.20052796545577298,20,20,N_scan_depth12
40,12,21,0.7111083089153301,0.2975882831330354,20,20,N_scan_depth12
40,12,1,0.5877072503139902,0.2981223576400526,20,20,N_scan_depth12
40,12,14,0.7521590052192972,0.3704388029753574,20,20,N_scan_depth12
40,12,2,0.5004967647129182,0.25569367170021434,20,20,N_scan_depth12
40,12,19,0.07641402984991652,0.22735700770918232,20,20,N_scan_depth12
40,12,33,0.902479049633244,0.323871823055148,20,20,N_scan_depth12
40,12,35,0.5316614968598714,0.25851082683891996,20,20,N_scan_depth12
40,12,48,0.3723032580835117,0.340000290508572,20,20,N_scan_depth12
40,12,31,0.5004923978844165,0.2540540508158499,20,20,N_scan_depth12
40,12,7,0.4685925368816377,0.24413159067227136,20,20,N_scan_depth12
40,12,12,0.5582587100885341,0.32971782923355303,20,20,N_scan_depth12
40,12,42,0.23389774566289212,0.16885939811405795,20,20,N_scan_depth12
40,12,8,1.0210691913748255,0.3493651592727647,20,20,N_scan_depth12
40,12,15,0.1470671331842781,0.1906666184480607,20,20,N_scan_depth12
40,12,24,0.14567035036413079,0.2528244986290326,20,20,N_scan_depth12
40,12,32,0.5197812710245642,0.1962893726363496,20,20,N_scan_depth12
40,12,26,0.49778524117287404,0.2454492682508445,20,20,N_scan_depth12
40,12,37,-0.012089808515824751,0.1661618446630888,20,20,N_scan_depth12
40,12,50,0.34776453893487225,0.28182228213516436,20,20,N_scan_depth12
40,12,6,-0.07895782179008193,0.20675285225010745,20,20,N_scan_depth12
40,12,39,0.7401723908089863,0.45711319219048,20,20,N_scan_depth12
40,12,30,0.5035283966182085,0.30249715700328306,20,20,N_scan_depth12
40,12,40,0.5827813973671947,0.2616417409655351,20,20,N_scan_depth12
40,12,44,0.3767355482052859,0.3777807130280594,20,20,N_scan_depth12
