N,d,r,fidelity,fidelity_std,n_samples,n_matched
16,12,10,0.9421282398371589,0.27573886633601136,20,20
16,12,11,1.043397267040393,0.277348324069333,20,20
16,12,12,1.0660320041136457,0.40695269507651693,20,20
16,12,13,1.0451512372779663,0.32193190268333327,20,20
16,12,14,0.6188062875293252,0.30423157920338717,20,20
16,12,15,0.9384941741265593,0.4582006855680236,20,20
16,12,16,0.9265928986144725,0.42225349924078687,20,20
16,12,17,1.0417931279095178,0.2309461991204687,20,20
16,12,18,0.5037813055156724,0.3192445041606659,20,20
16,12,19,0.4586293115804245,0.21467939250022877,20,20
16,12,1,0.5206561034093482,0.21273705723283562,20,20
16,12,20,0.4847928774195176,0.22069540293330303,20,20
16,12,21,0.848629909244871,0.33426432375400944,20,20
16,12,22,0.7664475926871557,0.314386299085843,20,20
16,12,23,0.215762006131913,0.17359585192481705,20,20
16,12,24,1.0509601347474575,0.3865143707160102,20,20
16,12,25,0.8280919706192922,0.36659781442799244,20,20
16,12,26,0.6232375263942287,0.295835718052599,20,20
16,12,27,1.4100711431424293,0.3082701560959615,20,20
16,12,28,0.6904379388212281,0.2477046701476218,20,20
16,12,29,0.5155336592121738,0.22811960581868515,20,20
16,12,2,0.8461989089291471,0.27353510973906053,20,20
16,12,30,0.4872670594310713,0.237017231468062,20,20
16,12,31,0.8552284428059072,0.35018008272830026,20,20
16,12,32,0.05198542430441,0.13401953010356787,20,20
16,12,33,0.3837260946247736,0.1860947982797559,20,20
16,12,34,1.07389560780656,0.31276324773411746,20,20
16,12,35,0.5823218614290293,0.27674897875900406,20,20
16,12,36,0.674792019235938,0.17640782259838503,20,20
16,12,37,0.8439545721488091,0.2381764408710013,20,20
16,12,38,1.3117118937280257,0.459386112690255,20,20
16,12,39,0.7834900716874729,0.20505338913300541,20,20
16,12,3,1.1125123113117334,0.30186951568585574,20,20
16,12,40,0.8847567917316652,0.2538954027786705,20,20
16,12,41,1.148731063914294,0.3555999072398516,20,20
16,12,42,1.0562339297624268,0.3391870638947411,20,20
16,12,43,0.7847954606070249,0.27357310681288544,20,20
16,12,44,0.7065068704240498,0.3959337968932231,20,20
16,12,45,1.2309468952632736,0.3312568495384904,20,20
16,12,46,0.5803889321647644,0.19214561140820896,20,20
16,12,47,1.022852838982545,0.35282930557087266,20,20
16,12,48,1.2198520720339703,0.39174360510337747,20,20
16,12,49,0.13816437384427482,0.18830328424971565,20,20
16,12,4,0.6786324373716845,0.32718177339668497,20,20
16,12,50,0.7486668929092342,0.2829420131162722,20,20
16,12,5,0.3724513201716819,0.2546228996246869,20,20
16,12,6,0.49938721623292226,0.22687195986201414,20,20
16,12,7,1.2731766617494946,0.28178413434101807,20,20
16,12,8,1.4410118468811164,0.4832490306084212,20,20
16,12,9,0.6479074599790255,0.2077375697679803,20,20
24,12,10,0.8897614469141886,0.22367182899329785,20,20
24,12,11,0.524841382976398,0.2701632250694242,20,20
24,12,12,1.079931801218108,0.4208356835870786,20,20
24,12,13,0.8660534456048743,0.2706078322076804,20,20
24,12,14,0.8240489916060028,0.340432770069702,20,20
24,12,15,0.5855866924065203,0.3013665344387163,20,20
24,12,16,0.851423349293523,0.31453413489647,20,20
24,12,17,0.4665196064022461,0.1998530863597055,20,20
24,12,18,0.5015081911787198,0.22990528289988496,20,20
24,12,19,0.8469662680645793,0.3132303840397162,20,20
24,12,1,0.569673944985053,0.27781641507896687,20,20
24,12,20,0.6827811460631907,0.26973410415439775,20,20
24,12,21,0.32100911074351357,0.31991569363871153,20,20
24,12,22,0.26280521056979134,0.24052884661109797,20,20
24,12,23,0.6019129412216238,0.24173230342428523,20,20
24,12,24,0.8314112075406939,0.3129539628123337,20,20
24,12,25,0.8511460666468935,0.2588617256074882,20,20
24,12,26,0.7238991466489648,0.3235030986082154,20,20
24,12,27,0.628177481704022,0.27260463951562147,20,20
24,12,28,0.8399713861739428,0.39699604792008486,20,20
24,12,29,0.2556462172320666,0.26317586952335736,20,20
24,12,2,0.781983055103666,0.2898179661900181,20,20
24,12,30,0.27705882807818183,0.15895368714391075,20,20
24,12,31,0.06295044787099435,0.16513951648982994,20,20
24,12,32,0.4236418272035476,0.28419603461891696,20,20
24,12,33,0.6490579063464197,0.3416671019514562,20,20
24,12,34,0.5657445904558434,0.2619374601915066,20,20
24,12,35,0.6708383259217452,0.338946240309016,20,20
24,12,36,0.603552361344128,0.2920873799290381,20,20
24,12,37,0.7442859989227817,0.43954358147402534,20,20
24,12,38,0.38979213134342006,0.21599436297599017,20,20
24,12,39,0.48262153769409766,0.29589938482454353,20,20
24,12,3,0.5985151876205392,0.368671884916264,20,20
24,12,40,0.6986762220638851,0.2592929589223176,20,20
24,12,41,0.4424427417262502,0.292662872701884,20,20
24,12,42,1.0847833517855245,0.31954030922967525,20,20
24,12,43,0.6815220449180734,0.24056801314671403,20,20
24,12,44,1.759660436951818,0.545967761099497,20,20
24,12,45,0.14139526600069696,0.23334709289994235,20,20
24,12,46,0.33889603076205854,0.24876130008470992,20,20
24,12,47,0.6014698768304811,0.2679015009512601,20,20
24,12,48,1.0142925879988556,0.36502906346175407,20,20
24,12,49,0.6365555431686771,0.2758611829431489,20,20
24,12,4,0.5743072690693585,0.3200279666948896,20,20
24,12,50,0.7347581893136745,0.2800034786266336,20,20
24,12,5,0.6834928745244517,0.3136470009655537,20,20
24,12,6,1.0856413273530543,0.3198933066630477,20,20
24,12,7,1.058921839109753,0.47065831504442734,20,20
24,12,8,0.44681251341619244,0.21889589895469835,20,20
24,12,9,0.9254690811844148,0.24738679648362544,20,20
32,12,10,0.30279859042974056,0.26664622238764446,20,20
32,12,11,0.7940100835349004,0.3433600282891132,20,20
32,12,12,0.5998509534356349,0.47535199309697956,20,20
32,12,13,0.6998599083400279,0.28927899850645267,20,20
