uid,lat,lon,ref_cls,gmw_v4_qa
1620480,-4.8049,136.9267,1,0
728187,-5.1057,137.68290000000002,1,0
2115647,-1.6093000000000002,108.8353,1,0
1942794,-20.4293,148.7781,1,0
2422869,-0.129759840655275,104.51740914294541,1,0
2492589,8.973764339135426,124.78399702296448,1,1
1099716,-1.6417000000000002,-44.744099999999996,1,0
460885,-17.8789,178.5959,1,0
1784319,-25.561700000000002,152.8529,1,0
1642033,-7.5103,144.6299,1,1
1445292,2.1309,117.75150000000001,1,0
535005,5.7705,118.1761,1,0
582359,15.8463,94.9467,1,0
212389,6.2271,4.6278999999999995,1,0
2119509,9.8565,-61.5599,1,0
557977,-4.7505,123.0593,1,0
1535536,9.860100000000001,-13.573300000000001,1,0
521000,22.5949,-82.85749999999999,1,0
2651262,11.625164087707002,102.93681256897159,1,1
2301377,1.2827,-78.8479,1,0
2070755,5.785500000000001,5.0996999999999995,1,0
2549143,13.821255543953244,120.32023146381769,1,1
2601653,16.294563004477016,-61.543573111722694,1,1
509602,10.6373,106.9133,1,0
967570,4.4715,6.7237,1,0
1225235,-15.8847,136.93730000000002,1,0
771592,12.017700000000001,124.6793,1,0
1251895,1.8233000000000001,117.8377,1,0
931560,4.7245,6.9883,1,0
1443335,2.9027,117.5403,1,0
1139560,-2.7229,-42.229499999999994,1,0
2408719,-4.390332796999637,135.08366842140939,1,0
1485485,-0.49050000000000005,-48.4683,1,0
903424,-3.4241000000000006,116.0363,1,0
557093,-4.6923,123.1097,1,0
2447099,11.750725780141547,-66.78735214328498,1,1
1929073,0.05729999999999991,9.7683,1,0
17264,-0.8287,109.4809,1,0
1041818,7.4019,99.48630000000001,1,0
418573,-20.6847,164.3807,1,0
1512952,-13.4277,-39.0631,1,0
191939,-1.7963,104.4419,1,0
1192665,-1.3967,-45.491099999999996,1,0
162312,22.9483,-80.0433,1,0
99763,9.926300000000001,-84.6969,1,0
1265257,-2.0103000000000004,137.2183,1,0
524956,-7.8299,39.277100000000004,1,0
1074467,18.9701,-91.1497,1,0
781349,-21.3415,43.4979,1,0
1584006,4.5561,8.540700000000001,1,0
1399961,4.507700000000001,5.8827,1,0
969311,4.4539,6.9055,1,0
2485052,-10.997689156396829,40.48477075303562,1,1
506086,19.2073,93.7795,1,0
879199,13.4797,-83.5689,1,0
1614373,-4.7263,136.4993,1,0
1320864,13.4025,-87.4761,1,0
1760577,11.8231,-15.7413,1,0
2331726,-7.574554563760071,144.82633155847697,1,1
1092406,-1.3340999999999998,-44.88629999999999,1,0
2136616,21.9973,89.7133,1,0
805214,-8.3919,143.6283,1,0
2107724,5.1659,5.4901,1,0
1728705,22.1107,89.36370000000001,1,0
1193635,-1.4089,-45.10949999999999,1,0
2182075,-12.2461,40.5007,1,0
1892367,-8.3323,146.3085,1,0
565209,22.3701,-84.3573,1,0
120068,-17.0013,145.7877,1,0
2260674,8.6091,104.97650000000002,1,0
854571,-4.8065,137.03130000000002,1,0
22438,8.510299999999999,117.36850000000001,1,0
937235,4.613900000000001,6.5585,1,0
2033406,-10.118099999999998,148.6807,1,0
173685,-7.4891,138.19070000000002,1,0
216699,24.159100000000002,-107.1943,1,0
1614389,-4.7277,136.4777,1,0
1873717,-2.4751000000000003,-79.8139,1,0
1173536,0.9903,102.8209,1,0
697622,-2.5137,116.2633,1,0
362848,12.3881,98.59609999999999,1,0
2330334,22.196111904748086,89.49122405416563,1,0
2671853,4.892111620754052,95.40546299365779,1,1
675550,-10.4635,150.1183,1,0
103947,-2.4087,-80.09809999999999,1,0
1692779,22.322699999999998,89.67190000000001,1,0
319173,-8.0639,137.7855,1,0
1126665,8.4145,-78.2261,1,0
290552,23.0657,-81.0825,1,0
724064,-5.0683,137.6525,1,0
937098,4.6241,6.5209,1,0
1886921,8.2551,-12.9921,1,0
2494485,6.957537063312462,122.18122841729496,1,1
739785,-5.343299999999999,137.7571,1,0
1249039,1.9855,117.75770000000001,1,0
1228863,9.0259,-79.1201,1,0
503400,19.2979,93.9485,1,0
1499434,-2.3639,105.1561,1,0
873085,-4.9733,137.2793,1,0
6320,-0.6033000000000001,109.28750000000001,1,0
1462479,1.0825,9.730899999999998,1,0
2617043,24.606271657752615,-78.4360037246729,1,1
301483,13.4329,-15.3561,1,0
957036,4.519500000000001,6.6881,1,0
2278670,-1.5617,137.9531,1,0
1700196,22.2785,89.76110000000001,1,0
985770,4.3485000000000005,6.4807,1,0
1739909,22.071299999999997,89.3159,1,0
2351029,-2.405221271824493,134.01744385031782,1,0
53559,-15.5555,-38.9801,1,0
1659668,-7.7191,144.3849,1,1
2509640,4.756004912244815,114.61317941516182,1,1
607758,20.5123,-90.4227,1,0
867854,-4.9613,137.2555,1,0
1763346,11.619100000000001,-15.4835,1,0
1638135,-7.4197,144.2935,1,1
2593291,13.276203134150805,-16.072844277250056,1,1
345732,-8.3565,138.43630000000002,1,0
1214950,-1.5039,131.7321,1,0
1362513,8.343300000000001,98.5263,1,0
2071286,5.775100000000001,5.1041,1,0
1072639,8.263900000000001,-13.0309,1,0
573842,1.7137,-50.189499999999995,1,0
1160375,25.405900000000003,-81.1349,1,0
1975588,-2.4695,133.8271,1,0
2037747,2.9764999999999997,99.9251,1,0
1513413,-13.5005,-39.061099999999996,1,0
425044,21.9481,88.5507,1,0
200690,-1.9981,104.48830000000001,1,0
435366,21.8233,88.9437,1,0
1699080,22.239900000000002,89.64970000000001,1,0
1323729,13.051300000000001,-87.5771,1,0
370095,12.2135,98.6067,1,0
309510,22.244300000000003,-105.5963,1,0
2602298,16.32485457873954,-61.68427567280549,1,1
2656944,10.4903,119.7673,1,1
614559,20.2361,-90.4585,1,0
1034217,-0.9967,-46.500299999999996,1,0
2618689,23.1680381293659,-75.18210601235471,1,1
116244,18.3683,-93.0803,1,0
1137061,-2.4295000000000004,134.0181,1,0
775180,5.9659,-55.38849999999999,1,0
704260,4.3867,117.73930000000001,1,0
1201177,-1.5613,-45.220699999999994,1,0
323732,-8.183100000000001,137.7211,1,0
50344,-16.683500000000002,39.2139,1,0
2176709,21.7257,89.58109999999999,1,0
1007895,-0.9187000000000001,-47.018899999999995,1,0
1107492,-3.8267,144.2047,1,0
1468086,21.5743,108.1593,1,0
1664681,-12.1213,141.93710000000002,1,0
149094,8.9115,-83.5897,1,0
1583382,4.599500000000001,8.9263,1,0
63284,-2.4085,-44.5027,1,0
1089507,-16.5551,141.2657,1,0
902556,-3.2223,116.12230000000001,1,0
835632,-1.1617,-46.18449999999999,1,0
809626,3.0997,-51.0259,1,0
1915506,0.4383,9.5881,1,0
309355,22.2591,-105.6053,1,0
749840,-5.4437,138.0815,1,0
1346801,1.0372999999999999,127.6763,1,0
1781263,-1.7853,105.8693,1,0
1815062,-6.1955,134.6807,1,0
2228767,-8.0921,139.8747,1,0
1832048,2.6603,-78.25469999999999,1,0
2283103,-1.8085,137.2871,1,0
856672,-4.8669,137.0537,1,0
1590030,4.488300000000001,8.6685,1,0
2072478,5.769500000000001,5.217499999999999,1,0
698255,-2.5875000000000004,116.28070000000001,1,0
2129937,21.9699,89.1173,1,0
1507011,-2.8019,105.9565,1,0
2078083,5.6979,5.492699999999999,1,0
2252059,7.5875,-12.4559,1,0
1702450,22.2111,89.1763,1,0
1415195,0.053899999999999906,103.4993,1,0
962107,4.4409,6.2653,1,0
883287,-13.2477,48.840900000000005,1,0
2409110,11.455666938658297,-15.678778987052656,1,0
559396,-4.8399,123.0797,1,0
1299630,-11.397499999999999,153.2141,1,0
1266913,-2.1017,137.2701,1,0
480260,12.314900000000002,-16.1491,1,0
2092677,5.4561,5.5515,1,0
1889653,-8.069099999999999,146.0985,1,0
1511988,-4.0229,144.6555,1,0
831016,-1.0529,-46.116499999999995,1,0
34310,11.6969,98.2775,1,0
2400691,1.967221611748718,117.84988941949383,1,0
4638,-0.5613,109.1705,1,0
911008,1.6513,124.9183,1,0
2395015,-11.569222406085347,130.368556999182,1,0
765911,-2.3263000000000003,136.3581,1,0
1706295,22.202099999999998,89.49190000000002,1,0
1084353,18.4665,-91.3201,1,0
904361,5.8013,0.7149000000000001,1,0
306049,19.9547,106.02170000000001,1,0
523715,-7.7429,39.3385,1,0
2023647,-10.0765,147.8983,1,0
146028,6.0103,118.0243,1,0
1781456,-1.8498999999999999,105.3489,1,0
1891597,-8.2575,146.2323,1,0
1055571,-2.1389,104.5475,1,0
2196761,18.1721,-87.8475,1,0
1954684,-2.1677,133.5713,1,0
2398368,-5.14944570123721,123.01011276797719,1,0
1806527,6.8383,116.6687,1,0
820738,-22.3029,149.93210000000002,1,0
1250117,1.9483000000000001,117.8133,1,0
1617624,-4.787699999999999,136.71210000000002,1,0
826458,-1.0367,-46.2729,1,0
520248,22.6775,-82.5453,1,0
1671659,-18.3057,146.24710000000002,1,0
1019459,-0.8147,-46.87409999999999,1,0
2264282,-20.4701,34.649100000000004,1,0
1928669,0.05229999999999991,9.765099999999999,1,0
