problem_id,num_constructions,num_unique_ops,goal_type,goal_supported_by_rules,num_on_ops,num_circle_ops,num_line_ops,num_midpoint_ops,num_center_ops,num_angle_transform_ops,num_perpendicular_ops,num_parallel_ops,max_op_frequency,branching_factor_proxy,reused_symbol_count,complexity_score,proof_pressure_score
translated_imo_2004_p5,4,4,cong,1,2,2,1,0,0,1,0,0,1,2,6,14.7,14.7
translated_imo_2012_p5,6,3,cong,1,4,0,4,0,0,1,1,0,4,2,7,15.5,15.5
translated_imo_2012_p1,6,3,cong,1,4,0,4,0,1,1,0,0,4,5,10,16.7,16.7
translated_imo_2019_p2,7,2,cyclic,1,6,0,6,0,0,1,0,0,6,2,5,16.7,16.7
translated_imo_2018_p1,6,4,para,1,4,1,4,0,0,1,0,0,2,2,9,17.6,17.6
translated_imo_2014_p4,7,4,cong,1,3,1,3,0,0,3,0,0,3,2,7,19.6,19.6
translated_imo_2010_p4,7,4,cong,1,6,2,4,0,0,1,1,0,3,2,9,20.9,20.9
translated_imo_2013_p4,9,4,coll,1,5,2,5,0,1,1,1,0,5,2,11,22.1,22.1
translated_imo_2010_p2,8,6,cong,1,4,1,4,1,1,1,0,0,3,2,9,22.4,22.4
translated_imo_2009_p2,8,5,cong,1,2,2,2,0,0,4,1,0,3,2,9,22.8,22.8
translated_imo_2003_p4,9,5,cong,1,4,3,2,0,0,1,3,0,3,2,8,23.4,23.4
translated_imo_2022_p4,9,6,cyclic,1,5,0,5,0,0,1,0,0,4,1,7,23.5,23.5
translated_imo_2020_p1,10,3,cong,1,6,0,6,0,0,4,0,0,6,2,9,23.8,23.8
translated_imo_2004_p1,8,5,coll,1,3,5,0,1,0,2,0,0,3,2,10,23.9,23.9
translated_imo_2015_p3,9,6,coll,1,3,3,1,1,1,1,1,0,3,2,9,24.0,24.0
translated_imo_2021_p3,8,6,coll,1,4,2,4,0,0,2,0,0,2,2,6,24.0,24.0
translated_imo_2016_p1,8,7,coll,1,3,0,3,1,0,3,1,1,2,2,9,24.1,24.1
translated_imo_2019_p6,8,6,perp,1,4,3,3,0,1,1,1,0,2,5,14,25.0,25.0
translated_imo_2017_p4,8,7,perp,1,5,2,4,0,0,1,2,0,2,1,10,25.3,25.3
translated_imo_2005_p5,10,5,cyclic,1,6,3,5,0,0,1,0,0,5,2,13,26.0,26.0
translated_imo_2000_p1,10,5,cong,1,9,2,7,0,0,0,2,2,3,1,13,26.8,26.8
translated_imo_2000_p6,11,6,cong,1,1,0,1,0,2,5,4,0,4,5,13,27.1,27.1
translated_imo_2008_p1a,11,4,cyclic,1,6,6,0,3,1,1,1,0,6,2,13,27.7,27.7
translated_imo_2008_p1b,11,4,cyclic,1,6,6,0,3,1,1,1,0,6,2,13,27.7,27.7
translated_imo_2015_p4,11,4,coll,1,7,7,3,0,0,1,0,0,4,2,15,29.2,29.2
translated_imo_2002_p2a,7,5,eqangle,1,5,2,3,1,0,0,0,1,2,1,8,20.6,32.96
translated_imo_2002_p2b,7,5,eqangle,1,5,2,3,1,0,0,0,1,2,1,8,20.6,32.96
translated_imo_2008_p6,13,8,cong,1,6,2,5,0,2,1,6,0,4,5,18,33.7,33.7
translated_imo_2007_p4,9,6,eqratio,1,3,2,2,2,0,1,2,0,2,2,9,23.3,37.28
translated_imo_2011_p6,15,6,coll,1,6,4,4,0,0,7,1,0,6,2,17,38.5,38.5
