family,n_channels,mean_input_increment_rmse,mean_forecast_increment_rmse,mean_forecast_corr_with_t6
MSL,1,14.137005726382728,14.172306020688277,-0.003639970055375595
R,13,14.147404341898097,14.133431900757499,0.001811165741665712
T,13,14.147707206744961,14.13874230460263,0.0003278333444063324
T2M,1,14.090189801108362,14.160836070180707,-0.009654910159547314
TP,1,8.514336961137527,8.521091775196727,-0.0015602028007789957
U,13,14.122957787305788,14.130878559648696,0.0012434336018364437
U10,1,14.140725458904763,14.200123164945243,-0.008335629937799582
V,13,14.159540806337047,14.128805869144228,0.0013802730559876652
V10,1,14.07190895375108,14.104768124009366,-0.0003413705978696658
Z,13,14.155332372107171,14.133793045614418,0.0011896672458801322
