channel_index,channel,family,pressure_or_surface,state,weighted_mean,weighted_std,min,max,nh_weighted_mean,tropics_weighted_mean,sh_weighted_mean
0,Z50,Z,50,input_t0,0.009975713619435328,10.023009249796731,-43.891143798828125,50.072349548339844,0.14779544824213803,-0.008787140815456377,-0.13816059310806852
0,Z50,Z,50,input_t6,0.019090502600272584,10.009081170480046,-45.502593994140625,40.96550750732422,0.058482637457395494,0.051063442710300395,-0.021356996513023613
0,Z50,Z,50,forecast_t12,-0.06950293715486498,10.03614302316716,-42.19713592529297,45.07711410522461,-0.06332904781914285,-0.23862944432654173,-0.06778177580531894
1,Z100,Z,100,input_t0,-0.08359611668827543,10.044888113687724,-38.93086242675781,45.06745910644531,-0.13406813445373175,-0.20500229004053439,-0.03439155708901597
1,Z100,Z,100,input_t6,0.037581913089029834,10.049684034075314,-43.08253479003906,40.36793518066406,0.014560018573241497,-0.020325474420550837,0.06185855133592937
1,Z100,Z,100,forecast_t12,0.01586134212600108,9.97891156952467,-38.5031623840332,41.28236770629883,0.04092774761946246,-0.0710392185362774,0.00048582962296636086
2,Z150,Z,150,input_t0,0.07498481996895379,10.007047446888034,-48.156410217285156,49.932762145996094,0.01855464661457626,0.09433125192027926,0.13584668342298636
2,Z150,Z,150,input_t6,0.07237596590031854,9.970511572607638,-43.44988250732422,42.81365203857422,0.07500025579443943,0.22073251169435157,0.07273904313121675
2,Z150,Z,150,forecast_t12,0.030898323569115687,9.990569171237814,-45.283164978027344,42.65613555908203,0.06229987586465239,0.10456258205669877,-0.004246986882806864
3,Z200,Z,200,input_t0,0.035062281599773475,9.964331074966415,-49.28238296508789,40.89613342285156,-0.009384082667579266,0.015857132038822316,0.08116137467934162
3,Z200,Z,200,input_t6,0.018703858969243446,9.964751750571182,-41.81234359741211,44.698944091796875,0.0662475802781536,-0.04418765111757927,-0.02970223647558488
3,Z200,Z,200,forecast_t12,-0.07612709237869844,10.019535740699261,-38.85677719116211,42.67660140991211,-0.06519103737665093,-0.11891089765336853,-0.08032785797810514
4,Z250,Z,250,input_t0,-0.009243371119108813,9.973273858646255,-39.4481315612793,46.73029327392578,0.019160064499993044,-0.051196895325979444,-0.035451799629438625
4,Z250,Z,250,input_t6,-0.059172974299245604,10.06682506102718,-41.830833435058594,48.46040725708008,-0.08522153014330912,-0.02572962191549681,-0.03864143156349959
4,Z250,Z,250,forecast_t12,-0.005349252412825548,9.960258273988151,-39.64064025878906,46.341609954833984,0.034275822339416465,-0.015769315721598676,-0.05280922122412683
5,Z300,Z,300,input_t0,-0.007462416823551937,10.024139520736535,-42.347984313964844,41.44232940673828,-0.009405085589631454,-0.022011037017567514,0.0005908459902542518
5,Z300,Z,300,input_t6,0.037932379262130264,9.968790303491675,-39.56975555419922,43.67287063598633,0.04468934699482537,0.05562707985534226,0.01942837640192169
5,Z300,Z,300,forecast_t12,-0.04213941705943944,9.97552202066206,-45.045475006103516,42.84225082397461,-0.0041071215784927746,0.029335113521990388,-0.08517638113748038
6,Z400,Z,400,input_t0,-0.085960185169302,10.03205440309455,-42.018184661865234,44.61654281616211,-0.06056572967498115,-0.1340471383970038,-0.11446740632378742
6,Z400,Z,400,input_t6,0.07618048476523696,9.972086392024208,-39.00140380859375,43.20698165893555,0.10418271525584892,0.14894214515011348,0.052234095493335735
6,Z400,Z,400,forecast_t12,-0.06590270033700807,9.994075279405356,-41.03894805908203,40.92945861816406,-0.08299265700509408,-0.16333859515877489,-0.044792094802650645
7,Z500,Z,500,input_t0,-0.014581537495099255,10.009096348870889,-45.117916107177734,40.67889404296875,0.011517362652331858,-0.06362760841506925,-0.03477446912527013
7,Z500,Z,500,input_t6,0.036248587250772964,9.972593130633733,-44.15230178833008,46.036659240722656,0.0002579032598180326,0.02728364218967375,0.07852827439675002
7,Z500,Z,500,forecast_t12,0.03015641978282509,9.980872100137375,-51.669097900390625,41.83623504638672,0.07095433056125446,-0.03649414755332006,-0.0106497660731708
8,Z600,Z,600,input_t0,-0.06107204560100632,9.980394485292281,-40.7374382019043,43.4766960144043,0.02610487199375939,-0.035348906427176655,-0.13128312433217224
8,Z600,Z,600,input_t6,-0.07301368942282906,9.984905061026584,-48.657615661621094,41.83864974975586,-0.11095165460519947,-0.15384124981099528,-0.0362858802777132
8,Z600,Z,600,forecast_t12,-0.013373489465984717,9.994257662225152,-39.59941864013672,40.793067932128906,0.027170355218420466,0.051927609894974865,-0.06600023637608785
9,Z700,Z,700,input_t0,-0.0580475203922028,10.033342467619235,-46.5168571472168,41.62474060058594,-0.018210180119716705,-0.12653667881443736,-0.09272214956890261
9,Z700,Z,700,input_t6,0.021469686450545124,10.03931593068946,-42.97780990600586,40.41979217529297,0.045548658717952266,-0.028429414272647058,0.010978972030276795
9,Z700,Z,700,forecast_t12,-0.019410348886486194,9.977633623315876,-48.45599365234375,44.649757385253906,-0.030796655097852097,-0.11706793189463392,-0.017206288850914277
10,Z850,Z,850,input_t0,0.014607157285869097,9.982592688098082,-48.27122116088867,44.168949127197266,0.03129465909400035,-0.04584019763139881,0.016586861205069706
10,Z850,Z,850,input_t6,0.015143900501275663,10.047460348212727,-46.26927185058594,44.056610107421875,-0.012972714009414889,0.01544707710206638,0.04604050315916003
10,Z850,Z,850,forecast_t12,-0.02590166876966499,9.99177027440576,-41.59099197387695,46.01756286621094,-0.0073132454422063006,-0.2198172260806867,-0.03076033623855654
11,Z925,Z,925,input_t0,0.0510030642879245,10.026469295646418,-42.1147346496582,41.960350036621094,0.0570437375824051,0.042680939034557185,0.04245526655832983
11,Z925,Z,925,input_t6,0.041805567138087515,10.048412318886852,-39.29840850830078,44.224403381347656,0.033726806420990574,0.016784558604341804,0.04149128933544061
11,Z925,Z,925,forecast_t12,0.04068576888333788,9.966591522728308,-41.10268020629883,44.3309326171875,0.014866958570565074,0.13188615773542312,0.043869199018024545
12,Z1000,Z,1000,input_t0,-0.04155063575376708,10.061598189649908,-44.83247375488281,41.63679122924805,-0.06354461874046761,0.04211184692286302,-0.026613482572599143
12,Z1000,Z,1000,input_t6,-0.0911943328512237,10.02783157853228,-44.32008743286133,41.504066467285156,-0.11591547831315059,-0.16861894006731246,-0.06682073010651933
12,Z1000,Z,1000,forecast_t12,0.005327276749564615,10.009564437270782,-41.01519775390625,45.993675231933594,-0.04102027608670006,-0.018763486292923987,0.037827756459959595
13,T50,T,50,input_t0,0.007969120253331546,9.975091161359412,-45.35350036621094,43.127662658691406,0.01301293314803266,-0.09987379195174442,-0.005449493847261809
