n_eff_m2,D_s_conv,D_s_geom,D_s_exp_hole,D_s_exp_electron,D_s_exp_mean,ratio_exp_conv,ratio_exp_geom,electron_hole_asymmetry_frac
500000000000000.0,1146423680.0,4913244330.0,38560434300.0,36632412600.0,37596423450.0,32.79452797939415,7.652056548549459,0.051282050872847054
591836735000000.0,1246965640.0,5346281590.0,42426582100.0,40305252900.0,41365917500.0,33.173261694684705,7.737324868441881,0.05128205363751451
683673469000000.0,1340397780.0,5746277900.0,45242323800.0,42980207600.0,44111265700.0,32.90908591328762,7.676493630772713,0.05128205151456355
775510204000000.0,1427821720.0,6119235970.0,49380853200.0,46911800500.0,48146326850.0,33.7201249817099,7.8680291274990655,0.05128226515996412
867346939000000.0,1510026340.0,6469685590.0,51970402000.0,49371881900.0,50671141950.0,33.55646229985631,7.832087239033822,0.05128205128205128
959183673000000.0,1587609490.0,6801040470.0,55795644800.0,53005862500.0,54400753650.0,34.26582795873814,7.998886918842287,0.05128205241325733
1051020410000000.0,1661033850.0,7115996370.0,59034137700.0,56082430800.0,57558284250.0,34.6520838512713,8.088576954965479,0.051282051549338875
1142857140000000.0,1730665290.0,7416699260.0,63289136500.0,60124679700.0,61706908100.0,35.65502148598589,8.319995989698523,0.05128205086652202
1234693880000000.0,1796799610.0,7704855340.0,66653475900.0,63320802100.0,64987139000.0,36.16827309974761,8.434569648909203,0.05128205136096236
1326530610000000.0,1859679410.0,7981823180.0,70528009100.0,67001608600.0,68764808850.0,36.97670065078582,8.615175668424166,0.05128205195323538
1418367350000000.0,1919504260.0,8248661410.0,73896121100.0,70201315000.0,72048718050.0,37.53506546007874,8.734595162635,0.05128205192264347
1510204080000000.0,1976439910.0,8506185460.0,78618366300.0,74687448000.0,76652907150.0,38.783322863582534,9.011431447204773,0.05128205108134636
1602040820000000.0,2030624130.0,8755031980.0,81473180000.0,77399521000.0,79436350500.0,39.11917982576126,9.073222197413378,0.05128205128205128
1693877550000000.0,2082171480.0,8995692580.0,85970919700.0,81672373700.0,83821646700.0,40.25684123768711,9.317975903974256,0.051282051465591165
1785714290000000.0,2131177270.0,9228547930.0,89416655200.0,84945822400.0,87181238800.0,40.90754909374573,9.446907515817605,0.051282051752630065
1877551020000000.0,2177720570.0,9453887900.0,94249295000.0,89536820300.0,91893057650.0,42.19690024326675,9.720134046649738,0.05128216233644936
1969387760000000.0,2221866330.0,9671926980.0,97690438600.0,92805916700.0,95248177650.0,42.86854540434933,9.847900821310791,0.051282050959008556
2061224490000000.0,2263667300.0,9882814860.0,102049782000.0,96947294300.0,99498538150.0,43.95457678343456,10.067833867121537,0.05128203685070925
2153061220000000.0,2303165900.0,10086648200.0,106107094000.0,100801739000.0,103454416500.0,44.91835195198053,10.25657031440831,0.05128205425623371
2244897960000000.0,2340395890.0,10283112200.0,110086450000.0,104582127000.0,107334288500.0,45.86159502271216,10.437918639067266,0.051282056059839626
2336734690000000.0,2375383760.0,10472364600.0,114387728000.0,108668342000.0,111528035000.0,46.95158604603746,10.649747144976217,0.0512820476035465
2428571430000000.0,2408150000.0,10654643500.0,118191820000.0,112282229000.0,115237024500.0,47.852926312729686,10.81566215706795,0.05128205128205128
2520408160000000.0,2438710160.0,10830185000.0,122351351000.0,116233784000.0,119292567500.0,48.91625477133371,11.014822692317814,0.05128204655331942
2612244900000000.0,2467075820.0,10999222500.0,126525799000.0,120199509000.0,123362654000.0,50.003592512207426,11.215579464821264,0.05128205169775287
2704081630000000.0,2493255360.0,11161985700.0,130167348000.0,123658981000.0,126913164500.0,50.90259366774208,11.370124269197012,0.051282048049475594
2795918370000000.0,2517254660.0,11318700400.0,134355941000.0,127638144000.0,130997042500.0,52.03964643767905,11.573505603169778,0.05128205089057641
2887755100000000.0,2539077650.0,11469587500.0,137852551000.0,130959923000.0,134406237000.0,52.93506364407563,11.718489178446914,0.05128205471595786
2979591840000000.0,2558726780.0,11614863000.0,142465133000.0,135341876000.0,138903504500.0,54.28618076213671,11.959116909084507,0.05128205386639471
3071428570000000.0,2576203480.0,11754737500.0,145881941000.0,138587844000.0,142234892500.0,55.211047420834944,12.10021852891228,0.05128205092150648
3163265310000000.0,2592508470.0,11889415900.0,150437589000.0,142915709000.0,146676649000.0,56.57711467380471,12.336741370112218,0.05128205512794337
3255102040000000.0,2607642110.0,12019097500.0,154495487000.0,146750713000.0,150623100000.0,57.76218270995785,12.531980874603937,0.05141823531715919
