family,group,file,height,width,free_cells,obstacles,obstacle_density,agent_count_generated
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_1.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_10.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_11.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_12.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_13.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_14.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_15.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_16.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_17.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_18.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_19.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_2.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_20.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_21.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_22.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_23.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_24.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_25.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_26.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_27.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_28.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_29.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_3.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_30.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_31.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_32.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_33.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_34.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_35.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_36.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_37.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_38.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_39.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_4.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_40.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_41.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_42.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_43.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_44.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_45.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_46.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_47.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_48.npy,25,25,625,0,0.0,24
empty,empty_maps_453_25_25,data/empty/empty_maps_453_25_25/eval_map_empty_49.npy,25,25,625,0,0.0,24
