iteration,before_collisions,proposal_collisions,accepted,current_collisions,best_collisions,neighborhood_size,mode,family,group,map_id,method
0,0,0,1,0,0,5,random,empty,empty_maps_453_25_25,eval_map_empty_15,RandomLNS+PP
0,0,0,1,0,0,5,policy,empty,empty_maps_453_25_25,eval_map_empty_15,PolicyLNS+PP
0,0,0,1,0,0,5,random,empty,empty_maps_484_25_25,eval_map_empty_6,RandomLNS+PP
0,0,0,1,0,0,5,policy,empty,empty_maps_484_25_25,eval_map_empty_6,PolicyLNS+PP
0,1,1,1,1,1,5,random,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,RandomLNS+PP
1,1,1,1,1,1,5,random,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,RandomLNS+PP
2,1,1,1,1,1,5,random,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,RandomLNS+PP
3,1,1,1,1,1,5,random,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,RandomLNS+PP
4,1,1,1,1,1,5,random,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,RandomLNS+PP
5,1,1,1,1,1,5,random,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,RandomLNS+PP
0,1,1,1,1,1,5,policy,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,PolicyLNS+PP
1,1,1,1,1,1,5,policy,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,PolicyLNS+PP
2,1,1,1,1,1,5,policy,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,PolicyLNS+PP
3,1,1,1,1,1,5,policy,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,PolicyLNS+PP
4,1,1,1,1,1,5,policy,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,PolicyLNS+PP
5,1,1,1,1,1,5,policy,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_20,PolicyLNS+PP
0,0,0,1,0,0,5,random,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_14,RandomLNS+PP
0,0,0,1,0,0,5,policy,maps_60_10_10_0.175,maps_60_10_10_0.175,eval_map_14,PolicyLNS+PP
0,3,3,1,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_5,RandomLNS+PP
1,3,5,0,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_5,RandomLNS+PP
2,3,3,0,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_5,RandomLNS+PP
3,3,3,1,3,3,5,random,maze,maze_maps_156_25_25,eval_map_maze_5,RandomLNS+PP
4,3,2,1,2,2,5,random,maze,maze_maps_156_25_25,eval_map_maze_5,RandomLNS+PP
5,2,2,1,2,2,5,random,maze,maze_maps_156_25_25,eval_map_maze_5,RandomLNS+PP
0,3,3,1,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_5,PolicyLNS+PP
1,3,3,1,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_5,PolicyLNS+PP
2,3,3,1,3,3,5,policy,maze,maze_maps_156_25_25,eval_map_maze_5,PolicyLNS+PP
