precision,recall,threshold,dataset,label
0.3371647509578544,1.0,0.0,raw_pose_sample,Attack
0.4444444444444444,1.0,0.005,raw_pose_sample,Attack
0.5301204819277109,1.0,0.01,raw_pose_sample,Attack
0.6006825938566553,1.0,0.015,raw_pose_sample,Attack
0.6423357664233577,1.0,0.02,raw_pose_sample,Attack
0.676923076923077,1.0,0.025,raw_pose_sample,Attack
0.6901960784313725,1.0,0.03,raw_pose_sample,Attack
0.7272727272727273,1.0,0.035,raw_pose_sample,Attack
0.7394957983193278,1.0,0.04,raw_pose_sample,Attack
0.7619047619047619,1.0,0.045,raw_pose_sample,Attack
0.78125,0.9943181818181818,0.05,raw_pose_sample,Attack
0.7847533632286996,0.9943181818181818,0.055,raw_pose_sample,Attack
0.7918552036199095,0.9943181818181818,0.065,raw_pose_sample,Attack
0.8027522935779816,0.9943181818181818,0.07,raw_pose_sample,Attack
0.8177570093457944,0.9943181818181818,0.08,raw_pose_sample,Attack
0.8254716981132075,0.9943181818181818,0.095,raw_pose_sample,Attack
0.8333333333333334,0.9943181818181818,0.11,raw_pose_sample,Attack
0.8373205741626795,0.9943181818181818,0.13,raw_pose_sample,Attack
0.8413461538461539,0.9943181818181818,0.14,raw_pose_sample,Attack
0.8454106280193237,0.9943181818181818,0.15,raw_pose_sample,Attack
0.8495145631067961,0.9943181818181818,0.16,raw_pose_sample,Attack
0.8536585365853658,0.9943181818181818,0.22,raw_pose_sample,Attack
0.8529411764705882,0.9886363636363636,0.325,raw_pose_sample,Attack
0.8571428571428571,0.9886363636363636,0.345,raw_pose_sample,Attack
0.8613861386138614,0.9886363636363636,0.355,raw_pose_sample,Attack
0.8606965174129353,0.9829545454545454,0.36,raw_pose_sample,Attack
0.86,0.9772727272727273,0.385,raw_pose_sample,Attack
0.8592964824120602,0.9715909090909091,0.39,raw_pose_sample,Attack
0.8578680203045685,0.9602272727272727,0.44,raw_pose_sample,Attack
0.8571428571428571,0.9545454545454546,0.45,raw_pose_sample,Attack
0.8564102564102564,0.9488636363636364,0.46,raw_pose_sample,Attack
0.8608247422680413,0.9488636363636364,0.48,raw_pose_sample,Attack
0.8601036269430051,0.9431818181818182,0.515,raw_pose_sample,Attack
0.859375,0.9375,0.52,raw_pose_sample,Attack
0.8586387434554974,0.9318181818181818,0.535,raw_pose_sample,Attack
0.8571428571428571,0.9204545454545454,0.54,raw_pose_sample,Attack
0.8563829787234043,0.9147727272727273,0.545,raw_pose_sample,Attack
0.8556149732620321,0.9090909090909091,0.55,raw_pose_sample,Attack
0.8548387096774194,0.9034090909090909,0.555,raw_pose_sample,Attack
0.8540540540540541,0.8977272727272727,0.56,raw_pose_sample,Attack
0.8524590163934426,0.8863636363636364,0.565,raw_pose_sample,Attack
