label,start,end,length_frames
Attack,412,412,1
Attack,414,418,5
Attack,420,424,5
Attack,426,430,5
Attack,432,436,5
Attack,438,442,5
Attack,444,448,5
Attack,450,454,5
Attack,456,460,5
Attack,462,466,5
Attack,468,472,5
Attack,474,478,5
Attack,480,484,5
Attack,486,491,6
Attack,493,496,4
Attack,498,502,5
Attack,504,508,5
Attack,510,514,5
Attack,516,520,5
Attack,522,526,5
Attack,528,532,5
Attack,534,538,5
Attack,540,544,5
Attack,546,550,5
Attack,552,556,5
Attack,558,562,5
Attack,564,568,5
Attack,570,574,5
Attack,576,580,5
Attack,582,586,5
Attack,588,592,5
Attack,594,598,5
Attack,600,604,5
Attack,606,610,5
Attack,612,616,5
Attack,618,622,5
Attack,624,628,5
Attack,630,634,5
Attack,636,640,5
Attack,642,646,5
Attack,648,652,5
Attack,654,658,5
Attack,660,664,5
Attack,666,670,5
Attack,672,676,5
Attack,678,682,5
Attack,684,688,5
Attack,690,694,5
Attack,810,814,5
Attack,816,820,5
Attack,822,826,5
Attack,828,832,5
Attack,834,838,5
Attack,840,844,5
Attack,846,850,5
Attack,852,856,5
Attack,858,862,5
Attack,864,868,5
Attack,870,874,5
Attack,876,880,5
Attack,882,886,5
Attack,888,892,5
Attack,894,898,5
Attack,900,904,5
Attack,906,910,5
Attack,912,916,5
Attack,918,922,5
Attack,924,928,5
Attack,930,934,5
Attack,936,940,5
Attack,942,946,5
Attack,948,952,5
Attack,954,958,5
Attack,960,964,5
Attack,966,970,5
Attack,972,976,5
Attack,978,983,6
Attack,985,988,4
Attack,990,994,5
Attack,996,1000,5
Attack,1002,1006,5
Attack,1008,1013,6
Attack,1015,1018,4
Attack,1020,1022,3
Attack,1118,1120,3
Attack,1122,1126,5
Attack,1128,1132,5
Attack,1134,1137,4
Attack,1256,1258,3
Attack,1260,1264,5
Attack,1266,1270,5
Attack,1272,1276,5
Attack,1278,1282,5
Attack,1284,1288,5
Attack,1290,1294,5
Attack,1296,1300,5
Attack,1302,1306,5
Attack,1308,1312,5
Attack,1314,1318,5
Attack,1320,1324,5
Attack,1326,1330,5
Attack,1332,1336,5
Attack,1338,1342,5
Attack,1344,1348,5
Attack,1350,1354,5
Attack,1356,1360,5
Attack,1362,1366,5
Attack,1368,1372,5
Attack,1374,1378,5
Attack,1380,1384,5
Attack,1386,1390,5
Attack,1392,1396,5
Attack,1398,1402,5
Attack,1404,1408,5
Attack,1410,1414,5
Attack,1416,1420,5
Attack,1422,1426,5
Attack,1428,1432,5
Attack,1434,1438,5
Attack,1440,1442,3
Sniffing,326,328,3
Sniffing,330,334,5
Sniffing,336,340,5
Sniffing,342,346,5
Sniffing,348,352,5
Sniffing,354,358,5
Sniffing,360,364,5
Sniffing,366,370,5
Sniffing,372,376,5
Sniffing,378,382,5
Sniffing,384,388,5
Sniffing,390,394,5
Sniffing,396,400,5
Sniffing,402,406,5
Sniffing,408,411,4
Sniffing,696,700,5
Sniffing,702,706,5
Sniffing,708,712,5
Sniffing,714,718,5
Sniffing,720,724,5
Sniffing,726,730,5
Sniffing,732,736,5
Sniffing,738,742,5
Sniffing,744,748,5
Sniffing,750,754,5
Sniffing,756,760,5
Sniffing,762,766,5
Sniffing,768,772,5
Sniffing,774,778,5
Sniffing,780,784,5
Sniffing,786,790,5
Sniffing,792,796,5
Sniffing,798,802,5
Sniffing,804,808,5
Sniffing,1443,1444,2
Sniffing,1446,1450,5
Sniffing,1452,1456,5
Sniffing,1458,1462,5
Sniffing,1464,1468,5
Sniffing,1470,1474,5
Sniffing,1476,1480,5
Sniffing,1482,1486,5
Sniffing,1488,1492,5
Sniffing,1494,1498,5
Sniffing,1500,1504,5
Sniffing,1506,1510,5
Sniffing,1512,1516,5
Sniffing,1518,1520,3
