# r(A) g(r)
5.999999999999999778e-02 0.000000000000000000e+00
1.799999999999999933e-01 0.000000000000000000e+00
2.999999999999999889e-01 0.000000000000000000e+00
4.199999999999999845e-01 0.000000000000000000e+00
5.400000000000000355e-01 0.000000000000000000e+00
6.599999999999999201e-01 0.000000000000000000e+00
7.800000000000000266e-01 0.000000000000000000e+00
8.999999999999999112e-01 0.000000000000000000e+00
1.020000000000000018e+00 0.000000000000000000e+00
1.140000000000000124e+00 0.000000000000000000e+00
1.259999999999999787e+00 0.000000000000000000e+00
1.379999999999999893e+00 0.000000000000000000e+00
1.500000000000000000e+00 0.000000000000000000e+00
1.620000000000000107e+00 0.000000000000000000e+00
1.739999999999999769e+00 0.000000000000000000e+00
1.859999999999999876e+00 0.000000000000000000e+00
1.979999999999999982e+00 0.000000000000000000e+00
2.100000000000000089e+00 0.000000000000000000e+00
2.219999999999999751e+00 0.000000000000000000e+00
2.339999999999999858e+00 0.000000000000000000e+00
2.459999999999999964e+00 0.000000000000000000e+00
2.580000000000000071e+00 0.000000000000000000e+00
2.699999999999999734e+00 0.000000000000000000e+00
2.819999999999999840e+00 0.000000000000000000e+00
2.939999999999999947e+00 0.000000000000000000e+00
3.060000000000000053e+00 0.000000000000000000e+00
3.179999999999999716e+00 0.000000000000000000e+00
3.299999999999999822e+00 0.000000000000000000e+00
3.419999999999999929e+00 0.000000000000000000e+00
3.540000000000000036e+00 0.000000000000000000e+00
3.659999999999999698e+00 0.000000000000000000e+00
3.779999999999999805e+00 0.000000000000000000e+00
3.899999999999999911e+00 0.000000000000000000e+00
4.019999999999999574e+00 0.000000000000000000e+00
4.140000000000000568e+00 0.000000000000000000e+00
4.259999999999999787e+00 0.000000000000000000e+00
4.379999999999999893e+00 0.000000000000000000e+00
4.500000000000000000e+00 0.000000000000000000e+00
4.619999999999999218e+00 0.000000000000000000e+00
4.740000000000000213e+00 0.000000000000000000e+00
4.859999999999999432e+00 0.000000000000000000e+00
4.980000000000000426e+00 0.000000000000000000e+00
5.099999999999999645e+00 0.000000000000000000e+00
5.219999999999999751e+00 0.000000000000000000e+00
5.339999999999999858e+00 0.000000000000000000e+00
5.459999999999999076e+00 0.000000000000000000e+00
5.580000000000000071e+00 0.000000000000000000e+00
5.699999999999999289e+00 0.000000000000000000e+00
5.820000000000000284e+00 0.000000000000000000e+00
5.939999999999999503e+00 0.000000000000000000e+00
