,missing_electricity,missing_heat,missing_cooling,missing_pv,missing_ghg,negative_pv_count,negative_electricity_count,total_records,completeness_pct
BN001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
BN010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8760.0,100.0
