index,Electricity,Heat,Cooling Energy,PV Power Generation,Greenhouse Gas Emission,Building
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN001
mean,52.01793732694302,10.99580974884225,21.504178269879922,3.4386664690239304,31.8892140075882,BN001
std,11.448828100952596,3.8181933061211986,7.6523101564286735,3.5407679828742613,7.253086565919506,BN001
min,24.062064419019244,0.2444178054183048,3.410272421940705,0.0,16.08731179709554,BN001
25%,42.18792870335051,7.732147273732439,14.889714018681435,0.0,25.26922006363426,BN001
50%,51.977271838570275,10.98727697484292,21.52922026516027,2.933476968369072,31.835299836641873,BN001
75%,61.87107675134629,14.283281677229564,28.124410520608777,7.054729661694932,38.36979921050788,BN001
max,80.27959210349414,19.88671206519433,39.43030981137966,11.034878855815666,49.48214731236883,BN001
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN002
mean,53.973319289298715,12.019623571040821,22.977763656074867,2.552708450800305,33.91174522177643,BN002
std,11.444019976107915,3.8279796800294363,7.645677243492803,2.718258080477732,7.864035088354523,BN002
min,26.8096260266747,2.4916518302765605,4.64432640672394,0.0,17.65949667011926,BN002
25%,44.160510454393915,8.801381213484555,16.481399318724606,0.0,26.874980994416575,BN002
50%,54.018339752447595,12.015817790023988,22.969296866360068,2.4152953286239685,33.024437084740086,BN002
75%,63.714347095343186,15.285731521341255,29.511904229965303,4.487224280538127,41.16983575733251,BN002
max,80.52551503715893,20.797298507784408,42.3185646373883,10.271732258780126,50.388138785296185,BN002
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN003
mean,56.023289861570184,13.004142539574659,24.50991751119656,2.8637068683535625,35.383017760720016,BN003
std,11.44649310295241,3.8226705572555626,7.657460744400212,2.9920454826711915,6.1696452696329835,BN003
min,30.00670304919887,4.465354135199229,7.193959903265137,0.0,21.48307327081749,BN003
25%,46.198758851389314,9.735087554411676,17.8797754054072,0.0,30.0398933171131,BN003
50%,55.94760401021574,12.984362445937649,24.48475927110986,2.910691086127137,34.628973422559106,BN003
75%,65.86704396629554,16.29217978252895,31.1305318712219,5.042980470414767,41.01952402296835,BN003
max,82.81470831013894,22.32270253011072,43.007354888732586,11.04077534362584,49.22485513608963,BN003
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN004
mean,58.016799345749845,13.994710557937724,25.986159344980233,3.5173409393575157,36.645374239573535,BN004
std,11.447329482876206,3.819360115981693,7.61697406589814,3.642772379765287,5.654603984601524,BN004
min,31.00241236075219,4.818728857399718,8.151241747402448,0.0,22.48989117240944,BN004
25%,48.204452968555415,10.757284429275348,19.339374876105143,0.0,31.835082749914772,BN004
50%,58.270647270823346,13.999673958515052,26.01136839773487,3.505289246467106,37.24713035950241,BN004
75%,67.79412029739004,17.23522526181231,32.615893802053044,6.543634853703463,41.30877818422235,BN004
max,84.9850057635353,22.801752114197555,44.36367517582549,12.29939508500568,49.14692731768269,BN004
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN005
mean,59.95736173865727,14.99971224066928,27.523961249269192,4.847196159603413,37.55978871158155,BN005
std,11.508828456766041,3.8275527051232894,7.6255935747075965,4.634095644433857,7.8551613936977205,BN005
min,31.841969441571933,5.896498993245107,9.356239768223563,0.0,18.964425415396125,BN005
25%,50.05417913659195,11.710964487199107,20.9470579271427,0.0,30.379773409967953,BN005
50%,59.92020150432151,14.997520016289636,27.52887649210127,6.064644480222741,38.051667662267036,BN005
75%,69.91085127209796,18.2524672217727,34.00520761617778,9.431556721966839,44.31463977948216,BN005
max,87.06515864609901,23.76216240079473,45.897827033894266,12.7701014658839,54.86294936567612,BN005
count,8760.0,8760.0,8760.0,8760.0,8760.0,BN006
mean,61.955990150055825,15.993817923875273,28.99988861957496,4.89906907351446,39.126583639348254,BN006
std,11.458256301656,3.8528426253107075,7.635229512920154,4.750214808654539,3.5164283335321933,BN006
