Building,Electricity [kW]_mean,Electricity [kW]_std,Electricity [kW]_cv,Electricity [kW]_max,Electricity [kW]_min,Electricity [kW]_range,Heat [mmBTU]_mean,Heat [mmBTU]_std,Heat [mmBTU]_cv,Heat [mmBTU]_max,Heat [mmBTU]_min,Heat [mmBTU]_range,Cooling Energy [Ton]_mean,Cooling Energy [Ton]_std,Cooling Energy [Ton]_cv,Cooling Energy [Ton]_max,Cooling Energy [Ton]_min,Cooling Energy [Ton]_range,PV Power Generation [kW]_mean,PV Power Generation [kW]_std,PV Power Generation [kW]_cv,PV Power Generation [kW]_max,PV Power Generation [kW]_min,PV Power Generation [kW]_range,Greenhouse Gas Emission [Ton]_mean,Greenhouse Gas Emission [Ton]_std,Greenhouse Gas Emission [Ton]_cv,Greenhouse Gas Emission [Ton]_max,Greenhouse Gas Emission [Ton]_min,Greenhouse Gas Emission [Ton]_range,peak_hour_electricity,peak_electricity,base_electricity,peak_base_ratio,seasonal_range_electricity
BN001,52.01793732694302,11.448828100952596,0.2200938501073666,80.27959210349414,24.062064419019244,56.217527684474895,10.99580974884225,3.8181933061211986,0.34724075746113126,19.88671206519433,0.2444178054183048,19.642294259776026,21.504178269879922,7.6523101564286735,0.355852246961298,39.43030981137966,3.410272421940705,36.020037389438954,3.4386664690239304,3.5407679828742613,1.0296921829049455,11.034878855815666,0.0,11.034878855815666,31.8892140075882,7.253086565919506,0.22744638874356868,49.48214731236883,16.08731179709554,33.394835515273286,7,67.06326347575289,37.171356917954704,1.804165062459133,0.5574755729280056
BN002,53.973319289298715,11.444019976107915,0.21203105769253136,80.52551503715893,26.8096260266747,53.715889010484226,12.019623571040821,3.8279796800294363,0.31847750117736096,20.797298507784408,2.4916518302765605,18.30564667750785,22.977763656074867,7.645677243492803,0.33274244429954186,42.3185646373883,4.64432640672394,37.67423823066436,2.552708450800305,2.718258080477732,1.0648525410408853,10.271732258780126,0.0,10.271732258780126,33.91174522177643,7.864035088354523,0.2318970916094711,50.388138785296185,17.65949667011926,32.728642115176925,0,69.11179822508845,39.178372448199426,1.7640293331809476,0.6262731574228795
BN003,56.023289861570184,11.44649310295241,0.20431668920578386,82.81470831013894,30.00670304919887,52.80800526094007,13.004142539574659,3.8226705572555626,0.29395790961171664,22.32270253011072,4.465354135199229,17.85734839491149,24.50991751119656,7.657460744400212,0.31242295045958063,43.007354888732586,7.193959903265137,35.81339498546745,2.8637068683535625,2.9920454826711915,1.0448155555414558,11.04077534362584,0.0,11.04077534362584,35.383017760720016,6.1696452696329835,0.17436741295889963,49.22485513608963,21.48307327081749,27.74178186527214,0,70.9141793230197,41.204920708954546,1.7210123961587118,0.6384944472585374
BN004,58.016799345749845,11.447329482876206,0.19731059989428865,84.9850057635353,31.00241236075219,53.98259340278311,13.994710557937724,3.819360115981693,0.27291454868911746,22.801752114197555,4.818728857399718,17.983023256797836,25.986159344980233,7.61697406589814,0.29311657658792145,44.36367517582549,8.151241747402448,36.21243342842304,3.5173409393575157,3.642772379765287,1.0356608706596173,12.29939508500568,0.0,12.29939508500568,36.645374239573535,5.654603984601524,0.15430607824110187,49.14692731768269,22.48989117240944,26.65703614527325,4,73.0596115892959,43.04433568371038,1.6973107013653996,0.69077672162787
BN005,59.95736173865727,11.508828456766041,0.1919502146694119,87.06515864609901,31.841969441571933,55.223189204527074,14.99971224066928,3.8275527051232894,0.25517507560711633,23.76216240079473,5.896498993245107,17.865663407549622,27.523961249269192,7.6255935747075965,0.277052910575594,45.897827033894266,9.356239768223563,36.5415872656707,4.847196159603413,4.634095644433857,0.9560363335321268,12.7701014658839,0.0,12.7701014658839,37.55978871158155,7.8551613936977205,0.20913752880762798,54.86294936567612,18.964425415396125,35.898523950279994,3,74.84599205487312,44.79267315530665,1.6709427409075923,0.6031331782309621
BN006,61.955990150055825,11.458256301656,0.18494186395675222,90.30289435522236,34.69045951812957,55.61243483709279,15.993817923875273,3.8528426253107075,0.24089574131859826,25.050082200442663,5.4560126445747335,19.59406955586793,28.99988861957496,7.635229512920154,0.2632847875057022,46.92787914919211,10.85066760169136,36.07721154750075,4.89906907351446,4.750214808654539,0.9696158060392279,13.39137492378552,0.0,13.39137492378552,39.126583639348254,3.5164283335321933,0.08987312477716188,50.44511602555245,28.650616851139148,21.794499174413303,11,76.86863514969075,47.13171840716454,1.630932156673557,0.6772188029935649
BN007,64.03640337168733,11.542111442538179,0.1802429686053123,90.48395285696392,35.5306766957758,54.95327616118812,16.993921217865044,3.81691047405097,0.2246044585646273,26.366498694682264,8.080390793035072,18.286107901647192,30.501313459706516,7.647341529822224,0.25072171203051974,49.15232036569629,12.806107706239384,36.34621265945691,4.142707415986755,4.129449798717421,0.9967997698032325,13.200464370709728,0.0,13.200464370709728,41.14528703515111,5.255482630906404,0.1277298813447038,55.11571637231566,25.931282138753804,29.184434233561856,6,79.11029883164868,49.05273800474932,1.612760103703648,0.8062679136624666
BN008,65.93124626220471,11.442289818703422,0.17354881740261285,92.671884293349,39.895182847992665,52.77670144535633,18.02099586240643,3.830074475541411,0.21253400781862838,26.744797125892894,9.120397244350666,17.624399881542228,31.983656202933677,7.6266825783875465,0.2384556202697098,49.38967034647015,12.711347433340716,36.678322913129435,4.7794253297381255,4.721365708460173,0.987852175236323,13.762329546819087,0.0,13.762329546819087,42.37894046554195,6.5746801996650435,0.15514026843109396,58.76909112711531,25.64063831019801,33.1284528169173,7,81.0294076049207,51.20363148769016,1.5824933749912387,0.8927176377731172
BN009,68.00788792057283,11.468685596347639,0.16863757936028215,96.30704842288549,40.60928061463419,55.6977678082513,19.001314534318233,3.8291186227799647,0.20151861682222302,28.65097760578828,9.75054477572328,18.900432830065,33.52606851082261,7.641878566124858,0.2279384045175227,52.15068408757151,15.034236269313212,37.1164478182583,5.824812722853679,5.536009347830521,0.9504184273624664,14.832720810868128,0.0,14.832720810868128,43.49714566131955,3.797788405643324,0.08731120968730208,54.91059230868804,31.93004792018025,22.980544388507788,13,83.04361629568344,53.00053530704609,1.5668448594798743,0.6340761141341318
BN010,70.04137110300552,11.457741646327488,0.16358534200395558,95.96763786465472,39.08803994953183,56.879597915122886,20.006303328388555,3.8245460684726917,0.1911670539867612,29.15920886965828,11.000584383441854,18.158624486216425,34.95340655373632,7.627977092955534,0.21823272307397812,53.187280094149685,15.57090108019332,37.61637901395636,4.466696027791938,4.223259791380723,0.9454997082874912,12.130554818641498,0.0,12.130554818641498,45.779909846870616,4.84130027919764,0.10575163418584149,58.66392943112483,30.06080303621944,28.603126394905388,6,84.96899390775577,55.249788371372155,1.5379062329880149,0.7526572100543234
