feature,mi_score
Int_Med_Skp2_nuc,0.5424790731515392
Int_Med_cycA_nuc,0.5280544397525153
Int_Intg_DNA_nuc,0.4807661393064597
AreaShape_Area_nuc,0.4291389442227036
Int_Med_pH2AX_nuc,0.34184461895770735
Int_Med_Cdt1_nuc,0.30289013740421034
Int_Std_PCNA_nuc,0.3026879493466206
Int_Med_E2F1_nuc,0.28466877904813526
Int_Med_cycB1_cyto,0.2824973101018369
Int_Med_cycB1_ring,0.28211534817271744
Int_Med_p21_nuc,0.2762925240158882
Int_Med_CDK2_nuc,0.25906505437938776
Int_Med_cycB1_cell,0.25212433221080666
Int_Med_cycD1_nuc,0.2460714496181602
Int_Med_Cdh1_nuc,0.23311263396025783
Int_Med_p27_nuc,0.20048285827264056
Int_Med_pp21_nuc,0.19683003462907323
Int_Med_cycB1_nuc,0.16691154037438238
Int_Med_cycE_nuc,0.15048967844149885
Int_Med_BP1_nuc,0.14603749061838656
Int_Med_cMyc_nuc,0.14402598813372158
Int_Med_cycA_cyto,0.11304054889568427
Int_Med_pSTAT3_nuc,0.1114992950247693
Int_Med_pCHK1_nuc,0.10601299999883818
Int_Med_pp65_nuc,0.10336954945554844
Int_Med_pGSK3b_nuc,0.10166349500096583
Int_Med_cycA_cell,0.09889210706004192
Int_Med_cycA_ring,0.0959213958894285
Int_Med_pRB_nuc,0.09554329051575028
Int_Med_GSK3b_nuc,0.090813827352072
Int_Med_CDK4_nuc,0.08788848467194654
Int_Med_CDK6_nuc,0.08694947874655057
Int_MeanEdge_cycB1_cell,0.08245345648773661
Int_Med_pp53_nuc,0.0810833484383906
Int_Med_pAKT_cell,0.08088727472034574
Int_Med_PCNA_cell,0.07214709113249285
Int_Med_Bcl2_nuc,0.07193826259750047
Int_Med_ERK_nuc,0.07064764287284753
Int_Med_pAKT_cyto,0.06945999749942722
Int_Med_pAKT_nuc,0.06827283192957267
Int_Med_pAKT_ring,0.06681873941724259
Int_Med_p16_nuc,0.06616935909310762
Int_Med_Cdh1_cell,0.06570942132852942
Int_Med_p38_nuc,0.06491795065203476
Int_Med_YAP_nuc,0.06484795582902336
Int_Med_cycD1_cell,0.061226009319582
Int_Med_p27_cyto,0.06011863039007981
Int_Med_AKT_nuc,0.05999705834687674
Int_Med_p53_nuc,0.05850423644318514
Int_Med_cycD1_cyto,0.058256152337533784
Int_Med_pp27_nuc,0.0566248803284255
Int_Med_PCNA_ring,0.0564148200842185
Int_Med_CDK4_cyto,0.05598817727875449
Int_Med_cycD1_ring,0.05523008431713716
Int_Med_CDK4_ring,0.054168506514315595
Int_Med_pS6_nuc,0.05396915600482899
Int_Med_pS6_cell,0.0532022087449775
Int_Med_STAT3_nuc,0.05294225088136706
Int_Med_PCNA_cyto,0.052650116090142696
Int_Med_pp38_nuc,0.05146765698756539
Int_Med_p16_cyto,0.051255343629599714
Int_Med_pERK_nuc,0.05010283175819907
Int_Med_E2F1_cyto,0.04968373146520211
Int_Med_p16_ring,0.04949983458918705
Int_MeanEdge_pAKT_cell,0.04936380540655705
Int_Med_E2F1_ring,0.048852540148574874
Int_Med_bCat_nuc,0.04804769871124215
Int_Med_p27_ring,0.04800984003174058
Int_Med_YAP_cyto,0.047484278909872835
Int_Med_Fra1_cell,0.04713523388136531
Int_Med_Skp2_cell,0.04692687868515133
Int_Med_YAP_ring,0.04558975652455821
Int_Med_E2F1_cell,0.044983725091189974
Int_MeanEdge_pERK_cell,0.043056598431049586
Int_Med_RSK1_nuc,0.04304388619117905
Int_MeanEdge_pS6_cell,0.042090158629148
Int_MeanEdge_cycA_cell,0.04201210072527761
Int_Med_pS6_ring,0.04191933661730474
Int_Med_Fra1_ring,0.041798099814584155
Int_MeanEdge_E2F1_cell,0.04165727600156366
Int_Med_cMyc_cyto,0.0407373002596767
Int_Med_cFos_nuc,0.0403798369751831
Int_Med_DNA_ring,0.039227022956316304
Int_Med_CDK2_cyto,0.03905936647145758
Int_Med_Cdh1_ring,0.03882302169897223
Int_MeanEdge_pp38_cell,0.03864053338555973
Int_MeanEdge_PCNA_cell,0.038350950445873444
Int_MeanEdge_p38_cell,0.03829409709834142
Int_Med_Cdh1_cyto,0.03757281709615423
Int_MeanEdge_bCat_cell,0.037343766539216894
Int_Med_RB_ring,0.03718919740262816
Int_Med_cFos_cyto,0.03650647732355505
Int_Med_p21_ring,0.0364897040065042
Int_Med_pRB_cyto,0.036267839424665826
Int_Med_pS6_cyto,0.035934489244846546
Int_Med_pp27_cell,0.03548966754643601
Int_MeanEdge_AKT_cell,0.03532164050395359
Int_Med_cMyc_ring,0.034985958440580056
Int_MeanEdge_pRB_cell,0.03488218945760835
Int_Med_cFos_ring,0.03350256852166833
Int_MeanEdge_cycD1_cell,0.03347833838777792
Int_Med_Fra1_cyto,0.03278086656054313
Int_Med_pRSK_nuc,0.03194290879434547
Int_Med_cFos_cell,0.031657046897040075
Int_Med_pp27_ring,0.03147867118487868
Int_Med_cJun_cyto,0.03131134869822905
Int_Med_cJun_cell,0.0312748526971669
Int_Med_cJun_nuc,0.030891428170774837
Int_Med_CDK2_ring,0.030729580927053135
Int_Med_RB_cyto,0.03072555241770747
Int_MeanEdge_YAP_cell,0.030418424629364615
Int_MeanEdge_RSK1_cell,0.030261862526987038
Int_MeanEdge_pGSK3b_cell,0.028617126278764893
Int_Med_cMyc_cell,0.02853354169171407
Int_MeanEdge_cMyc_cell,0.02736203004408555
Int_Med_RB_nuc,0.0266578202061849
Int_Med_CDK2_cell,0.02630737695689156
Int_MeanEdge_DNA_cell,0.025983666805444727
Int_Med_p27_cell,0.02596542480704489
Int_Med_Skp2_ring,0.025373948447676042
Int_Med_pp65_ring,0.025341788340004
Int_Med_pCHK1_ring,0.024371647825526033
Int_Med_p16_cell,0.02431946636207094
Int_Med_pCHK1_cyto,0.023272081360432573
Int_Med_pRB_ring,0.02307018271472039
Int_Med_pERK_cyto,0.022964161402280858
Int_Med_DNA_cyto,0.022337924913883533
Int_MeanEdge_p27_cell,0.022167620597036475
Int_Med_pp65_cyto,0.022153597515908174
Int_Med_p53_ring,0.022138031537700442
