smiles,predicted_tg,target_range,method,distance,mol_wt,logp,num_atoms,num_rings,is_valid
Cc1cc(CNC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)ncn1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,457.4430000000003,0.4315200000000005,33,2,True
N#CCOc1ccc(CC(=O)N(CCC(=O)O)CCC(=O)O)cc1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,334.32800000000003,0.9094799999999993,24,1,True
COc1cccc(C(=O)Nc2ccc(C(=O)O)c(OCC3CO3)c2)c1OCC1CO1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,415.39800000000025,2.2009,30,4,True
O=C(COC1CNC1)Nc1ccc(C(=O)N(CC2CO2)CC2CO2)cc1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,361.3980000000002,-0.14669999999999783,26,4,True
Cc1cccc(C)c1OCCNC(=O)COC(=O)c1cc(OCC2CO2)ccc1OCC1CO1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,471.5060000000003,2.2106399999999997,34,4,True
Cc1c(C#N)cccc1NC(=O)NCCc1ccc(OCC2CO2)c(OCC2CO2)c1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,423.4690000000003,2.786100000000001,31,4,True
*CC(*)(C)C(=O)Oc1ccccc1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,162.188,2.2875000000000005,14,1,True
O=C(O)CCN(CCC(=O)O)C(=O)CNC1CCN(C(=O)c2cnccn2)CC1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,407.42700000000025,-0.5511999999999979,29,2,True
COc1ccc(CN(CCOCC2CO2)C(=O)COCC2CO2)c(OC)c1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,381.4250000000001,0.8632000000000009,27,3,True
Cc1ccc2cc(C(=O)Nc3ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc3)ccc2n1,333.5973610370921,low_Tg,latent_nn,3.1620062297459793e-07,449.4630000000002,3.187120000000001,33,3,True
Cc1cc(C(=O)NCc2nc(OCC3CO3)c3ccccc3n2)ccc1OCC1CO1,333.5972908097434,low_Tg,latent_nn,3.1337073690692154e-07,421.45300000000015,2.42342,31,5,True
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)c2cc3n(n2)CCC3)cc1,333.5972908097434,low_Tg,latent_nn,3.1337073690692154e-07,414.4180000000003,1.4731999999999987,30,3,True
NC(=O)c1ccc(CNC(=O)C(=O)Nc2ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc2)cc1,333.5972908097434,low_Tg,latent_nn,3.133707801545022e-07,484.4650000000003,0.4319999999999999,35,2,True
CN(C)CC1CCN(c2ccccc2NC(=O)C(CCC(=O)O)CCC(=O)O)CC1,333.5972908097434,low_Tg,latent_nn,3.133707801545022e-07,419.5220000000004,2.748900000000001,30,2,True
O=C(O)CCCC(=O)N(CCC(=O)O)c1ccccc1,333.5972908097434,low_Tg,latent_nn,3.133707801545022e-07,279.292,1.7491999999999999,20,1,True
COc1cc(CNC(=O)c2cccc(COCC(=O)O)c2)ccc1OCCOCC(=O)O,333.5972908097434,low_Tg,latent_nn,3.133707801545022e-07,447.4400000000003,1.7064,32,2,True
CCc1ccc(CNc2ccc(C(=O)N(CC3CO3)CC3CO3)cc2)cn1,333.5972908097434,low_Tg,latent_nn,3.133707801545022e-07,367.4490000000001,2.4959000000000007,27,4,True
O=C(Nc1cccc2ccc(OCC3CO3)cc12)c1cc2ccccc2cc1OCC1CO1,333.5972908097434,low_Tg,latent_nn,3.133707801545022e-07,441.4830000000002,4.800500000000004,33,6,True
COc1cc(CNC(=O)N(C)Cc2cccc(OCC3CO3)c2)ccc1OCC1CO1,333.5972908097434,low_Tg,latent_nn,3.133707801545022e-07,428.48500000000024,2.5920000000000005,31,4,True
CC(C)C(NC(=O)c1cccc(OCC2CO2)c1OCC1CO1)c1ccccc1,333.5972908097434,low_Tg,latent_nn,3.133707801545022e-07,397.4710000000001,3.368900000000002,29,4,True
CCCCCCOc1ccc(C(=O)NC(COCC2CO2)COCC2CO2)cc1OC,333.5974297804306,low_Tg,latent_nn,3.6332876909555807e-07,437.5330000000003,2.583500000000001,31,3,True
CCCOc1ccc(NC(=O)N(CCC(=O)O)CCC(=O)O)cc1OC,333.5974297804306,low_Tg,latent_nn,3.6332876909555807e-07,368.3860000000001,2.2673000000000005,26,1,True
CC(O)CNC(=O)c1ccc(OCC(=O)N(CC2CO2)CC2CO2)cc1,333.5974297804306,low_Tg,latent_nn,3.6332876909555807e-07,364.39800000000014,-0.19779999999999887,26,3,True
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)c2cccc(NC(=O)c3ccco3)c2)cc1,333.5974297804306,low_Tg,latent_nn,3.6332876909555807e-07,493.47200000000026,3.1758000000000006,36,3,True
CN(CC(N)=O)C(=O)c1cccc(NC(=O)C(=O)N(CCC(=O)O)CCC(=O)O)c1,333.5973205566406,low_Tg,interpolation,3.29272248356105e-10,422.3940000000003,-1.0395999999999976,30,1,True
COc1ccc2cc(C=CC(=O)OCC(=O)N(CC3CO3)CC3CO3)ccc2c1,333.5973205566406,low_Tg,interpolation,3.29272248356105e-10,397.42700000000013,2.0309999999999997,29,4,True
O=C(NCc1ccc2c(c1)CCC2)N(CC1CO1)CC1CO1,333.5973205566406,low_Tg,interpolation,3.29272248356105e-10,302.374,1.4845,22,4,True
CC(C)(C)c1cc(CN2CCN(Cc3ccccc3)CC2)c(OCC2CO2)c(OCC2CO2)c1,333.5973205566406,low_Tg,interpolation,3.29272248356105e-10,466.6220000000004,3.8571000000000026,34,5,True
CC(C)OCc1cc(NC(=O)COc2ccccc2OCC2CO2)ccc1OCC1CO1,333.5973205566406,low_Tg,interpolation,3.29272248356105e-10,443.4960000000003,3.184300000000002,32,4,True
