variant,parameter,estimate,sigma
baseline_all_primary,mu:M101,29.258019523827468,0.042561599002160756
baseline_all_primary,mu:NGC1309,31.82424451735558,0.050282004948470654
baseline_all_primary,mu:NGC1316,31.356336888470995,0.06585965783768163
baseline_all_primary,mu:NGC1365,31.363350319013506,0.04662913322167397
baseline_all_primary,mu:NGC1448,31.353904909874583,0.054142383828263904
baseline_all_primary,mu:NGC1559,31.618263186312912,0.05148758028087113
baseline_all_primary,mu:NGC5643,30.907291423162086,0.059582758869143305
baseline_all_primary,M_SN,-19.464140108931506,0.03707625296911202
baseline_all_primary,logH0,2.038223290165553,0.0093686457768136
cepheid_only,mu:M101,29.33627686660834,0.04955296609640767
cepheid_only,mu:NGC1309,31.880485166014783,0.05279207721664725
cepheid_only,mu:NGC1316,31.421875032831572,0.08227345948034642
cepheid_only,mu:NGC1365,31.412053298202327,0.05120141091977824
cepheid_only,mu:NGC1448,31.416944029952038,0.05706532747120425
cepheid_only,mu:NGC1559,31.67661090852204,0.05412433631731064
cepheid_only,mu:NGC5643,31.10187503283158,0.07395216112368998
cepheid_only,M_SN,-19.541875032831577,0.04323103208187614
cepheid_only,logH0,2.022676305385539,0.010370268449601098
trgb_only,mu:M101,29.120584670554667,0.06562598537293192
trgb_only,mu:NGC1309,31.369066681123698,0.08030864574085289
trgb_only,mu:NGC1316,31.213144691463164,0.07566280801287835
trgb_only,mu:NGC1365,31.219293402363,0.07574102286390186
trgb_only,mu:NGC1448,31.16906668112368,0.08030864574085289
trgb_only,mu:NGC1559,31.489066681123703,0.08030864574085289
trgb_only,mu:NGC5643,30.75834676178284,0.07107165089954019
trgb_only,M_SN,-19.269066681123693,0.06284487712399324
trgb_only,logH0,2.0772379757271104,0.013811760407399782
ngc4258_anchor_only,mu:M101,29.21393367119516,0.04350861956138624
ngc4258_anchor_only,mu:NGC1309,31.666646870508615,0.056202639019753836
ngc4258_anchor_only,mu:NGC1316,31.31043960642383,0.06652699232158385
ngc4258_anchor_only,mu:NGC1365,31.329753027074602,0.05339930453211512
ngc4258_anchor_only,mu:NGC1448,31.303198869746247,0.055129176849926756
ngc4258_anchor_only,mu:NGC1559,31.57133071104841,0.05237697262732362
ngc4258_anchor_only,mu:NGC5643,30.8595503082439,0.06037956755331746
ngc4258_anchor_only,M_SN,-19.401613376867264,0.03922513631706418
ngc4258_anchor_only,logH0,2.0507286365784014,0.00971236506140057
lmc_anchor_only,mu:M101,29.71043073977848,0.0940272544142323
lmc_anchor_only,mu:NGC1309,32.04589498153969,0.08529542935810379
lmc_anchor_only,mu:NGC1316,31.740430739778414,0.1101867713143405
lmc_anchor_only,mu:NGC1365,31.667362231642276,0.0802569577656262
lmc_anchor_only,mu:NGC1448,31.760430739778453,0.09869713558497413
lmc_anchor_only,mu:NGC1559,32.08043073977845,0.09869713558497413
lmc_anchor_only,mu:NGC5643,31.4204307397785,0.10412072114943677
lmc_anchor_only,M_SN,-19.860430739778458,0.08509479756529637
lmc_anchor_only,logH0,1.9589651639961598,0.01795635166812497
exclude_M101,mu:NGC1309,31.870967825284104,0.0526543845166389
exclude_M101,mu:NGC1316,31.40374150920717,0.067741217484529
exclude_M101,mu:NGC1365,31.396037175322398,0.0478935671156644
exclude_M101,mu:NGC1448,31.406276215845295,0.056905272290233455
exclude_M101,mu:NGC1559,31.666736997634413,0.05397977640297601
exclude_M101,mu:NGC5643,30.95660043113111,0.06182302237204197
exclude_M101,M_SN,-19.528720316890926,0.04290902197648715
exclude_M101,logH0,2.0253072485736663,0.010316634577291667
exclude_NGC1365,mu:M101,29.268235558788476,0.04438815584455912
exclude_NGC1365,mu:NGC1309,31.834727454945583,0.051918259226200206
exclude_NGC1365,mu:NGC1316,31.366972686805646,0.0671537983207066
exclude_NGC1365,mu:NGC1448,31.36565504393696,0.05604904983041306
exclude_NGC1365,mu:NGC1559,31.629138870449204,0.053206781423328506
exclude_NGC1365,mu:NGC5643,30.91835449373826,0.061125703919228655
exclude_NGC1365,M_SN,-19.478629457387402,0.04115971093218452
exclude_NGC1365,logH0,2.035325420474374,0.01002748495302104
combined_with_planck_prior,mu:M101,29.67189954235607,0.037797518855700075
combined_with_planck_prior,mu:NGC1309,32.248937504464045,0.046099647863905004
combined_with_planck_prior,mu:NGC1316,31.78722268992114,0.06263026712953335
combined_with_planck_prior,mu:NGC1365,31.66045853460136,0.0444633648357805
combined_with_planck_prior,mu:NGC1448,31.82993555405537,0.04924377545907044
combined_with_planck_prior,mu:NGC1559,32.05886742944885,0.047086069039298226
combined_with_planck_prior,mu:NGC5643,31.355487212675715,0.05568798962908425
combined_with_planck_prior,M_SN,-20.051143954385328,0.02458756619776913
combined_with_planck_prior,logH0,1.8508218539247094,0.00304665420924742
