type,host,method,anchor,observed,sigma,z,const,variant,model_value,residual,normalized_residual
primary_distance,NGC1309,Cepheid,N4258,32.5,0.11235657524150514,,,baseline_all_primary,31.82424451735558,0.6757554826444192,6.014383058507389
primary_distance,NGC1365,Cepheid,N4258,31.33,0.09499473669630334,,,baseline_all_primary,31.363350319013506,-0.0333503190135076,-0.3510754403175835
primary_distance,NGC1448,Cepheid,N4258,31.31,0.10355674772799695,,,baseline_all_primary,31.353904909874583,-0.043904909874584064,-0.4239695706735121
primary_distance,NGC1559,Cepheid,N4258,31.42,0.08674099376880576,,,baseline_all_primary,31.618263186312912,-0.19826318631291073,-2.285691893746912
primary_distance,M101,Cepheid,N4258,29.12,0.07889233169326408,,,baseline_all_primary,29.258019523827468,-0.13801952382746663,-1.749466910980537
primary_distance,NGC1316,TRGB,N4258,31.39,0.11629273408085306,,,baseline_all_primary,31.356336888470995,0.03366311152900536,0.28946874278147877
primary_distance,NGC1365,TRGB,N4258,31.32,0.1338805437694365,,,baseline_all_primary,31.363350319013506,-0.04335031901350561,-0.3237984982206356
primary_distance,NGC5643,TRGB,N4258,30.53,0.10781465577554844,,,baseline_all_primary,30.907291423162086,-0.3772914231620845,-3.499444676125854
primary_distance,M101,TRGB,N4258,29.13,0.09961927524329818,,,baseline_all_primary,29.258019523827468,-0.12801952382746862,-1.285087886002072
primary_distance,NGC1309,Cepheid,LMC,32.51,0.11651609330903606,,,baseline_all_primary,31.82424451735558,0.6857554826444172,5.885500132806422
primary_distance,NGC1365,Cepheid,LMC,31.34,0.09785703858180055,,,baseline_all_primary,31.363350319013506,-0.023350319013506038,-0.23861665294507217
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,baseline_all_primary,12.360104408424075,-0.2601044084240751,-5.202088168481502
snia_calibrator,NGC1365,SN Ia,calibrator,11.93,0.06,,,baseline_all_primary,11.899210210082,0.030789789917999855,0.5131631652999976
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,baseline_all_primary,11.889764800943077,0.010235199056923605,0.2047039811384721
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,baseline_all_primary,12.154123077381406,0.06587692261859424,1.3175384523718847
snia_calibrator,M101,SN Ia,calibrator,9.85,0.04,,,baseline_all_primary,9.793879414895962,0.05612058510403806,1.4030146276009514
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,baseline_all_primary,11.89219677953949,-0.01219677953948839,-0.17423970770697697
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,baseline_all_primary,11.44315131423058,0.11684868576942087,1.9474780961570146
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,baseline_all_primary,-29.65525655975927,-0.26624154009164513,-3.3185584489597733
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,baseline_all_primary,-29.65525655975927,-0.16509340686987528,-2.500592057361314
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,baseline_all_primary,-29.65525655975927,-0.08066040235158667,-1.3473409370357863
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,baseline_all_primary,-29.65525655975927,0.12860848158845073,2.2702598172471964
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,baseline_all_primary,-29.65525655975927,0.2520837832010514,3.9428239140849923
primary_distance,NGC1309,Cepheid,N4258,32.5,0.11235657524150514,,,cepheid_only,31.880485166014783,0.6195148339852175,5.513828030567857
primary_distance,NGC1365,Cepheid,N4258,31.33,0.09499473669630334,,,cepheid_only,31.412053298202327,-0.08205329820232876,-0.8637667838866888
primary_distance,NGC1448,Cepheid,N4258,31.31,0.10355674772799695,,,cepheid_only,31.416944029952038,-0.10694402995203944,-1.0327094303206543
primary_distance,NGC1559,Cepheid,N4258,31.42,0.08674099376880576,,,cepheid_only,31.67661090852204,-0.2566109085220383,-2.958357950175134
primary_distance,M101,Cepheid,N4258,29.12,0.07889233169326408,,,cepheid_only,29.33627686660834,-0.21627686660833945,-2.741418107012363
primary_distance,NGC1309,Cepheid,LMC,32.51,0.11651609330903606,,,cepheid_only,31.880485166014783,0.6295148339852155,5.4028144619949705
primary_distance,NGC1365,Cepheid,LMC,31.34,0.09785703858180055,,,cepheid_only,31.412053298202327,-0.0720532982023272,-0.7363118611248028
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,cepheid_only,12.338610133183206,-0.23861013318320623,-4.772202663664125
snia_calibrator,NGC1365,SN Ia,calibrator,11.93,0.06,,,cepheid_only,11.87017826537075,0.059821734629249335,0.997028910487489
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,cepheid_only,11.875068997120461,0.024931002879538866,0.4986200575907773
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,cepheid_only,12.134735875690463,0.08526412430953734,1.7052824861907467
snia_calibrator,M101,SN Ia,calibrator,9.85,0.04,,,cepheid_only,9.794401833776764,0.05559816622323588,1.389954155580897
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,cepheid_only,11.879999999999995,5.329070518200751e-15,7.61295788314393e-14
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,cepheid_only,11.560000000000002,-1.7763568394002505e-15,-2.960594732333751e-14
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,cepheid_only,-29.655256559759273,-0.2662415400916416,-3.3185584489597293
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,cepheid_only,-29.655256559759273,-0.16509340686987173,-2.5005920573612603
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,cepheid_only,-29.655256559759273,-0.08066040235158312,-1.347340937035727
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,cepheid_only,-29.655256559759273,0.12860848158845428,2.270259817247259
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,cepheid_only,-29.655256559759273,0.25208378320105496,3.942823914085048
primary_distance,NGC1316,TRGB,N4258,31.39,0.11629273408085306,,,trgb_only,31.213144691463164,0.17685530853683673,1.5207769422110007
primary_distance,NGC1365,TRGB,N4258,31.32,0.1338805437694365,,,trgb_only,31.219293402363,0.10070659763700007,0.7522123439417215
primary_distance,NGC5643,TRGB,N4258,30.53,0.10781465577554844,,,trgb_only,30.75834676178284,-0.22834676178283786,-2.1179566000583123
primary_distance,M101,TRGB,N4258,29.13,0.09961927524329818,,,trgb_only,29.120584670554667,0.009415329445332077,0.09451312933503285
snia_calibrator,NGC1309,SN Ia,calibrator,12.1,0.05,,,trgb_only,12.100000000000005,-5.329070518200751e-15,-1.0658141036401503e-13
snia_calibrator,NGC1365,SN Ia,calibrator,11.93,0.06,,,trgb_only,11.950226721239307,-0.020226721239307466,-0.33711202065512447
snia_calibrator,NGC1448,SN Ia,calibrator,11.9,0.05,,,trgb_only,11.899999999999988,1.2434497875801753e-14,2.4868995751603507e-13
snia_calibrator,NGC1559,SN Ia,calibrator,12.22,0.05,,,trgb_only,12.22000000000001,-8.881784197001252e-15,-1.7763568394002505e-13
snia_calibrator,M101,SN Ia,calibrator,9.85,0.04,,,trgb_only,9.851517989430974,-0.0015179894309742537,-0.03794973577435634
snia_calibrator,NGC1316,SN Ia,calibrator,11.88,0.07,,,trgb_only,11.94407801033947,-0.06407801033947003,-0.9154001477067146
snia_calibrator,NGC5643,SN Ia,calibrator,11.56,0.06,,,trgb_only,11.489280080659146,0.07071991934085453,1.1786653223475756
snia_hubble_flow,z=0.034,SN Ia,Hubble flow,15.12,0.08022807016555653,0.034,45.04149809985091,trgb_only,-29.655256559759245,-0.26624154009167,-3.3185584489600832
snia_hubble_flow,z=0.042,SN Ia,Hubble flow,15.68,0.06602172728809108,0.042,45.500349966629145,trgb_only,-29.655256559759245,-0.16509340686990015,-2.5005920573616907
snia_hubble_flow,z=0.055,SN Ia,Hubble flow,16.35,0.05986636354198765,0.055,46.08591696211086,trgb_only,-29.655256559759245,-0.08066040235161154,-1.3473409370362017
snia_hubble_flow,z=0.068,SN Ia,Hubble flow,17.02,0.05664923486352102,0.068,46.54664807817082,trgb_only,-29.655256559759245,0.12860848158842586,2.270259817246757
snia_hubble_flow,z=0.082,SN Ia,Hubble flow,17.55,0.06393483165721142,0.082,46.95317277655822,trgb_only,-29.655256559759245,0.25208378320102653,3.9428239140846033
primary_distance,NGC1309,Cepheid,N4258,32.5,0.11235657524150514,,,ngc4258_anchor_only,31.666646870508615,0.8333531294913854,7.417039258273335
primary_distance,NGC1365,Cepheid,N4258,31.33,0.09499473669630334,,,ngc4258_anchor_only,31.329753027074602,0.000246972925395994,0.0025998590446706803
primary_distance,NGC1448,Cepheid,N4258,31.31,0.10355674772799695,,,ngc4258_anchor_only,31.303198869746247,0.0068011302537520635,0.06567539443799424
