feature,dynamic_score,pseudotime_abs_spearman,smoothness_score,variance_score
Int_Med_ERK_cell,0.947707674308929,0.5759330174234215,0.7329556039459985,0.9999999999999987
Int_Med_ERK_cyto,0.9329729543064473,0.563941049415677,0.7324837903786046,1.0000000000000016
Int_Med_ERK_ring,0.9329729543064473,0.563941049415677,0.7324837903786046,1.0000000000000016
Int_Med_S6_cell,0.9210397641213186,0.5328350009217623,0.8090428651461594,1.0000000000000144
Int_Med_YAP_cell,0.9062174424695706,0.5404017752526086,0.7379713835492506,1.0000000000000004
Int_Med_S6_ring,0.9028253660695664,0.5224742241661721,0.7924084784346056,0.9999999999999979
Int_Med_S6_cyto,0.9028253660695664,0.5224742241661721,0.7924084784346056,0.9999999999999979
Int_Med_p38_cell,0.8955616908476236,0.5148058862095332,0.7984937724074526,1.0000000000000087
Int_Med_pCHK1_cell,0.8827110502878559,0.5292360561185777,0.7085730998355987,0.999999999999979
Int_Med_cycA_cell,0.8799201929151539,0.517869013201412,0.7411951645443471,1.0000000000000069
Int_MeanEdge_ERK_cell,0.8764304178576205,0.5147204059445232,0.7421926350176565,0.9999999999999996
Int_Med_YAP_ring,0.8571991261151723,0.507265255794145,0.7120996006264958,0.9999999999999987
Int_Med_YAP_cyto,0.8571991261151723,0.507265255794145,0.7120996006264958,0.9999999999999987
Int_Med_p38_cyto,0.8485383302701399,0.48123015188902585,0.7801045505893625,0.9999999999999947
Int_Med_p38_ring,0.8485383302701399,0.48123015188902585,0.7801045505893625,0.9999999999999947
Int_Med_cycA_ring,0.8465019283037827,0.4710609680474755,0.810651070610232,0.9999999999999839
Int_Med_cycA_cyto,0.8465019283037827,0.4710609680474755,0.810651070610232,0.9999999999999839
Int_Med_pCHK1_cyto,0.8342821264868165,0.4936973520352333,0.6930844451706473,0.9999999999999989
Int_Med_pCHK1_ring,0.8342821264868165,0.4936973520352333,0.6930844451706473,0.9999999999999989
Int_Med_pH2AX_cell,0.8123627129338029,0.44675432814865207,0.7970503554752785,1.0000000000000029
Int_Med_Skp2_cell,0.809360848404683,0.4588843615192001,0.7445438979770604,0.999999999999995
Int_Med_DNA_cell,0.8025720129018539,0.4697126642146144,0.6855134718409578,0.9999999999999993
Int_Med_pp53_cell,0.7988330371629485,0.46163833593564607,0.7034882804045204,0.9999999999999749
Int_Med_CDK4_cell,0.7926703667420802,0.4699360588027048,0.6554115473021797,1.0000000000000018
