region,glaciological,demdiff,altimetry,gravimetry,combined,total,region_label
alaska,2,1,1,5,4,13,Alaska
antarctic_and_subantarctic,2,1,3,0,2,8,Antarctic & Subantarctic
arctic_canada_north,2,2,4,7,5,20,Arctic Canada North
arctic_canada_south,2,2,4,7,5,20,Arctic Canada South
caucasus_middle_east,2,1,0,2,2,7,Caucasus & Middle East
central_asia,2,2,4,4,3,15,Central Asia
central_europe,2,2,0,3,2,9,Central Europe
greenland_periphery,2,3,5,0,3,13,Greenland Periphery
iceland,2,4,3,7,6,22,Iceland
low_latitudes,1,4,0,3,2,10,Low Latitudes
new_zealand,2,1,0,4,2,9,New Zealand
north_asia,2,1,0,3,2,8,North Asia
russian_arctic,2,3,3,7,4,19,Russian Arctic
scandinavia,2,3,0,3,2,10,Scandinavia
south_asia_east,2,3,4,3,3,15,South Asia East
south_asia_west,2,2,4,3,3,14,South Asia West
southern_andes,2,4,1,6,2,15,Southern Andes
svalbard,2,2,3,7,4,18,Svalbard
western_canada_us,3,1,2,4,2,12,Western Canada & US
