threshold,accuracy,precision,recall,f1
0.0,0.2048,0.2048,1.0,0.3399734395750332
0.01,0.2734,0.21964324091983667,0.998046875,0.36004932182490756
0.02,0.2826,0.22183633601041894,0.998046875,0.3629905878174392
0.03,0.2904,0.22373029772329248,0.998046875,0.3655221745350501
0.04,0.2972,0.22540802823114248,0.998046875,0.36775818639798485
0.05,0.3058,0.22756624359830774,0.998046875,0.3706255666364461
0.06,0.314,0.2295413669064748,0.9970703125,0.37317251461988304
0.07,0.3238,0.23197634750966567,0.99609375,0.37631433314886553
0.08,0.3342,0.23463043978816486,0.9951171875,0.3797279672070058
0.09,0.3454,0.23769535805924888,0.9951171875,0.3837318772359254
0.1,0.3572,0.24101229895931883,0.9951171875,0.3880426504188881
0.11,0.37,0.2445939452186449,0.994140625,0.39259544928654067
0.12,0.3834,0.2485958485958486,0.994140625,0.39773393240867355
0.13,0.3982,0.25292506845904905,0.9921875,0.40309462408252333
0.14,0.4128,0.25748351090816846,0.9912109375,0.40877970197341934
0.15,0.43,0.26298026998961577,0.9892578125,0.4155045118949959
0.16,0.4422,0.2668428005284016,0.986328125,0.4200457475566646
0.17,0.4578,0.2720886246960281,0.9833984375,0.42624338624338626
0.18,0.4726,0.2773944245100745,0.9814453125,0.43253712072304706
0.19,0.4888,0.28312570781426954,0.9765625,0.4389815627743635
0.2,0.504,0.28898550724637684,0.9736328125,0.44568618685739836
0.21,0.5216,0.2961859356376639,0.970703125,0.45388127853881277
0.22,0.5388,0.3033742331288344,0.9658203125,0.46171802054155003
0.23,0.5526,0.30957613814756674,0.962890625,0.468519838441435
0.24,0.5674,0.31658615136876006,0.9599609375,0.47614434487769436
0.25,0.5818,0.3238692637834269,0.9580078125,0.4840858623242043
0.26,0.5982,0.3321976149914821,0.9521484375,0.49254862338974487
0.27,0.6162,0.3419286471211586,0.9453125,0.5022049286640726
0.28,0.6344,0.35253118121790167,0.9384765625,0.5125333333333333
0.29,0.6446,0.3584054155697631,0.9306640625,0.5175128970947597
0.3,0.6632,0.37089201877934275,0.92578125,0.529608938547486
0.31,0.6824,0.38480392156862747,0.919921875,0.5426267281105991
0.32,0.6984,0.39702127659574465,0.9111328125,0.5530527563722585
0.33,0.7106,0.40719613865730586,0.90625,0.5619134120496518
0.34,0.7242,0.41868987631699495,0.892578125,0.5700031181789834
0.35000000000000003,0.7364,0.4300666032350143,0.8828125,0.5783749200255919
0.36,0.752,0.4462686567164179,0.8759765625,0.5912986156888596
0.37,0.764,0.45950155763239875,0.8642578125,0.6
0.38,0.7744,0.4719222462203024,0.853515625,0.6077885952712101
0.39,0.7874,0.48896434634974534,0.84375,0.6191329272662128
0.4,0.8012,0.5089392133492253,0.833984375,0.6321243523316062
0.41000000000000003,0.8138,0.5293746051800379,0.818359375,0.6428845416187188
0.42,0.8244,0.548472775564409,0.806640625,0.6529644268774704
0.43,0.8328,0.5652777777777778,0.794921875,0.6607142857142857
0.44,0.8416,0.5845481049562682,0.783203125,0.669449081803005
0.45,0.8528,0.6118012422360248,0.76953125,0.6816608996539792
0.46,0.859,0.6302040816326531,0.75390625,0.6865273454868831
0.47000000000000003,0.8618,0.6421861656703672,0.734375,0.6851936218678815
0.48,0.8694,0.6678733031674208,0.720703125,0.6932832315641146
0.49,0.8746,0.6881516587677725,0.708984375,0.6984126984126985
0.5,0.877,0.7047047047047047,0.6875,0.6959960454770143
0.51,0.8796,0.7230443974630021,0.66796875,0.6944162436548224
0.52,0.8822,0.7392739273927392,0.65625,0.6952922917744438
0.53,0.884,0.7557603686635944,0.640625,0.693446088794926
0.54,0.8852,0.7704326923076923,0.6259765625,0.6907327586206897
0.55,0.8846,0.7818411097099621,0.60546875,0.6824435883324161
0.56,0.8866,0.8018494055482166,0.5927734375,0.6816395283548567
0.5700000000000001,0.8862,0.8146611341632088,0.5751953125,0.6742987979393246
0.58,0.8854,0.8263386396526773,0.5576171875,0.6658892128279883
0.59,0.884,0.8363636363636363,0.5390625,0.6555819477434679
0.6,0.8828,0.8487261146496815,0.5205078125,0.6452784503631961
0.61,0.8818,0.8614357262103506,0.50390625,0.6358595194085027
0.62,0.8782,0.8685612788632326,0.4775390625,0.6162570888468809
0.63,0.8774,0.8870056497175142,0.4599609375,0.6057877813504823
0.64,0.874,0.894,0.4365234375,0.5866141732283464
0.65,0.8718,0.904862579281184,0.41796875,0.5718102872411489
0.66,0.8702,0.9175946547884187,0.40234375,0.5594025797691785
0.67,0.867,0.9304556354916067,0.37890625,0.5385149201943096
0.68,0.865,0.9351620947630923,0.3662109375,0.5263157894736843
0.6900000000000001,0.8618,0.9393139841688655,0.34765625,0.5074839629365645
0.7000000000000001,0.8596,0.9548022598870056,0.330078125,0.49056603773584906
0.71,0.8562,0.9552238805970149,0.3125,0.47093451066960995
0.72,0.855,0.9716088328075709,0.30078125,0.459358687546607
0.73,0.852,0.9733333333333334,0.28515625,0.4410876132930514
0.74,0.8486,0.9717314487632509,0.2685546875,0.42081101759755163
0.75,0.8444,0.9730769230769231,0.2470703125,0.39408099688473514
0.76,0.84,0.9745762711864406,0.224609375,0.36507936507936506
0.77,0.836,0.9722222222222222,0.205078125,0.3387096774193548
0.78,0.8328,0.97,0.189453125,0.3169934640522876
0.79,0.8288,0.9719101123595506,0.1689453125,0.2878535773710483
0.8,0.826,0.9695121951219512,0.1552734375,0.2676767676767677
0.81,0.8246,0.9681528662420382,0.1484375,0.25740897544453856
0.8200000000000001,0.8228,0.9662162162162162,0.1396484375,0.24402730375426623
0.8300000000000001,0.82,0.9696969696969697,0.125,0.22145328719723184
0.84,0.8186,0.975609756097561,0.1171875,0.2092414995640802
0.85,0.8162,0.972972972972973,0.10546875,0.19030837004405285
0.86,0.8142,0.9702970297029703,0.095703125,0.17422222222222222
0.87,0.8128,0.9782608695652174,0.087890625,0.16129032258064518
0.88,0.8114,0.9764705882352941,0.0810546875,0.14968440036068528
0.89,0.8104,0.9871794871794872,0.0751953125,0.13974591651542648
0.9,0.8098,0.9866666666666667,0.072265625,0.1346678798908098
0.91,0.807,0.9836065573770492,0.05859375,0.11059907834101382
0.92,0.8064,1.0,0.0546875,0.1037037037037037
0.93,0.8058,1.0,0.0517578125,0.09842154131847725
0.9400000000000001,0.8048,1.0,0.046875,0.08955223880597014
0.9500000000000001,0.8044,1.0,0.044921875,0.08598130841121496
0.96,0.8036,1.0,0.041015625,0.07879924953095685
0.97,0.8026,1.0,0.0361328125,0.06974552309142319
0.98,0.8022,1.0,0.0341796875,0.06610009442870633
0.99,0.8016,1.0,0.03125,0.06060606060606061
1.0,0.8006,1.0,0.0263671875,0.05137963843958135
