threshold,accuracy,precision,recall,f1
0.0,0.2048,0.2048,1.0,0.3399734395750332
0.01,0.2922,0.22441376287530135,1.0,0.3665652407374262
0.02,0.303,0.22710135284985583,1.0,0.3701427796855232
0.03,0.3132,0.22969941677882458,1.0,0.37358628237869385
0.04,0.3242,0.23256870315693845,1.0,0.37737239727289473
0.05,0.3348,0.2354022988505747,1.0,0.3810941570524749
0.06,0.346,0.2384722869119702,1.0,0.38510718315156073
0.07,0.36,0.24242424242424243,1.0,0.3902439024390244
0.08,0.3756,0.24698504582730343,1.0,0.39613152804642165
0.09,0.394,0.2525900345337938,1.0,0.4033083891295786
0.1,0.4108,0.2579345088161209,1.0,0.41009211053263916
0.11,0.4288,0.2639175257731959,1.0,0.4176182707993475
0.12,0.4474,0.2703987325059414,1.0,0.4256911245063396
0.13,0.469,0.27833650448491437,1.0,0.4354667233680629
0.14,0.4906,0.28675441052926354,1.0,0.4457018498367791
0.15,0.5072,0.29357798165137616,1.0,0.4539007092198582
0.16,0.5284,0.30277942046126555,1.0,0.4648206990467545
0.17,0.5496,0.3125763125763126,1.0,0.4762790697674419
0.18,0.5708,0.32302839116719245,1.0,0.48831664282308057
0.19,0.5914,0.33387675252689925,1.0,0.500611097531166
0.2,0.6128,0.34594594594594597,1.0,0.5140562248995985
0.21,0.6348,0.35929824561403506,1.0,0.5286525554981931
0.22,0.6544,0.37209302325581395,1.0,0.5423728813559322
0.23,0.6748,0.3864150943396226,1.0,0.557430593358737
0.24,0.697,0.40330838912957856,1.0,0.5747965197866965
0.25,0.717,0.4198441984419844,1.0,0.5913947444412359
0.26,0.7346,0.4355593364525734,1.0,0.6068148148148148
0.27,0.755,0.4553134726545131,1.0,0.6257256339749465
0.28,0.77,0.47099447513812154,0.9990234375,0.6401752190237797
0.29,0.788,0.49135446685878964,0.9990234375,0.6587250482936252
0.3,0.8034,0.5102244389027432,0.9990234375,0.6754704522944868
0.31,0.8214,0.5342036553524804,0.9990234375,0.6961551548145627
0.32,0.8384,0.559016393442623,0.9990234375,0.7168885774351786
0.33,0.8554,0.5862464183381089,0.9990234375,0.7388949079089925
0.34,0.8694,0.6107462686567164,0.9990234375,0.7580585402000741
0.35000000000000003,0.881,0.6326530612244898,0.9990234375,0.7747065505490345
0.36,0.892,0.6549295774647887,0.9990234375,0.7911832946635731
0.37,0.9006,0.6739273927392739,0.9970703125,0.8042536431666011
0.38,0.9104,0.6964529331514324,0.9970703125,0.8200803212851405
0.39,0.9186,0.7164912280701754,0.9970703125,0.8338097182523478
0.4,0.9268,0.7380607814761215,0.99609375,0.8478802992518703
0.41000000000000003,0.935,0.7606263982102909,0.99609375,0.8625792811839325
0.42,0.9432,0.7846153846153846,0.99609375,0.8777969018932874
0.43,0.9478,0.7992156862745098,0.9951171875,0.8864723792953457
0.44,0.9546,0.8221503637833468,0.9931640625,0.8996019460415746
0.45,0.9598,0.8420615128844555,0.9892578125,0.9097440502918724
0.46,0.9638,0.8581138487680544,0.986328125,0.9177646524307134
0.47000000000000003,0.9688,0.8780487804878049,0.984375,0.9281767955801106
0.48,0.9732,0.8952042628774423,0.984375,0.9376744186046512
0.49,0.9784,0.9171220400728597,0.9833984375,0.9491046182846371
0.5,0.9806,0.9295644114921223,0.9794921875,0.9538754160722777
0.51,0.9828,0.9407894736842105,0.9775390625,0.9588122605363983
0.52,0.9844,0.9504761904761905,0.974609375,0.9623915139826422
0.53,0.9844,0.9556840077071291,0.96875,0.962172647914646
0.54,0.9848,0.9619883040935673,0.9638671875,0.9629268292682926
0.55,0.9838,0.9672943508424182,0.953125,0.9601574028529267
0.56,0.983,0.9718592964824121,0.9443359375,0.95789995047053
0.5700000000000001,0.9812,0.9744897959183674,0.9326171875,0.9530938123752495
0.58,0.9806,0.9793174767321613,0.9248046875,0.9512807634354596
0.59,0.978,0.9800420168067226,0.9111328125,0.944331983805668
0.6,0.976,0.9839400428265525,0.8974609375,0.9387129724208375
0.61,0.973,0.985792349726776,0.880859375,0.9303764827230532
0.62,0.9722,0.988950276243094,0.8740234375,0.9279419388284086
0.63,0.971,0.9910614525139665,0.8662109375,0.9244398124022929
0.64,0.969,0.9920724801812004,0.85546875,0.9187205034084951
0.65,0.9672,0.9919908466819222,0.8466796875,0.9135932560590094
0.66,0.9632,0.9941176470588236,0.8251953125,0.9018143009605122
