wacc,cost_delivered,cost_production,cost_ammonia_conversion,cost_shipping,cost_cracking
0.03,3.4566546273680103,1.544284540779942,0.6544338547442909,0.3194416243654822,0.9384946074782953
0.04,3.6277393749172844,1.6654279473662088,0.7043751957072983,0.3194416243654822,0.9384946074782953
0.05,3.8074471848339164,1.7925675958733422,0.7569433571167966,0.3194416243654822,0.9384946074782953
0.060000000000000005,3.995261756601891,1.9253502586054088,0.8119752661527051,0.3194416243654822,0.9384946074782953
0.07,4.190633207153365,2.063399742652239,0.8692972326573478,0.3194416243654822,0.9384946074782953
0.08000000000000002,4.392994996776057,2.2063272667845593,0.9287314981477198,0.3194416243654822,0.9384946074782953
0.09000000000000001,4.601770430001744,2.3537408034196643,0.9900933947383013,0.3194416243654822,0.9384946074782953
0.1,4.816393261997313,2.5052531132071643,1.0532039169463712,0.3194416243654822,0.9384946074782953
0.11000000000000001,5.036314531593694,2.660488336068035,1.117889963681881,0.3194416243654822,0.9384946074782953
0.12000000000000002,5.2610101870921655,2.8190871191581492,1.1839868360902384,0.3194416243654822,0.9384946074782953
0.13,5.489986604478502,2.9807103527706316,1.2513400198640927,0.3194416243654822,0.9384946074782953
0.14,5.722784204621177,3.1450416480266887,1.3198063247507104,0.3194416243654822,0.9384946074782953
0.15000000000000002,5.958979432535012,3.3117887272883926,1.389254473402841,0.3194416243654822,0.9384946074782953
