snapshot,gas,load_shedding,nuclear,onshore wind
0,8047.356581977325,88468.8892575638,2400.0,14268.784977587062
1,8047.356581977325,77291.36848182749,2400.0,13916.085317050352
2,8047.356581977325,62576.73170657517,2400.0,13834.080983028913
3,8047.356581977325,57204.08637313454,2400.0,13420.914022792746
4,8047.356581977325,66275.6155682414,2400.0,13392.334224739654
5,8047.356581977325,84297.73403608703,2400.0,15185.816393553121
6,8047.356581977325,100113.21651699286,2400.0,14479.112561586373
7,8047.356581977325,101278.50453380276,2400.0,15269.511167621775
8,8047.356581977325,89645.55008790866,2400.0,13513.769977196356
9,8047.356581977325,74615.45851446995,2400.0,14110.608701857387
10,8047.356581977325,69272.59523908739,2400.0,13230.668492515359
11,8047.356581977325,78221.52567636347,2400.0,14565.377621162312
12,8047.356581977325,96781.27174871595,2400.0,14253.741028873132
13,8047.356581977325,110139.7640399015,2400.0,15408.925858763118
14,8047.356581977325,110388.99073982907,2400.0,15194.862581294625
15,8047.356581977325,97288.48242397381,2400.0,15360.282876313182
16,8047.356581977325,81862.76967914801,2400.0,13827.146733930924
17,8047.356581977325,76134.0882273364,2400.0,13316.434515579616
18,8047.356581977325,85151.53597802295,2400.0,14265.935062756918
19,8047.356581977325,102210.02458099448,2400.0,15605.355609098475
20,8047.356581977325,114703.47301753584,2400.0,15086.215170335243
21,8047.356581977325,113713.26605048418,2400.0,15069.795433762498
22,8047.356581977325,99012.45821113551,2400.0,15386.384852678508
23,8047.356581977325,82702.35851523369,2400.0,14159.22616708109
24,8047.356581977325,77174.91523041729,2400.0,13242.487910976532
25,8047.356581977325,85406.29898830924,2400.0,14488.608587638688
26,8047.356581977325,101334.09464973763,2400.0,14985.537920778897
27,8047.356581977325,112839.73852396676,2400.0,15539.59200522614
28,8047.356581977325,109362.40731484351,2400.0,14677.195232694898
29,8047.356581977325,94151.1849924255,2400.0,13830.047377485827
30,8047.356581977325,76656.74986468362,2400.0,14379.709602798352
31,8047.356581977325,70351.43908921613,2400.0,13632.431479649253
32,8047.356581977325,78727.49174966954,2400.0,13570.491121967283
33,8047.356581977325,94061.76451410563,2400.0,14351.147388935377
34,8047.356581977325,104108.03731745963,2400.0,15159.23541508822
35,8047.356581977325,99623.95328630744,2400.0,14376.724091323302
36,8047.356581977325,82518.40947076806,2400.0,14232.004882567451
37,8047.356581977325,65187.2259818357,2400.0,13368.103742955092
38,8047.356581977325,59188.245551219414,2400.0,12660.74452205687
39,8047.356581977325,67294.33291953962,2400.0,13705.941729931037
