snapshot,LoadShedding_Bus1,LoadShedding_Bus2,LoadShedding_Bus3,LoadShedding_Bus4,LoadShedding_Bus5,LoadShedding_Bus6,LoadShedding_Bus7,LoadShedding_Bus8,LoadShedding_Bus9,LoadShedding_Bus10,LoadShedding_Bus11,LoadShedding_Bus12,LoadShedding_Bus13,LoadShedding_Bus14,LoadShedding_Bus15,LoadShedding_Bus16,LoadShedding_Bus17,LoadShedding_Bus18,LoadShedding_Bus19,LoadShedding_Bus20
0,-0.0,-0.0,-0.0,-0.0,-0.0,8242.35977156017,6849.0623903154265,1150.566578576794,5091.729585800661,6491.665092238159,7553.72185753818,7478.708801257381,8065.69549883606,6077.957378629237,6576.522520999868,7614.739813692942,5093.045451151198,5729.011230564167,5353.945590277512,1100.1576961260498
1,-0.0,-0.0,-0.0,-0.0,-0.0,2217.4858050456724,5547.467995807274,6565.662986478285,2022.2185582576446,7858.636082493093,6638.269164574176,6651.32321726121,7180.307433128872,5396.733823705809,5787.341935922332,6678.6818407920755,4539.335234068774,5034.809950588619,4752.259819630539,420.8346340731176
2,-0.0,-0.0,-0.0,-0.0,-0.0,1240.4384694275795,843.528923808424,3761.4590829615645,5277.165751546823,-0.0,13863.925293417304,-0.0,11581.234079942502,4112.370351341863,-0.0,10539.662091432574,-0.0,-0.0,11356.947662696537,-0.0
3,-0.0,-0.0,-0.0,-0.0,-0.0,934.9795697345103,502.08425439648306,6134.022698988783,4452.679750129508,-0.0,11017.61871999252,-0.0,650.8758017193073,8307.88583919474,-0.0,15179.055499855263,-0.0,7308.471018230568,-0.0,2716.4132208928527
4,-0.0,-0.0,-0.0,-0.0,-0.0,6628.694588583872,5542.0339176361995,-0.0,3103.595585722237,-0.0,1337.909940968502,15736.445939184787,811.4711185562028,-0.0,15095.012124228617,-0.0,-0.0,14197.116668759161,3823.335684601811,-0.0
5,-0.0,-0.0,-0.0,-0.0,-0.0,5890.767808395799,8601.399268105073,856.163568220793,4782.512380441406,6299.679140628339,7251.2041691553995,7069.126116651529,7730.665824746573,5943.35627931009,6405.441785388449,7254.821346346355,4791.255976896182,5538.614404768252,5029.464172643092,853.2617943896944
6,-0.0,-0.0,-0.0,-0.0,-0.0,8648.073345352492,2708.4137877118246,5701.14188902668,4630.235560775441,9906.52976601665,8532.611859324777,8252.047078048894,8857.973631546567,7030.655456652198,7426.762668326758,8405.435880835643,5716.009429654727,6517.254871437919,5962.068935566731,1818.002356715553
7,-0.0,-0.0,-0.0,-0.0,-0.0,11371.976197649352,2842.4845134383936,1909.8964084273334,5221.294035292495,10635.050376287529,8594.947073890871,8372.26653929856,8930.28774212958,7089.941085827709,7546.204989780909,8594.139512775046,5780.799121668241,6539.140239537143,5953.98153555888,1896.0951622407079
8,-0.0,-0.0,-0.0,-0.0,-0.0,9906.315862677035,2100.223790712567,6110.914358511596,2715.524461343674,7289.65952174716,7637.051469454554,7589.198727863264,8102.279604589555,6242.0334427997095,6738.915127403596,7704.528679327946,5125.618447841072,5909.0747590619,5401.626645378585,1072.5851891964558
9,-0.0,-0.0,-0.0,-0.0,-0.0,3050.5871454828516,7939.121524446693,372.54135692899933,6214.434630232576,5780.09630096498,6502.488922000329,6474.322409731038,6978.756231040775,5028.805560650019,5802.581716559842,6489.485223254971,4327.1478418377565,5048.171863220338,4460.373353366643,146.54443475214782
10,-0.0,-0.0,-0.0,-0.0,-0.0,9073.941745096596,3433.8623364784685,772.0531719414104,1608.2942840782268,-0.0,2808.7500198474477,16091.847991105718,-0.0,6557.116444025861,-0.0,10092.359832028485,-0.0,14734.098137796565,4100.271276688608,-0.0
11,-0.0,-0.0,-0.0,-0.0,-0.0,6388.293841797798,7196.159218311801,637.6209171362611,2218.954906619094,7904.436931735874,6802.410625281108,6764.5741528019025,7205.979351863796,5418.479826242273,5959.613754779903,6760.2476653132235,4568.149158222791,5271.050598954912,4665.397895263825,460.15683203890023
12,-0.0,-0.0,-0.0,-0.0,-0.0,3393.7307234298764,6240.193057747326,4359.11122779408,6537.085560364415,9813.342041209731,8406.814983796805,8056.122559387439,8555.057263551495,6862.987256009276,7262.877085564135,8070.145154607487,5584.848054010271,6335.262345008993,5688.229161911595,1615.4652743230297
13,-0.0,-0.0,-0.0,-0.0,-0.0,11966.534278770143,3169.2560648827894,5944.82082569793,4401.523251686123,9251.069810627941,9339.186093597922,9086.610081085968,9607.949260188327,7855.374798949273,8206.93700446257,9217.506555707585,6272.720390877728,7127.680736189589,6320.832158453371,2371.7627287242526
14,-0.0,-0.0,-0.0,-0.0,-0.0,11017.402508262334,3982.8942813234166,5486.494397815474,6833.9615549405935,7475.497338286997,9427.20390579281,9128.254459409154,9626.253933421285,7850.05561919121,8264.109531404949,9197.567143577171,6289.2731706565,7068.106481929591,6329.05320354299,2412.8632102745933
15,-0.0,-0.0,-0.0,-0.0,-0.0,3337.9748300343404,6711.798933728389,5052.832361785626,6751.460385536385,8744.24487380361,8480.393343472198,8073.305109507026,8518.942598937187,6935.551931208585,7292.657384701913,8184.025014328595,5656.4105385664125,6345.284401664259,5641.742567520627,1561.8581491786606
16,-0.0,-0.0,-0.0,-0.0,-0.0,5920.722871961916,1748.0375775968691,4626.121188295065,2239.5738496805625,10997.739961574329,7157.892258047554,7020.0746623077985,7367.427418124451,5855.359753930999,6220.653672212433,6941.146690605084,4727.189280041837,5449.563345439429,4830.794249632088,760.4728996976023
17,-0.0,-0.0,-0.0,-0.0,-0.0,9066.749373349534,4144.642772721391,2365.9761744869475,2225.26288002661,5807.231463267059,6680.79799845298,6530.652594340255,6926.86313592143,5308.698386857616,5857.300714103025,6653.693075222085,4502.581616232908,5183.611979006596,4481.609033674054,398.41702967390876
18,-0.0,-0.0,-0.0,-0.0,-0.0,2789.964406937255,4120.089579973163,2579.676875114636,6207.200072745813,10995.330968321923,7468.994489166655,7086.54961828236,7606.474087537926,5993.26547098674,6405.521140257426,7260.093426463793,4964.435659776897,5720.154006864634,5023.842426223553,929.9437493701691
19,-0.0,-0.0,-0.0,-0.0,-0.0,6448.236160881712,5645.585575714229,2063.71859033433,6650.67332098774,11278.714089901814,8766.821131393768,8482.019896814423,9026.243610700398,7315.315065390159,7645.498685068505,8539.755674341797,5892.59510633312,6615.244885427826,5866.398069437667,1973.2047182669905
20,-0.0,-0.0,-0.0,-0.0,-0.0,9942.324564293358,3542.2697029872897,6193.882053340546,8751.451983016483,7784.7351008808855,9722.567230537526,9458.594085744773,9892.077155151203,8240.020708928201,8449.7433661106,9456.047943355761,6636.480746270407,7337.321498156388,6499.386994037423,2796.5698847249964
21,-0.0,-0.0,-0.0,-0.0,-0.0,7388.420341703107,5543.239994112801,4748.145990163084,5793.583642051201,12496.434946422665,9626.508307552422,9237.320098443124,9837.094645728515,8249.95149164195,8416.721221731466,9427.518335540459,6540.151915439149,7212.416542132572,6446.296487995587,2749.462089826073
22,-0.0,-0.0,-0.0,-0.0,-0.0,7338.768139697119,2686.256037550877,5563.566522844061,3276.193115563143,12171.716192642945,8491.236303160313,8107.632416852457,8694.243332622382,7074.470671354915,7373.701038318932,8394.93163744595,5807.949667743323,6475.983738475614,5762.734783416678,1793.0746134468106
23,-0.0,-0.0,-0.0,-0.0,-0.0,2461.8097927183057,4808.514516709958,4546.130084834739,7490.853082812811,6648.933685831927,7258.319415370861,6857.86724039657,7521.658572161762,5806.288695281064,6250.371018956963,7015.284224286445,4899.510293493783,5500.146152570159,4828.074455161539,808.5972846468028
24,-0.0,-0.0,-0.0,-0.0,-0.0,7685.1601221123965,2777.331177308092,585.1360263408352,1833.9989501771188,11070.113288943332,6815.386045023601,6561.544864787054,7082.373281552862,5456.812164701481,5802.287368480442,6615.034365294842,4571.112065012329,5207.107724913435,4585.560476148553,525.9573096209174
25,-0.0,-0.0,-0.0,-0.0,-0.0,2587.506793448001,4416.654567313164,1056.673655995647,7038.434254566671,11700.790000298133,7536.099204917507,7088.826915690456,7633.270459466338,6040.633479847059,6404.547484197194,7306.151827569049,5071.953612553727,5626.609821356993,4956.128345104448,942.018565984853
26,-0.0,-0.0,-0.0,-0.0,-0.0,3745.9585395712675,2802.3818849271634,8326.340541912246,9793.66949683659,7083.36825817447,8765.158953079961,8316.418092940889,8924.01032627805,7321.2325745294265,7494.559691274416,8537.266561207976,5940.813141759958,6486.125462619696,5843.8765388560305,1952.9145857694864
27,-0.0,-0.0,-0.0,-0.0,-0.0,4347.280034932784,7080.126590925964,8487.522946755344,3959.5231489418543,11585.22919154944,9658.681658961515,9102.519716041857,9858.279152949373,8144.958382607484,8196.845707162565,9379.147366442156,6594.396482589633,7190.589137613337,6565.3553072229,2689.2836992705534
28,-0.0,-0.0,-0.0,-0.0,-0.0,8361.860133132353,4466.635902718827,7063.543673282835,7008.86682645749,7533.84222001612,9258.46639281163,8731.546309553605,9626.940729953158,7883.005142450783,8038.6308206020885,9171.012381445089,6397.5279520057275,6945.074885630962,6370.957007581042,2504.4969372018068
29,-0.0,-0.0,-0.0,-0.0,-0.0,6619.759920042591,2473.376539339358,7464.103890950227,6122.090631373064,6801.677113374446,8143.282300853386,7789.558438684903,8325.842907287142,6725.716573873839,7018.177704598131,8056.578659583988,5523.852156340392,6071.355092855432,5492.920547932539,1522.8925153360622
30,-0.0,-0.0,-0.0,-0.0,-0.0,1938.2711017460813,1582.9213257765534,2738.407113369278,6142.319163566557,11436.336052686162,6782.970443254248,6449.625940339468,7129.567541926085,5425.792014915727,5675.12493770792,6597.438049012224,4578.88173671918,5048.837852592729,4583.581218248857,546.6753728225445
31,-0.0,-0.0,-0.0,-0.0,-0.0,1621.647294904106,3957.9687377166324,7188.077846392498,1584.5385742041638,7660.793272060146,6251.475656606583,5969.996219351388,6503.328103168925,4894.827748667747,5251.386296338243,6097.434040728753,4221.177801958636,4745.277067279739,4295.281780004834,108.22864983373903
32,-0.0,-0.0,-0.0,-0.0,-0.0,5376.0570593518,1647.178014459319,594.8113291797324,3648.72717986378,13325.07950571958,6906.704616785967,6537.8402084888685,7274.334311853045,5566.233660848141,5942.44329548323,6769.658548307896,4655.998116629547,5151.401647283628,4667.538977729437,663.4852776855723
