# mu_eV  p_excluded_IRAS  p_excluded_M33_X7
1.000000e-20 4.000000e-04 0.000000e+00
1.122668e-20 1.000000e-03 0.000000e+00
1.260383e-20 2.300000e-03 0.000000e+00
1.414991e-20 4.400000e-03 0.000000e+00
1.588565e-20 7.100000e-03 0.000000e+00
1.783431e-20 1.320000e-02 0.000000e+00
2.002200e-20 2.270000e-02 0.000000e+00
2.247806e-20 3.920000e-02 0.000000e+00
2.523539e-20 6.300000e-02 0.000000e+00
2.833096e-20 9.440000e-02 0.000000e+00
3.180626e-20 1.344000e-01 0.000000e+00
3.570786e-20 1.924000e-01 0.000000e+00
4.008806e-20 2.581000e-01 0.000000e+00
4.500558e-20 3.341000e-01 0.000000e+00
5.052631e-20 4.157000e-01 0.000000e+00
5.672426e-20 4.990000e-01 0.000000e+00
6.368250e-20 5.741000e-01 0.000000e+00
7.149429e-20 6.414000e-01 0.000000e+00
8.026434e-20 7.010000e-01 0.000000e+00
9.011018e-20 7.599000e-01 0.000000e+00
1.011638e-19 8.083000e-01 0.000000e+00
1.135733e-19 8.550000e-01 0.000000e+00
1.275051e-19 8.891000e-01 0.000000e+00
1.431459e-19 9.115000e-01 0.000000e+00
1.607053e-19 9.241000e-01 0.000000e+00
1.804186e-19 9.253000e-01 0.000000e+00
2.025502e-19 9.126000e-01 0.000000e+00
2.273966e-19 8.885000e-01 0.000000e+00
2.552908e-19 8.459000e-01 0.000000e+00
2.866068e-19 7.933000e-01 0.000000e+00
3.217642e-19 7.252000e-01 0.000000e+00
3.612343e-19 6.492000e-01 0.000000e+00
4.055461e-19 5.703000e-01 0.000000e+00
4.552935e-19 4.919000e-01 0.000000e+00
5.111433e-19 4.189000e-01 0.000000e+00
5.738442e-19 3.509000e-01 0.000000e+00
6.442364e-19 2.903000e-01 0.000000e+00
7.232634e-19 2.357000e-01 0.000000e+00
8.119845e-19 1.825000e-01 0.000000e+00
9.115888e-19 1.379000e-01 0.000000e+00
1.023411e-18 9.950000e-02 0.000000e+00
1.148951e-18 7.070000e-02 0.000000e+00
1.289890e-18 4.920000e-02 0.000000e+00
1.448118e-18 3.270000e-02 0.000000e+00
1.625756e-18 1.920000e-02 0.000000e+00
1.825183e-18 1.100000e-02 0.000000e+00
2.049075e-18 6.200000e-03 0.000000e+00
2.300430e-18 3.100000e-03 0.000000e+00
2.582619e-18 1.800000e-03 0.000000e+00
2.899423e-18 8.000000e-04 0.000000e+00
3.255089e-18 2.000000e-04 0.000000e+00
3.654383e-18 0.000000e+00 0.000000e+00
4.102658e-18 0.000000e+00 0.000000e+00
4.605922e-18 0.000000e+00 0.000000e+00
5.170920e-18 0.000000e+00 0.000000e+00
5.805226e-18 0.000000e+00 0.000000e+00
6.517340e-18 0.000000e+00 0.000000e+00
7.316807e-18 0.000000e+00 0.000000e+00
8.214344e-18 0.000000e+00 0.000000e+00
9.221979e-18 0.000000e+00 0.000000e+00
1.035322e-17 0.000000e+00 0.000000e+00
1.162322e-17 0.000000e+00 0.000000e+00
1.304902e-17 0.000000e+00 0.000000e+00
1.464971e-17 0.000000e+00 0.000000e+00
1.644676e-17 0.000000e+00 0.000000e+00
1.846425e-17 0.000000e+00 0.000000e+00
2.072922e-17 0.000000e+00 0.000000e+00
2.327202e-17 0.000000e+00 0.000000e+00
2.612675e-17 0.000000e+00 0.000000e+00
2.933166e-17 0.000000e+00 0.000000e+00
3.292971e-17 0.000000e+00 0.000000e+00
