repetition,mean_empirical_p_response,median_empirical_p_response,mean_reported_p_response,median_reported_p_response,mae_vs_reported,max_abs_error,n_cells,selected_candidate_recall,candidate_coverage_fraction,num_candidates,num_selected,num_overlap
0,0.9426851051143266,0.961974518019542,0.9426851051143266,0.961974518019542,5.88418203051333e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
1,0.9321466295897786,0.948915887213367,0.9321466295897786,0.948915887213367,4.5519144009631415e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
2,0.8927035099236038,0.9102584353546735,0.8927035099236038,0.9102584353546734,6.578071420904053e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
3,0.9260332978362632,0.9465919295128283,0.9260332978362632,0.9465919295128284,4.5519144009631415e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
4,0.9764399539697292,0.9851990856136397,0.9764399539697292,0.9851990856136397,7.105427357601002e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
5,0.9372315856376983,0.9635603180074399,0.9372315856376983,0.9635603180074399,5.995204332975846e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
6,0.9669038206238555,0.9758442156458653,0.9669038206238555,0.9758442156458653,5.88418203051333e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
7,0.9726328255454676,0.9777007034796884,0.9726328255454676,0.9777007034796884,5.551115123125783e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
8,0.9141367089439814,0.9403493830339884,0.9141367089439814,0.9403493830339884,5.10702591327572e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
9,0.9665568629318829,0.9759426859200078,0.9665568629318829,0.9759426859200078,5.440092820663267e-17,2.220446049250313e-16,100,1.0,0.8333333333333334,12,10,10
