mutation,mean,std,min,max
mut28,0.662295609152752,0.050810170611348106,0.5959595959595959,0.7676767676767676
mut19,0.628113172541744,0.04085257085341372,0.55,0.68
mut15,0.5738789940218512,0.04216513614601595,0.5102040816326531,0.6565656565656566
mut33,0.5296262626262627,0.04775073325258431,0.46,0.6
mut20,0.38582457225314365,0.05448718122631303,0.3163265306122449,0.47
mut12,0.34389754689754687,0.05424327983815472,0.25,0.42857142857142855
mut11,0.3316648113790971,0.05295970143983772,0.23232323232323232,0.41
mut26,0.2221566687280973,0.038849801529580855,0.18,0.29
mut39,0.20797320140177283,0.0385431123304447,0.17,0.28
mut44,0.07538610595753453,0.03256255900175029,0.05,0.15
